Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
2010	1	1	2.171	0.7	4.5	-0.3	83	-9999	2	-9999	-9999	-9999	-9999
2010	1	2	0	-2.6	0.1	-9.7	63	-9999	25.2	-9999	-9999	-9999	-9999
2010	1	3	1.644	-13.1	-2.5	-19.2	38	-9999	0	-9999	-9999	-9999	-9999
2010	1	4	1.117	-14.1	-8	-22.8	39	-9999	0	-9999	-9999	-9999	-9999
2010	1	5	1.073	-4.6	-1.7	-8.1	70	-9999	0.8	-9999	-9999	-9999	-9999
2010	1	6	2.805	-2.2	0.9	-5.9	71	-9999	0.2	-9999	-9999	-9999	-9999
2010	1	7	5.673	-2.1	2.2	-4.2	75	-9999	0	-9999	-9999	-9999	-9999
2010	1	8	0.163	-0.4	0.5	-3.3	84	-9999	32.6	-9999	-9999	-9999	-9999
2010	1	9	0.446	1	3.3	-0.1	88	-9999	28	-9999	-9999	-9999	-9999
2010	1	10	1.142	0.3	1.5	-1.1	88	-9999	6	-9999	-9999	-9999	-9999
2010	1	11	0.753	-1.2	0.1	-3.9	82	-9999	0.6	-9999	-9999	-9999	-9999
2010	1	12	2.743	-1.5	2.1	-3.6	75	-9999	0.2	-9999	-9999	-9999	-9999
2010	1	13	1.418	-2.5	-0.2	-6.1	74	-9999	0	-9999	-9999	-9999	-9999
2010	1	14	3.107	-3.9	2.8	-7.3	60	-9999	0	-9999	-9999	-9999	-9999
2010	1	15	6.238	-4.6	2.9	-11.1	49	-9999	0	-9999	-9999	-9999	-9999
2010	1	16	6.025	-7.5	0.7	-14.5	43	-9999	0	-9999	-9999	-9999	-9999
2010	1	17	1.575	-3.8	-2.3	-5.2	82	-9999	0.2	-9999	-9999	-9999	-9999
2010	1	18	6.157	-5.8	3	-11.1	47	-9999	0	-9999	-9999	-9999	-9999
2010	1	19	7.563	-7.7	4.3	-15	34	-9999	0	-9999	-9999	-9999	-9999
2010	1	20	6.063	-8.9	2.9	-16.4	33	-9999	0	-9999	-9999	-9999	-9999
2010	1	21	6.804	-9.1	2.8	-17.2	31	-9999	0	-9999	-9999	-9999	-9999
2010	1	22	6.453	-8	0.2	-15.8	39	-9999	0	-9999	-9999	-9999	-9999
2010	1	23	8.165	-5.5	3.8	-12	42	-9999	0	-9999	-9999	-9999	-9999
2010	1	24	4.927	-9.5	-1.5	-16.5	42	-9999	0	-9999	-9999	-9999	-9999
2010	1	25	3.306	-6.6	-2.8	-10.5	64	-9999	0	-9999	-9999	-9999	-9999
2010	1	26	2.555	-8	-1.3	-13.8	49	-9999	0	-9999	-9999	-9999	-9999
2010	1	27	8.24	-7.6	2.3	-14.6	38	-9999	0	-9999	-9999	-9999	-9999
2010	1	28	6.822	-7.4	2	-13.5	41	-9999	0	-9999	-9999	-9999	-9999
2010	1	29	5.686	-8.8	3.1	-17.1	31	-9999	2.2	-9999	-9999	-9999	-9999
2010	1	30	5.404	-3.7	1.9	-9.4	54	-9999	3.6	-9999	-9999	-9999	-9999
2010	1	31	1.18	-6.9	-2.7	-17.1	43	-9999	1.4	-9999	-9999	-9999	-9999
2010	2	1	10.92	-13.1	-0.5	-23.5	23	-9999	0	-9999	-9999	-9999	-9999
2010	2	2	8.818	-11.3	0.4	-22	24	-9999	0	-9999	-9999	-9999	-9999
2010	2	3	10.073	-9.7	1.2	-18.3	32	-9999	0	-9999	-9999	-9999	-9999
2010	2	4	8.692	-7.1	3.9	-17.2	28	-9999	0	-9999	-9999	-9999	-9999
2010	2	5	0.433	-1.2	0.7	-3.5	81	-9999	28	-9999	-9999	-9999	-9999
2010	2	6	0.584	0.4	1.6	-0.2	90	-9999	1.2	-9999	-9999	-9999	-9999
2010	2	7	8.742	-0.2	6.3	-3.3	64	-9999	0	-9999	-9999	-9999	-9999
2010	2	8	10.951	-4	2.5	-10.1	53	-9999	0	-9999	-9999	-9999	-9999
2010	2	9	6.094	-7.8	-0.7	-15.8	42	-9999	0	-9999	-9999	-9999	-9999
2010	2	10	3.282	-2.7	0.8	-7	68	-9999	10.2	-9999	-9999	-9999	-9999
2010	2	11	0.433	-2.8	-1	-4.3	83	-9999	2.6	-9999	-9999	-9999	-9999
2010	2	12	6.025	-4.8	4	-11.8	43	-9999	0	-9999	-9999	-9999	-9999
2010	2	13	10.267	-5.5	2.8	-11.3	48	-9999	0	-9999	-9999	-9999	-9999
2010	2	14	7.481	-6.9	0.1	-14.1	46	-9999	0	-9999	-9999	-9999	-9999
2010	2	15	6.132	-7.6	-0.7	-16.1	41	-9999	0	-9999	-9999	-9999	-9999
2010	2	16	6.634	-2.7	2.5	-6.4	61	-9999	0.2	-9999	-9999	-9999	-9999
2010	2	17	6.42	0.4	5.3	-2.5	68	-9999	0	-9999	-9999	-9999	-9999
2010	2	18	4.676	1.6	5.8	-0.1	77	-9999	2.2	-9999	-9999	-9999	-9999
2010	2	19	0.59	1.8	4.1	0.4	87	-9999	76.4	-9999	-9999	-9999	-9999
2010	2	20	1.72	0	1.5	-3.1	83	-9999	9.4	-9999	-9999	-9999	-9999
2010	2	21	10.543	-3.4	0.3	-8.1	65	-9999	0	-9999	-9999	-9999	-9999
2010	2	22	2.655	-0.6	1.6	-3	80	-9999	1.4	-9999	-9999	-9999	-9999
2010	2	23	6.364	1.3	6.2	-0.5	74	-9999	0.4	-9999	-9999	-9999	-9999
2010	2	24	11.297	2.3	8	-2	64	-9999	0	-9999	-9999	-9999	-9999
2010	2	25	11.742	0.9	7	-3.6	61	-9999	0.2	-9999	-9999	-9999	-9999
2010	2	26	2.473	1.3	4.7	-0.3	82	-9999	21.4	-9999	-9999	-9999	-9999
2010	2	27	13.543	0.2	8.4	-4.6	54	-9999	0	-9999	-9999	-9999	-9999
2010	2	28	2.774	0.9	4.8	-0.9	76	-9999	0.4	-9999	-9999	-9999	-9999
2010	3	1	12.771	0.8	6.2	-4.2	62	-9999	0	-9999	-9999	-9999	-9999
2010	3	2	10.292	1.2	7.7	-2.7	63	-9999	0	-9999	-9999	-9999	-9999
2010	3	3	8.585	-0.3	4.3	-4.9	65	-9999	0	-9999	-9999	-9999	-9999
2010	3	4	7.556	1.9	6.4	-0.7	70	-9999	0.2	-9999	-9999	-9999	-9999
