"model_name","ISIMIP_name"
"DBH","dbh"
"HEIGHT","height"
"LiveTree","density"
"BASAL_AREA","ba"
"VOLUME","vol"
"CMVB","cveg"
"AGE","age"
"MAI","mai"
"DeadTree","mortstemno"
"ThinnedTree","harvstemno"
"MAX_LEAF_C","cleaf"
"CMW","cwood"
"CMR","croot"
"GPP","gpp"
"NPP","npp"
"RA","ra"
"fAPAR","fapar"
"et","evap"
"C_INT","intercept"
"soil_evapo","esoil"
"C_TRA","trans"
"asw","soilmoist"
"dWL","npp_landleaf"
"dWFR","npp_landroot"
"NPPAB","npp_abovegroundwood"
"NPPBB","npp_belowgroundwood"
"RAR","rr"
"Tsoil","tsl"
"LAI_PROJ","lai"
