# i valori originali di aboveGroundBiomass_kgha, foliageBiomass_kgha, branchesBiomass_kgha, stemBiomass_kgha, rootBiomass_kgha, stumpCoarseRootBiomass_kgha
# per confrontarli con i risultati del modello solo stati divisi per 1000 e quindi divisi per 2 ottenendo le tDM / ha
"record_id","site","site_id","year","species","species_id","age","dbhArith_cm","dbhBA_cm","dbhDQ_cm","heightArith_m","heightBA_m","ba_m2ha","density_treeha","aboveGroundBiomass_kgha","foliageBiomass_kgha","branchesBiomass_kgha","stemBiomass_kgha","rootBiomass_kgha","stumpCoarseRootBiomass_kgha","lai"
"1","bily_kriz",3,1997,"Picea abies","piab",16,7.11,8.16083686654553,7.39128516196709,5.63139534883721,6.26335383934283,10.33,2408,NA,0.003945,0.003545,0.00697,0.002785,NA,NA
"2","bily_kriz",3,1998,"Picea abies","piab",17,7.83,8.8639606321696,8.10656486990534,6.33939899833055,6.95768466308913,12.37,2396,NA,0.004645,0.004255,0.00865,0.003435,NA,NA
"3","bily_kriz",3,1999,"Picea abies","piab",18,8.5,9.57410838555743,8.78673559452125,6.8809364548495,7.49965613752073,14.5,2392,NA,0.00537,0.00501,0.010495,0.00414,NA,NA
"4","bily_kriz",3,2000,"Picea abies","piab",19,9.12,10.2538606702257,9.41567085349953,7.49798994974874,8.12911044373424,16.63,2388,NA,0.00608,0.005765,0.01239,0.004865,NA,NA
"5","bily_kriz",3,2001,"Picea abies","piab",20,10.23,11.2655439631221,10.5067181146696,8.42683982683983,8.98819094639877,16.02,1848,NA,0.00575,0.00558,0.01245,0.004855,NA,NA
"6","bily_kriz",3,2002,"Picea abies","piab",21,10.98,12.0480253718375,11.2640906673416,9.13442265795207,9.69230492910103,18.3,1836,NA,0.006485,0.006395,0.014635,0.00568,NA,NA
"7","bily_kriz",3,2003,"Picea abies","piab",22,11.66,12.7668378925045,11.955023738688,9.80108932461874,10.3670131629672,20.61,1836,NA,0.007225,0.00722,0.016905,0.006535,NA,NA
"8","bily_kriz",3,2004,"Picea abies","piab",23,12.6,13.6213692369927,12.869809260734,10.4959232613909,10.9768394698947,21.7,1668,NA,0.00751,0.00763,0.018315,0.007045,NA,NA
"9","bily_kriz",3,2005,"Picea abies","piab",24,13.3,14.377678937598,13.5816220213482,11.1980769230769,11.6907145905646,24.11,1664,NA,0.00826,0.008495,0.020825,0.007985,NA,NA
"10","bily_kriz",3,2006,"Picea abies","piab",25,13.99,15.0870513340485,14.278164261681,11.5151898734177,12.0495847855367,25.3,1580,NA,0.008415,0.00876,0.0222,0.008525,NA,NA
"11","bily_kriz",3,2007,"Picea abies","piab",26,14.57,15.631127389936,14.8513706286346,11.9978779840849,12.4871732638159,26.12,1508,NA,0.008665,0.009095,0.023265,0.00892,NA,NA
"12","bily_kriz",3,2008,"Picea abies","piab",27,15.36,16.3847683007625,15.5855616945086,12.3597333333333,12.8680739676686,28.62,1500,NA,0.00942,0.01,0.026025,0.009935,NA,NA
"13","bily_kriz",3,2009,"Picea abies","piab",28,15.96,17.033125188274,16.18673868892,12.8929919137466,13.4269404491248,30.7,1492,NA,0.01004,0.010755,0.0284,0.01081,NA,NA
"14","bily_kriz",3,2010,"Picea abies","piab",29,16.45,17.5709251967459,16.6885165914022,13.4368279569892,13.9942859114642,32.55,1488,NA,0.01059,0.011425,0.030525,0.01159,NA,NA
"15","bily_kriz",3,2011,"Picea abies","piab",30,17.03,18.2030299441684,17.2705254230176,14.1311827956989,14.7217894473013,34.86,1488,NA,0.011275,0.012265,0.0332,0.01257,NA,NA
