Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI
1	31	8.98	2.53	-9999	-9999	0.2	-9999	42.94	-9999	0
2	28	12.63	-0.17	-9999	-9999	0.16	-9999	22.9	-9999	0
3	31	15.61	3.92	-9999	-9999	0.26	-9999	23.48	-9999	0
4	30	20.52	3.59	-9999	-9999	0.36	-9999	51.22	-9999	0.78
5	31	26.13	18.44	-9999	-9999	0.23	-9999	54.65	-9999	1.9
6	30	27.92	16.48	-9999	-9999	0.62	-9999	8.65	-9999	3.83
7	31	27.76	22.24	-9999	-9999	1.25	-9999	40.96	-9999	4.3
8	31	24.88	20.53	-9999	-9999	0.69	-9999	34.46	-9999	3.51
9	30	18.53	17.11	-9999	-9999	0.49	-9999	46.37	-9999	2.36
10	31	14.36	12.26	-9999	-9999	0.3	-9999	43.31	-9999	1.3
11	30	9.25	8.11	-9999	-9999	0.36	-9999	61.3	-9999	0.03
12	31	7.15	3.32	-9999	-9999	0.28	-9999	71.48	-9999	0.03
