Month	n_days	Rg_f	Rg_sqc	Ta_f	Ta_sqc	VPD_f	VPD_sqc	Ts_f	Ts_sqc	Precip	SWC	LAI
1	31	6.1	1	4.8	1	3.36743	1	-9999	1	43.8182	-9999	0.001
2	29	9.1	1	4.5231	1	3.62599	1	-9999	1	20.4472	-9999	0.001
3	31	13.15	1	6.36916	1	3.58621	1	-9999	1	211.016	-9999	0.371752
4	30	17.23	1	9.45381	1	5.17112	1	-9999	1	122.77	-9999	0.499816
5	31	20.79	1	14.2615	1	6.5364	1	-9999	1	65.9398	-9999	2.40596
6	30	22.67	1	18.3615	1	7.684	1	-9999	1	99.8921	-9999	4.3121
7	31	22.56	1	21.5385	1	13.6257	1	-9999	1	13.3533	-9999	6.21824
8	31	19.2	1	22.6	1	15.8291	1	-9999	1	128.39	-9999	6.21824
9	30	14.89	1	15.5846	1	7.63692	1	-9999	1	87.0751	-9999	6.21824
10	31	10.5	1	13.2231	1	5.60569	1	-9999	1	67.1843	-9999	2.97496
11	30	6.61	1	7.43845	1	2.5691	1	-9999	1	171.494	-9999	1.48798
12	31	5.1	1	3.39226	1	1.82487	1	-9999	1	227.603	-9999	0.001
