Month	n_days	Rg_f	Ta_f	VPD_f	Ts_f	Precip 	SWC	LAI 
1		1		5.1		11.8	0.2		7.8		0		0.11
1	2	6.1	10.3	0.2	6.3	0.2	0.27	0
1	3	6.1	7.3	0.2	3.3	0	0.39	0
1	4	6.1	4.5	0.2	0.5	0	0.2	0
1	5	6.1	9.8	0.2	5.8	0.2	0.18	0
1	6	6.1	8.1	0.2	4.1	0	0.14	0
1	7	6.1	10.6	0.2	6.6	0	0.12	0
1	8	6.1	11.6	0.2	7.6	3.4	0.1	0
1	9	6.1	9.1	0.2	5.1	0	0.11	0
1	10	6.1	8.4	0.2	4.4	0	0.1	0
1	11	6.1	10.9	0.2	6.9	0	0.08	0
1	12	6.1	12	0.2	8	0	0.18	0
1	13	6.1	11.1	0.2	7.1	0	0.15	0
1	14	6.1	9.2	0.2	5.2	0	0.09	0
1	15	6.1	10.8	0.2	6.8	0	0.15	0
1	16	6.1	8	0.2	4	0	0.11	0
1	17	6.1	11.4	0.2	7.4	5.4	0.08	0
1	18	6.1	9.8	0.2	5.8	0	0.09	0
1	19	6.1	13.4	0.2	9.4	0	0.13	0
1	20	6.1	10.8	0.2	6.8	0	0.08	0
1	21	6.1	12.3	0.2	8.3	0	0.09	0
1	22	6.1	13.1	0.2	9.1	0	0.13	0
1	23	6.1	13	0.2	9	13.2	0.09	0
1	24	6.1	6.4	0.2	2.4	7	0.2	0
1	25	6.1	5.6	0.2	1.6	7.4	0.16	0
1	26	6.1	3.9	0.2	1	2.4	0.08	0
1	27	6.1	5.3	0.2	1.3	0	0.18	0
1	28	6.1	6.7	0.2	2.7	0	0.23	0
1	29	6.1	6.4	0.2	2.4	0	0.09	0
1	30	6.1	7.4	0.2	3.4	0	0.18	0
1	31	6.1	7.4	0.2	3.4	0	0.18	0
2	1	8.1	7	0.16	3	0	0.16	0
2	2	9.1	10.6	0.16	6.6	0	0.12	0
2	3	9.1	9.9	0.16	5.9	0	0.3	0
2	4	9.1	9.2	0.16	5.2	0	0.28	0
2	5	9.1	8.7	0.16	4.7	0	0.41	0
2	6	9.1	8	0.16	4	0	0.32	0
2	7	9.1	8.3	0.16	4.3	0.6	0.13	0
2	8	9.1	10	0.16	6	0.2	0.14	0
2	9	9.1	11	0.16	7	0	0.13	0
2	10	9.1	9.7	0.16	5.7	21.4	0.08	0
2	11	9.1	10.7	0.16	6.7	0.2	0.11	0
2	12	9.1	11.2	0.16	7.2	0	0.15	0
2	13	9.1	10.5	0.16	6.5	15.2	0.07	0
2	14	9.1	11.4	0.16	7.4	0	0.22	0
2	15	9.1	9.8	0.16	5.8	0	0.16	0
2	16	9.1	10.8	0.16	6.8	0.6	0.13	0
2	17	9.1	11.6	0.16	7.6	0	0.27	0
2	18	9.1	8.9	0.16	4.9	0	0.21	0
