Month	n_days	Rg_f	Rg_sqc	Ta_f	Ta_sqc	RH_f	RH_sqc	Ts_f	Ts_sqc	Precip	SWC
1	31	6.62	1	3.3	1	67.64	1	-9999	1	50	-9999
2	28	7.53	1	4.1	1	66.45	1	-9999	1	124.8	-9999
3	31	10.42	1	5.98	1	59.10	1	-9999	1	63.2	-9999
4	30	15.75	1	9.33	1	38.11	1	-9999	1	65.4	-9999
5	31	18.63	1	12.59	1	69.97	1	-9999	1	62.4	-9999
6	30	20.62	1	16.52	1	42.66	1	-9999	1	137.4	-9999
7	31	23.21	1	18.96	1	55.96	1	-9999	1	2.6	-9999
8	31	19.41	1	18.98	1	63.66	1	-9999	1	2	-9999
9	30	14.69	1	13.33	1	68.10	1	-9999	1	37.4	-9999
10	31	9.13	1	10.09	1	60.85	1	-9999	1	93.4	-9999
11	30	6.04	1	4.33	1	49.52	1	-9999	1	45.2	-9999
12	31	4.34	1	1.48	1	79.08	1	-9999	1	57	-9999




