
n_days	Rg_f	Ta_min	Ta_max	VPD_f 	 Ts_f  	Precip 	SWC	LAI
1	8.98	5,9	13,1	-9999	0.20	0,4	-9999	0.00
2	8.98	6,4	13,2	-9999	0.20	2	-9999	0.00
3	8.98	1,6	8,5	-9999	0.20	3	-9999	0.00
4	8.98	0,3	4,8	-9999	0.20	4	-9999	0.00
5	8.98	2,1	8,6	-9999	0.20	5	-9999	0.00
6	8.98	3,8	12,9	-9999	0.20	6	-9999	0.00
7	8.98	9,8	14	-9999	0.20	7	-9999	0.00
8	8.98	8,3	16,3	-9999	0.20	8	-9999	0.00
9	8.98	5,6	16,1	-9999	0.20	9	-9999	0.00
10	8.98	8,6	16,9	-9999	0.20	10	-9999	0.00
11	8.98	7,2	14,3	-9999	0.20	11	-9999	0.00
12	8.98	5,7	12,6	-9999	0.20	12	-9999	0.00
13	8.98	3,5	15,1	-9999	0.20	13	-9999	0.00
14	8.98	3,6	13,9	-9999	0.20	14	-9999	0.00
15	8.98	6,8	15,8	-9999	0.20	15	-9999	0.00
16	8.98	5,3	18,4	-9999	0.20	16	-9999	0.00
17	8.98	4,4	16,9	-9999	0.20	17	-9999	0.00
18	8.98	4,8	12,9	-9999	0.20	18	-9999	0.00
19	8.98	7,1	10,1	-9999	0.20	19	-9999	0.00
20	8.98	2,3	8,6	-9999	0.20	20	-9999	0.00
21	8.98	0,5	4,1	-9999	0.20	21	-9999	0.00
22	8.98	0,7	4,5	-9999	0.20	22	-9999	0.00
23	8.98	0,8	4,5	-9999	0.20	23	-9999	0.00
24	8.98	-0,3	6,9	-9999	0.20	24	-9999	0.00
25	8.98	-0,4	11	-9999	0.20	25	-9999	0.00
26	8.98	1,2	8,3	-9999	0.20	26	-9999	0.00
27	8.98	3,3	11,8	-9999	0.20	27	-9999	0.00
28	8.98	3,7	10,3	-9999	0.16	28	-9999	0.00
29	8.98	4,4	10,2	-9999	0.16	29	-9999	0.00
30	8.98	4	9,7	-9999	0.16	30	-9999	0.00
31	8.98	3,2	11,4	-9999	0.16	31	-9999	0.00
1	12.63	3,7	10,8	-9999	0.16	0	-9999	0.00
2	12.63	3,5	12,1	-9999	0.16	0,6	-9999	0.00
3	12.63	2,7	10,8	-9999	0.16	0	-9999	0.00
4	12.63	4,3	15,2	-9999	0.16	0	-9999	0.00
5	12.63	6,2	19,5	-9999	0.16	1,4	-9999	0.00
6	12.63	7,2	20	-9999	0.16	0,2	-9999	0.00
7	12.63	5,8	21,5	-9999	0.16	0	-9999	0.00
8	12.63	5,5	20,5	-9999	0.16	0	-9999	0.00
9	12.63	6,8	17,1	-9999	0.16	0	-9999	0.00
10	12.63	4,6	15,3	-9999	0.16	0	-9999	0.00
11	12.63	4,9	14,4	-9999	0.16	3,2	-9999	0.00
12	12.63	3,8	12,6	-9999	0.16	0	-9999	0.00
13	12.63	4,7	12,8	-9999	0.16	0	-9999	0.00
14	12.63	3,2	15,5	-9999	0.16	0	-9999	0.00
15	12.63	3,3	13,9	-9999	0.16	0	-9999	0.00
16	12.63	7,6	12,1	-9999	0.16	0	-9999	0.00
17	12.63	7,1	12,7	-9999	0.16	0	-9999	0.00
18	12.63	6,8	14,6	-9999	0.16	0	-9999	0.00
19	12.63	6,9	15,1	-9999	0.16	0	-9999	0.00
20	12.63	6,8	14	-9999	0.16	7,2	-9999	0.00
21	12.63	3,4	10,4	-9999	0.16	8,2	-9999	0.00
22	12.63	2,4	13,3	-9999	0.16	8,2	-9999	0.00
23	12.63	0	6,9	-9999	0.16	0	-9999	0.00
24	12.63	-0,8	7,1	-9999	0.16	0	-9999	0.00
25	12.63	0,4	7,7	-9999	0.16	0	-9999	0.00
26	12.63	0	7,5	-9999	0.16	0	-9999	0.00
27	12.63	0,8	7,7	-9999	0.16	0	-9999	0.00
