Month		n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI
1	1	1	1.13	-4.33	-2.85	-5.80	0.00	-9999	0.00	-9999	-9999
1	2	2	1.57	-7.60	-6.00	-9.10	0.01	-9999	0.00	-9999	-9999
1	3	3	4.16	-8.89	-7.95	-9.70	0.02	-9999	0.00	-9999	-9999
1	4	4	2.08	-8.52	-5.70	-9.75	0.02	-9999	2.77	-9999	-9999
1	5	5	0.53	-4.98	-3.20	-8.40	0.02	-9999	8.42	-9999	-9999
1	6	6	3.89	-5.19	-0.75	-8.80	0.05	-9999	1.89	-9999	-9999
1	7	7	0.76	-0.53	-0.15	-1.10	0.00	-9999	7.00	-9999	-9999
1	8	8	7.36	-0.76	0.35	-2.15	0.09	-9999	0.00	-9999	-9999
1	9	9	0.91	0.95	2.70	-1.65	0.06	-9999	9.94	-9999	-9999
1	10	10	0.86	-0.82	0.70	-1.35	0.02	-9999	25.08	-9999	-9999
1	11	11	2.94	3.15	7.20	-0.60	0.14	-9999	7.53	-9999	-9999
1	12	12	5.59	3.92	6.75	1.45	0.17	-9999	6.74	-9999	-9999
1	13	13	1.72	6.09	10.45	3.00	0.20	-9999	14.03	-9999	-9999
1	14	14	4.32	1.67	7.80	-0.35	0.18	-9999	7.48	-9999	-9999
1	15	15	0.77	-0.50	3.65	-2.70	0.15	-9999	3.04	-9999	-9999
1	16	16	4.07	0.89	3.80	-2.20	0.34	-9999	0.00	-9999	-9999
1	17	17	1.60	0.29	2.75	-1.45	0.17	-9999	2.41	-9999	-9999
1	18	18	3.80	-1.36	0.05	-2.75	0.09	-9999	0.26	-9999	-9999
1	19	19	6.96	-2.36	0.25	-4.45	0.17	-9999	0.00	-9999	-9999
1	20	20	0.86	-1.52	1.70	-5.75	0.06	-9999	21.92	-9999	-9999
1	21	21	2.06	-6.79	-6.25	-7.25	0.04	-9999	4.42	-9999	-9999
1	22	22	2.19	-9.03	-7.20	-10.15	0.05	-9999	0.09	-9999	-9999
1	23	23	9.38	-9.74	-8.35	-10.95	0.09	-9999	0.00	-9999	-9999
1	24	24	9.45	-6.42	-3.10	-9.90	0.33	-9999	0.00	-9999	-9999
1	25	25	1.88	-3.96	-2.40	-5.90	0.08	-9999	9.74	-9999	-9999
1	26	26	8.64	-2.91	-1.05	-5.15	0.16	-9999	0.00	-9999	-9999
1	27	27	3.27	-2.50	-1.80	-3.85	0.07	-9999	1.61	-9999	-9999
1	28	28	2.80	-5.56	-3.20	-6.60	0.04	-9999	2.46	-9999	-9999
1	29	29	5.98	-4.92	-2.20	-6.05	0.11	-9999	0.78	-9999	-9999
1	30	30	6.65	-3.60	-1.40	-6.45	0.28	-9999	0.00	-9999	-9999
1	31	31	9.26	4.65	7.10	-0.25	0.52	-9999	0.00	-9999	-9999
2	1	32	7.04	6.79	8.40	5.10	0.35	-9999	0.00	-9999	-9999
2	2	33	1.78	6.05	8.60	3.00	0.20	-9999	26.39	-9999	-9999
2	3	34	8.00	7.11	8.60	5.90	0.20	-9999	0.17	-9999	-9999
2	4	35	8.01	9.05	11.45	7.50	0.35	-9999	0.00	-9999	-9999
2	5	36	10.72	12.60	14.35	11.75	0.53	-9999	0.00	-9999	-9999
2	6	37	9.47	12.33	13.95	10.65	0.46	-9999	0.00	-9999	-9999
2	7	38	1.96	8.00	13.25	1.15	0.29	-9999	2.85	-9999	-9999
2	8	39	4.12	1.30	4.40	-0.80	0.21	-9999	5.00	-9999	-9999
2	9	40	1.37	-3.24	-0.65	-4.20	0.07	-9999	7.61	-9999	-9999
2	10	41	7.61	-2.82	-0.85	-4.55	0.14	-9999	6.42	-9999	-9999
2	11	42	1.27	-2.15	0.30	-6.20	0.07	-9999	13.03	-9999	-9999
2	12	43	2.24	-6.70	-5.90	-7.35	0.09	-9999	0.50	-9999	-9999
2	13	44	2.20	-3.15	-0.70	-5.85	0.03	-9999	7.67	-9999	-9999
2	14	45	1.98	-0.36	0.20	-0.80	0.07	-9999	3.24	-9999	-9999
2	15	46	1.27	-0.45	-0.30	-0.70	0.05	-9999	4.78	-9999	-9999
2	16	47	2.71	-1.09	-0.60	-1.80	0.05	-9999	3.85	-9999	-9999
2	17	48	12.87	-0.34	3.30	-3.20	0.20	-9999	0.00	-9999	-9999
2	18	49	2.18	-1.75	0.15	-3.40	0.09	-9999	1.47	-9999	-9999
2	19	50	4.06	-4.04	-3.05	-5.35	0.06	-9999	0.06	-9999	-9999
2	20	51	13.31	-1.22	3.70	-5.45	0.23	-9999	0.00	-9999	-9999
2	21	52	6.47	6.33	9.65	-0.55	0.35	-9999	0.00	-9999	-9999
2	22	53	5.64	8.84	11.70	4.40	0.35	-9999	0.00	-9999	-9999
2	23	54	1.70	-2.63	3.70	-5.95	0.02	-9999	9.45	-9999	-9999
2	24	55	3.61	-6.47	-5.85	-7.50	0.03	-9999	1.35	-9999	-9999
2	25	56	12.60	-4.58	-1.80	-7.50	0.28	-9999	0.00	-9999	-9999
2	26	57	5.87	-2.49	-0.65	-4.65	0.22	-9999	4.74	-9999	-9999
2	27	58	4.58	-5.41	-4.65	-6.55	0.00	-9999	5.26	-9999	-9999
2	28	59	12.02	-6.30	-4.20	-7.65	0.04	-9999	0.16	-9999	-9999
3	1	61	5.27	-7.18	-6.70	-7.70	0.01	-9999	4.16	-9999	-9999
3	2	62	4.48	-6.01	-3.65	-8.15	0.05	-9999	3.29	-9999	-9999
3	3	63	3.13	-2.96	-2.50	-3.75	0.08	-9999	1.38	-9999	-9999
3	4	64	3.18	-3.73	-2.95	-4.90	0.01	-9999	14.05	-9999	-9999
3	5	65	8.49	-7.01	-5.00	-8.25	0.05	-9999	0.00	-9999	-9999
3	6	66	14.25	-2.40	1.40	-8.00	0.26	-9999	0.10	-9999	-9999
3	7	67	3.87	-1.59	-0.90	-2.60	0.00	-9999	4.42	-9999	-9999
3	8	68	4.79	-3.56	-2.70	-4.55	0.00	-9999	8.25	-9999	-9999
3	9	69	5.34	-5.75	-4.70	-6.60	0.03	-9999	8.92	-9999	-9999
3	10	70	16.77	-3.40	-1.30	-5.80	0.11	-9999	0.73	-9999	-9999
3	11	71	10.35	0.85	3.20	-1.40	0.35	-9999	0.00	-9999	-9999
3	12	72	16.79	2.99	7.50	-0.90	0.37	-9999	0.00	-9999	-9999
3	13	73	14.59	6.75	11.70	2.70	0.40	-9999	0.00	-9999	-9999
3	14	74	14.38	5.41	7.30	4.50	0.24	-9999	0.00	-9999	-9999
3	15	75	17.31	7.75	10.05	4.50	0.26	-9999	0.00	-9999	-9999
3	16	76	16.34	9.94	11.45	8.20	0.36	-9999	0.00	-9999	-9999
3	17	77	18.27	13.27	15.75	10.95	0.46	-9999	0.00	-9999	-9999
3	18	78	18.26	15.11	17.35	13.10	0.50	-9999	0.00	-9999	-9999
3	19	79	15.75	12.61	14.50	10.60	0.40	-9999	0.00	-9999	-9999
3	20	80	5.82	10.16	12.45	7.15	0.26	-9999	0.00	-9999	-9999
3	21	81	16.41	9.25	14.40	2.85	0.24	-9999	5.39	-9999	-9999
3	22	82	7.41	2.98	4.40	1.55	0.20	-9999	0.86	-9999	-9999
3	23	83	3.41	0.22	3.45	-0.95	0.06	-9999	10.06	-9999	-9999
3	24	84	4.15	-1.28	-0.95	-1.40	0.00	-9999	31.82	-9999	-9999
3	25	85	4.60	-2.15	-1.45	-2.70	0.01	-9999	28.75	-9999	-9999
3	26	86	6.94	-4.58	-2.85	-5.60	0.01	-9999	3.93	-9999	-9999
3	27	87	8.51	-4.24	-3.00	-6.05	0.07	-9999	0.00	-9999	-9999
3	28	88	14.97	-1.84	0.35	-3.75	0.13	-9999	0.00	-9999	-9999
3	29	89	21.05	1.99	6.35	-2.40	0.14	-9999	0.00	-9999	-9999
3	30	90	21.01	4.55	8.20	1.85	0.28	-9999	0.00	-9999	-9999
3	31	91	20.68	6.66	10.95	2.35	0.32	-9999	0.00	-9999	-9999
4	1	92	18.29	8.08	10.95	5.05	0.24	-9999	0.00	-9999	-9999
4	2	93	20.08	10.57	13.30	8.45	0.29	-9999	0.00	-9999	-9999
4	3	94	18.71	10.56	12.45	9.25	0.28	-9999	0.00	-9999	-9999
4	4	95	11.33	8.70	10.95	6.65	0.20	-9999	0.40	-9999	-9999
4	5	96	6.15	4.76	8.30	1.70	0.12	-9999	2.00	-9999	-9999
4	6	97	6.80	2.61	5.35	1.10	0.10	-9999	0.00	-9999	-9999
4	7	98	6.50	0.50	1.65	-0.70	0.10	-9999	1.40	-9999	-9999
4	8	99	14.12	1.66	4.05	-0.70	0.18	-9999	0.00	-9999	-9999
4	9	100	14.73	3.83	6.30	1.25	0.24	-9999	0.00	-9999	-9999
4	10	101	11.08	4.78	8.10	2.70	0.20	-9999	0.00	-9999	-9999
4	11	102	2.49	1.43	3.60	0.50	0.01	-9999	0.90	-9999	-9999
4	12	103	14.66	3.39	5.25	1.30	0.24	-9999	0.00	-9999	-9999
4	13	104	5.38	2.89	4.50	0.60	0.16	-9999	1.00	-9999	-9999
4	14	105	8.60	4.07	6.05	2.05	0.22	-9999	0.00	-9999	-9999
4	15	106	21.72	8.45	12.30	4.50	0.35	-9999	0.00	-9999	-9999
4	16	107	19.51	9.97	13.10	7.10	0.35	-9999	0.00	-9999	-9999
4	17	108	14.54	10.01	12.30	8.10	0.26	-9999	1.50	-9999	-9999
4	18	109	18.12	11.41	14.85	9.20	0.29	-9999	0.00	-9999	-9999
4	19	110	7.51	6.05	10.65	2.50	0.08	-9999	0.00	-9999	-9999
4	20	111	6.01	3.73	6.40	2.20	0.07	-9999	2.70	-9999	-9999
4	21	112	19.06	10.37	13.20	6.85	0.35	-9999	0.00	-9999	-9999
4	22	113	22.74	12.84	15.30	9.45	0.38	-9999	0.00	-9999	-9999
4	23	114	19.74	13.69	16.30	11.25	0.36	-9999	0.00	-9999	-9999
4	24	115	4.96	4.89	10.45	2.75	0.03	-9999	26.60	-9999	-9999
4	25	116	3.73	2.63	3.35	1.70	0.01	-9999	7.30	-9999	-9999
4	26	117	17.77	6.23	10.10	2.60	0.15	-9999	0.40	-9999	-9999
4	27	118	19.32	10.06	12.75	6.75	0.26	-9999	0.00	-9999	-9999
4	28	119	20.84	12.68	15.90	8.90	0.32	-9999	0.00	-9999	-9999
4	29	120	18.82	15.31	18.90	12.30	0.41	-9999	0.00	-9999	-9999
4	30	121	21.07	13.95	17.45	11.75	0.39	-9999	0.00	-9999	-9999
5	1	122	11.83	11.98	15.35	9.25	0.21	-9999	2.90	-9999	-9999
5	2	123	9.77	9.44	11.10	8.05	0.08	-9999	29.60	-9999	-9999
5	3	124	18.36	11.80	16.05	6.80	0.24	-9999	0.20	-9999	-9999
5	4	125	8.87	13.14	15.10	12.05	0.38	-9999	0.00	-9999	-9999
5	5	126	22.34	11.88	15.20	6.80	0.32	-9999	0.00	-9999	-9999
5	6	127	4.85	4.91	6.90	3.30	0.00	-9999	17.40	-9999	-9999
5	7	128	13.48	5.37	7.15	3.40	0.19	-9999	0.00	-9999	-9999
5	8	129	9.75	5.95	8.70	4.00	0.20	-9999	0.30	-9999	-9999
5	9	130	9.13	5.59	6.75	4.65	0.16	-9999	0.80	-9999	-9999
5	10	131	8.90	5.31	6.65	3.25	0.09	-9999	1.20	-9999	-9999
5	11	132	13.51	9.33	12.40	6.75	0.18	-9999	0.00	-9999	-9999
5	12	133	17.02	11.44	14.55	9.85	0.25	-9999	2.40	-9999	-9999
5	13	134	2.44	6.97	9.45	6.25	0.02	-9999	10.70	-9999	-9999
5	14	135	9.88	6.71	8.65	4.20	0.15	-9999	3.30	-9999	-9999
5	15	136	14.86	8.84	11.30	6.90	0.20	-9999	9.20	-9999	-9999
5	16	137	10.66	6.62	8.00	3.95	0.10	-9999	45.90	-9999	-9999
5	17	138	9.87	8.66	10.25	6.20	0.18	-9999	0.00	-9999	-9999
5	18	139	21.77	13.46	16.60	9.80	0.29	-9999	0.40	-9999	-9999
5	19	140	15.83	14.55	16.45	11.15	0.27	-9999	2.70	-9999	-9999
5	20	141	25.54	16.45	18.90	13.60	0.34	-9999	0.00	-9999	-9999
5	21	142	13.06	13.31	16.65	10.60	0.16	-9999	21.00	-9999	-9999
5	22	143	3.57	4.66	9.05	3.20	0.02	-9999	14.30	-9999	-9999
5	23	144	9.42	2.79	4.65	0.30	0.15	-9999	4.50	-9999	-9999
5	24	145	16.25	5.07	8.10	1.30	0.25	-9999	0.40	-9999	-9999
5	25	146	25.11	9.12	12.25	5.65	0.34	-9999	0.00	-9999	-9999
5	26	147	22.89	11.88	15.35	8.40	0.31	-9999	2.30	-9999	-9999
5	27	148	7.86	9.28	11.35	8.35	0.05	-9999	5.20	-9999	-9999
5	28	149	6.00	6.10	8.80	4.50	0.04	-9999	27.20	-9999	-9999
5	29	150	18.69	9.07	11.70	6.05	0.23	-9999	0.10	-9999	-9999
5	30	151	26.95	12.34	15.10	9.20	0.36	-9999	0.00	-9999	-9999
5	31	152	23.81	12.97	16.20	8.60	0.28	-9999	9.10	-9999	-9999
6	1	153	12.51	10.47	13.35	8.00	0.11	-9999	3.90	-9999	-9999
6	2	154	5.65	7.71	11.60	6.85	0.02	-9999	10.60	-9999	-9999
6	3	155	4.00	8.21	9.20	6.85	0.02	-9999	20.90	-9999	-9999
6	4	156	1.82	8.76	10.40	8.00	0.03	-9999	13.80	-9999	-9999
6	5	157	12.77	9.29	11.30	8.15	0.07	-9999	5.00	-9999	-9999
6	6	158	8.66	9.15	11.55	7.15	0.08	-9999	0.50	-9999	-9999
6	7	159	21.76	14.32	17.30	10.50	0.31	-9999	0.10	-9999	-9999
6	8	160	26.49	18.12	21.35	14.35	0.37	-9999	0.00	-9999	-9999
6	9	161	23.84	21.61	24.60	18.60	0.38	-9999	0.00	-9999	-9999
6	10	162	23.84	21.86	24.40	19.70	0.35	-9999	0.00	-9999	-9999
6	11	163	15.80	15.98	20.90	13.65	0.11	-9999	6.05	-9999	-9999
6	12	164	9.24	12.55	14.15	10.40	0.11	-9999	0.20	-9999	-9999
6	13	165	8.96	9.11	10.15	7.65	0.08	-9999	0.20	-9999	-9999
