Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	LITTERFALL
1	1	2.29	0.45	6.1	-5.75	0.1	-9999	4.4	-9999	-9999	-9999	-9999
1	2	2.32	8.28	10.65	5.35	0.21	-9999	9.8	-9999	-9999	-9999	-9999
1	3	2.01	6.44	9.1	5.55	0.32	-9999	0	-9999	-9999	-9999	-9999
1	4	2.01	2.53	5.2	1.05	0.06	-9999	4.5	-9999	-9999	-9999	-9999
1	5	0.94	-5.03	0.9	-6.65	0.01	-9999	9.8	-9999	-9999	-9999	-9999
1	6	1.89	-7.97	-6.75	-8.6	0.02	-9999	0	-9999	-9999	-9999	-9999
1	7	1.69	-10.64	-8.6	-11.45	0.03	-9999	6.2	-9999	-9999	-9999	-9999
1	8	7.22	-10.69	-8.06	-12.75	0.03	-9999	0	-9999	-9999	-9999	-9999
1	9	2.04	-13.94	-13.05	-15.4	0.05	-9999	5	-9999	-9999	-9999	-9999
1	10	2.07	-11.98	-11.05	-13	0.04	-9999	4.3	-9999	-9999	-9999	-9999
1	11	4.54	-10.47	-9.35	-11.35	0.03	-9999	0	-9999	-9999	-9999	-9999
1	12	7.7	-10.9	-8.1	-13.8	0.14	-9999	0	-9999	-9999	-9999	-9999
1	13	3.42	-5.9	-1.1	-9.25	0.22	-9999	3.8	-9999	-9999	-9999	-9999
1	14	0.99	1.05	2.8	-0.95	0.03	-9999	15	-9999	-9999	-9999	-9999
1	15	6.48	2.2	5.8	0.25	0.11	-9999	0.3	-9999	-9999	-9999	-9999
1	16	0.97	1.1	6.3	-0.95	0.13	-9999	1.3	-9999	-9999	-9999	-9999
1	17	8.11	0.98	4.25	-2.2	0.22	-9999	0	-9999	-9999	-9999	-9999
1	18	3.73	2.04	3.1	0.3	0.29	-9999	0	-9999	-9999	-9999	-9999
1	19	8.3	2	5.15	-0.6	0.27	-9999	0	-9999	-9999	-9999	-9999
1	20	6.9	3.59	5.2	1.95	0.21	-9999	0	-9999	-9999	-9999	-9999
1	21	7.26	3.91	7.75	0.35	0.31	-9999	0	-9999	-9999	-9999	-9999
1	22	1.49	1.94	6.95	0.3	0.11	-9999	5.3	-9999	-9999	-9999	-9999
1	23	1.72	0.57	1.8	-0.1	0.04	-9999	7.1	-9999	-9999	-9999	-9999
1	24	1.34	-1.17	-0.05	-1.85	0	-9999	16.5	-9999	-9999	-9999	-9999
1	25	2.55	-2.03	-1.4	-2.7	0	-9999	1	-9999	-9999	-9999	-9999
1	26	2.98	-2.93	-2.4	-3.85	0	-9999	1.2	-9999	-9999	-9999	-9999
1	27	1.36	0	4.1	-2.6	0.02	-9999	24.3	-9999	-9999	-9999	-9999
1	28	1.33	2.86	6.85	-0.8	0.12	-9999	8.1	-9999	-9999	-9999	-9999
1	29	5.25	-1.27	0.55	-2.9	0.17	-9999	2.7	-9999	-9999	-9999	-9999
1	30	5.17	-3.26	-2.2	-4.15	0.06	-9999	4.6	-9999	-9999	-9999	-9999
1	31	3.69	-5.39	-4.35	-7.2	0.04	-9999	3.4	-9999	-9999	-9999	-9999
2	1	3.97	-8.74	-7.55	-9.55	0.04	-9999	0.8	-9999	-9999	-9999	-9999
2	2	3.42	-6.49	-1.85	-10.1	0.13	-9999	0.5	-9999	-9999	-9999	-9999
2	3	6.25	0.9	2.95	-1.4	0.25	-9999	1.7	-9999	-9999	-9999	-9999
2	4	1.83	-2.57	1.4	-4.65	0.06	-9999	2.6	-9999	-9999	-9999	-9999
2	5	2.29	-4.77	-4.1	-5.85	0.06	-9999	5.2	-9999	-9999	-9999	-9999
2	6	1.89	-5.91	-4.7	-7.1	0.07	-9999	1.7	-9999	-9999	-9999	-9999
2	7	5.61	-5.75	-4.2	-7.2	0.11	-9999	1.4	-9999	-9999	-9999	-9999
2	8	1.67	-4.37	-3.7	-5	0	-9999	9.4	-9999	-9999	-9999	-9999
2	9	10.91	-5.95	-4.15	-7.25	0	-9999	0	-9999	-9999	-9999	-9999
2	10	11.52	-6.65	-5.15	-8.05	0	-9999	0	-9999	-9999	-9999	-9999
2	11	1.8	-7.23	-6.65	-8.45	0.01	-9999	0	-9999	-9999	-9999	-9999
2	12	11.68	-7.97	-6.05	-9.75	0.03	-9999	0	-9999	-9999	-9999	-9999
2	13	11.78	-6.17	-2.15	-8.2	0.2	-9999	0	-9999	-9999	-9999	-9999
2	14	12.24	-6.2	-4.1	-7.7	0.2	-9999	0	-9999	-9999	-9999	-9999
2	15	5.97	-7.62	-6.5	-8.4	0.15	-9999	0	-9999	-9999	-9999	-9999
2	16	3.76	-7.8	-6.9	-8.4	0.01	-9999	1.5	-9999	-9999	-9999	-9999
2	17	11.82	-7.29	-4.3	-9.65	0.06	-9999	0	-9999	-9999	-9999	-9999
2	18	13.07	-7.81	-4.7	-10.4	0.16	-9999	0	-9999	-9999	-9999	-9999
2	19	12.68	-6.62	-3.95	-8.85	0.13	-9999	0	-9999	-9999	-9999	-9999
2	20	13.1	-1.47	2.9	-6.2	0.23	-9999	0	-9999	-9999	-9999	-9999
2	21	13.68	-0.38	4.6	-6.7	0.24	-9999	0	-9999	-9999	-9999	-9999
2	22	13.91	-0.56	2.85	-2.4	0.28	-9999	0	-9999	-9999	-9999	-9999
2	23	14.18	0.41	3.45	-3	0.39	-9999	0	-9999	-9999	-9999	-9999
