Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	LITTERFALL
1	1	2.05	-2.57	0.95	-5.15	0.12	-9999	0	-9999	-9999	-9999	-9999
1	2	0.66	-6.53	-5.4	-7.65	0.01	-9999	0.7	-9999	-9999	-9999	-9999
1	3	5.2	-7.92	-6.8	-9.05	0.01	-9999	0	-9999	-9999	-9999	-9999
1	4	2.12	-7.51	-5.25	-9.6	0.16	-9999	0	-9999	-9999	-9999	-9999
1	5	3.01	-6.77	-5.2	-7.2	0.14	-9999	0	-9999	-9999	-9999	-9999
1	6	7.33	-7.67	-5.85	-8.75	0.04	-9999	0	-9999	-9999	-9999	-9999
1	7	1.36	-9.2	-8.7	-9.8	0.01	-9999	0	-9999	-9999	-9999	-9999
1	8	9.47	-7.93	-6.4	-9.25	0.09	-9999	0	-9999	-9999	-9999	-9999
1	9	8.2	-4.58	-2.2	-6.8	0.45	-9999	0	-9999	-9999	-9999	-9999
1	10	8.06	-1.76	1.25	-4.3	0.51	-9999	0	-9999	-9999	-9999	-9999
1	11	8.24	-0.42	1.65	-2.8	0.5	-9999	0	-9999	-9999	-9999	-9999
1	12	8.41	1.76	4.1	-1	0.51	-9999	0	-9999	-9999	-9999	-9999
1	13	8.22	3.27	5.7	-0.25	0.51	-9999	0	-9999	-9999	-9999	-9999
1	14	2.68	-0.13	2.15	-1.4	0.2	-9999	0.4	-9999	-9999	-9999	-9999
1	15	3.94	-1.6	-0.9	-2.25	0.05	-9999	0	-9999	-9999	-9999	-9999
1	16	9.31	-1.48	0.1	-2.5	0.12	-9999	0	-9999	-9999	-9999	-9999
1	17	7.02	1.97	3.5	-0.8	0.39	-9999	0	-9999	-9999	-9999	-9999
1	18	6.02	3	5.45	-0.1	0.34	-9999	1.5	-9999	-9999	-9999	-9999
1	19	5.69	3.57	7	0.6	0.35	-9999	0	-9999	-9999	-9999	-9999
1	20	1.46	2.48	8.55	-1.25	0.16	-9999	0.7	-9999	-9999	-9999	-9999
1	21	1.23	-0.7	5.95	-1.7	0.03	-9999	14.6	-9999	-9999	-9999	-9999
1	22	4.29	-1.83	-1.4	-2.3	0.01	-9999	1.1	-9999	-9999	-9999	-9999
1	23	6.62	2.27	9	-3.55	0.27	-9999	3.4	-9999	-9999	-9999	-9999
1	24	8.9	0.64	2.8	-1.15	0.31	-9999	0	-9999	-9999	-9999	-9999
1	25	5.88	-1.41	-0.25	-2	0.24	-9999	0	-9999	-9999	-9999	-9999
1	26	9.59	1.17	2.8	-0.6	0.33	-9999	0	-9999	-9999	-9999	-9999
1	27	1.57	-3.34	0.35	-4.65	0.06	-9999	5.3	-9999	-9999	-9999	-9999
1	28	1.85	-4.36	-4	-4.7	0.01	-9999	13.6	-9999	-9999	-9999	-9999
1	29	1.29	-5.1	-4.25	-5.5	0.01	-9999	2.4	-9999	-9999	-9999	-9999
1	30	1.16	-5.89	-5.1	-7.35	0.01	-9999	0	-9999	-9999	-9999	-9999
1	31	3.11	-6.57	-5.25	-7.75	0.01	-9999	0	-9999	-9999	-9999	-9999
2	1	11.9	-4.19	0.1	-7.15	0.16	-9999	0	-9999	-9999	-9999	-9999
2	2	4.85	3.61	5.9	-0.15	0.33	-9999	0	-9999	-9999	-9999	-9999
2	3	5.91	6.55	10	2.15	0.37	-9999	0	-9999	-9999	-9999	-9999
2	4	10.72	4.09	6.2	2.6	0.29	-9999	0	-9999	-9999	-9999	-9999
2	5	10.48	6.23	9.55	2.95	0.36	-9999	0	-9999	-9999	-9999	-9999
2	6	7.28	8.96	11.6	6.45	0.43	-9999	0	-9999	-9999	-9999	-9999
2	7	9.27	7.3	10.8	0.2	0.35	-9999	0	-9999	-9999	-9999	-9999
2	8	1.56	-1.66	0.65	-4.1	0.02	-9999	18.6	-9999	-9999	-9999	-9999
2	9	9.81	-2.53	1.2	-4.9	0.23	-9999	0.4	-9999	-9999	-9999	-9999
2	10	4.71	3.06	4.65	1.5	0.25	-9999	1.2	-9999	-9999	-9999	-9999
2	11	1.69	-2.65	0.7	-4.4	0.13	-9999	3	-9999	-9999	-9999	-9999
2	12	1.7	-4.9	-4.05	-6.4	0.06	-9999	3.3	-9999	-9999	-9999	-9999
2	13	2.55	-6.62	-6	-7.35	0.09	-9999	2	-9999	-9999	-9999	-9999
