Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI 	ET	LITTERFALL
1	1	3.292401	2.332610	4.712620	-1.130840	1.375757	-9999	0.000000	-9999	-9999	-9999	-9999
1	2	2.448757	1.329280	4.056240	-1.907420	0.994567	-9999	0.164275	-9999	-9999	-9999	-9999
1	3	3.083737	-0.271489	3.880920	-3.383460	0.681516	-9999	3.243330	-9999	-9999	-9999	-9999
1	4	3.274932	-2.218600	0.253601	-5.468420	0.612322	-9999	1.418410	-9999	-9999	-9999	-9999
1	5	1.336893	-4.929140	-1.162720	-8.355420	0.361440	-9999	12.958300	-9999	-9999	-9999	-9999
1	6	2.893095	-8.236180	-5.102450	-10.171100	0.397048	-9999	6.198300	-9999	-9999	-9999	-9999
1	7	2.655132	-7.604650	-4.976320	-10.074800	0.394340	-9999	2.581680	-9999	-9999	-9999	-9999
1	8	3.600711	-4.004370	1.133850	-10.128000	0.388028	-9999	4.742130	-9999	-9999	-9999	-9999
1	9	2.087856	2.357290	4.598820	-0.793129	0.438593	-9999	11.082300	-9999	-9999	-9999	-9999
1	10	1.285908	-0.403325	2.066830	-1.942050	0.398290	-9999	5.336850	-9999	-9999	-9999	-9999
1	11	2.400425	1.350860	3.455840	-1.785590	0.264609	-9999	12.273100	-9999	-9999	-9999	-9999
1	12	1.836337	0.444514	3.929380	-1.856730	0.566031	-9999	8.902720	-9999	-9999	-9999	-9999
1	13	1.666829	-1.288520	0.647430	-2.634930	0.406268	-9999	0.792087	-9999	-9999	-9999	-9999
1	14	2.150435	0.613704	3.766750	-2.422860	0.332554	-9999	1.577720	-9999	-9999	-9999	-9999
1	15	1.437532	0.961909	3.650940	-1.564000	0.296979	-9999	6.606090	-9999	-9999	-9999	-9999
1	16	1.980461	1.446930	3.376400	-1.538220	0.165474	-9999	2.909480	-9999	-9999	-9999	-9999
1	17	1.163419	2.771510	4.305390	1.445980	0.536557	-9999	0.560998	-9999	-9999	-9999	-9999
1	18	3.366066	3.879080	6.087100	2.007010	1.399422	-9999	0.167963	-9999	-9999	-9999	-9999
1	19	3.213078	-0.267736	3.933290	-3.106060	0.371806	-9999	0.213021	-9999	-9999	-9999	-9999
1	20	4.270398	-1.051880	3.242190	-4.330760	0.985148	-9999	0.000140	-9999	-9999	-9999	-9999
1	21	4.422047	0.750727	4.943910	-3.023510	1.543133	-9999	0.000000	-9999	-9999	-9999	-9999
1	22	2.538527	-0.372258	4.980990	-3.938670	0.655184	-9999	10.072500	-9999	-9999	-9999	-9999
1	23	3.205924	-4.523200	-1.964810	-6.450930	0.445789	-9999	4.000610	-9999	-9999	-9999	-9999
1	24	2.235496	-2.236270	0.942627	-7.274910	0.345560	-9999	9.481270	-9999	-9999	-9999	-9999
1	25	2.289038	2.394280	3.939480	-0.985267	0.307216	-9999	5.128840	-9999	-9999	-9999	-9999
1	26	4.790292	1.614530	4.576510	-0.768715	0.783330	-9999	0.250746	-9999	-9999	-9999	-9999
1	27	1.555304	-0.455419	2.570800	-2.615000	0.639117	-9999	1.366120	-9999	-9999	-9999	-9999
