Month	n_days	Rg_f	Ta_f	Tmax	Tmin	Rh_f	Ts_f	Precip	SWC	LAI	ET	LITTERFALL
1	1	2.137208	-0.816655	3.079280	-6.433510	91.805800	-9999	6.107440	-9999	-9999	-9999	-9999
1	2	2.457855	-2.768500	0.517090	-5.269870	87.747700	-9999	1.910460	-9999	-9999	-9999	-9999
1	3	1.882146	-1.045420	1.915500	-5.044010	91.740500	-9999	7.115190	-9999	-9999	-9999	-9999
1	4	1.956174	0.506862	3.416500	-2.119270	94.765700	-9999	9.242040	-9999	-9999	-9999	-9999
1	5	1.614635	-0.308232	4.024780	-4.212230	91.061700	-9999	7.683110	-9999	-9999	-9999	-9999
1	6	3.430140	0.235377	4.150700	-4.701360	86.219300	-9999	0.291113	-9999	-9999	-9999	-9999
1	7	3.584304	2.073910	5.029750	-0.305977	85.750700	-9999	0.005680	-9999	-9999	-9999	-9999
1	8	3.020233	1.280420	5.607540	-2.712990	91.834600	-9999	4.486510	-9999	-9999	-9999	-9999
1	9	3.658046	-0.422002	3.477290	-5.220220	82.664400	-9999	0.085604	-9999	-9999	-9999	-9999
1	10	3.617343	2.594720	5.414640	-0.547096	85.050100	-9999	0.842797	-9999	-9999	-9999	-9999
1	11	3.715624	3.647090	6.127410	0.942986	82.727900	-9999	0.000000	-9999	-9999	-9999	-9999
1	12	3.656249	3.297390	6.485350	-0.416267	84.177500	-9999	0.000000	-9999	-9999	-9999	-9999
1	13	3.837836	3.855100	6.644620	1.321460	72.654900	-9999	0.000000	-9999	-9999	-9999	-9999
1	14	3.969199	5.303340	9.972600	1.827020	49.703500	-9999	0.000000	-9999	-9999	-9999	-9999
1	15	4.062614	4.495600	9.672940	0.834191	38.388100	-9999	0.000000	-9999	-9999	-9999	-9999
1	16	4.166268	2.781730	7.257450	-0.325874	60.440900	-9999	0.000000	-9999	-9999	-9999	-9999
1	17	3.812201	-1.028630	2.785370	-4.927560	87.298600	-9999	0.191807	-9999	-9999	-9999	-9999
1	18	2.926826	-5.545170	-3.003660	-7.129280	89.806900	-9999	2.376070	-9999	-9999	-9999	-9999
1	19	2.581157	-9.483680	-5.182920	-13.980000	84.573200	-9999	2.072570	-9999	-9999	-9999	-9999
