Month	n_days	Rg_f	Ta_f	Tmax	Tmin	Rh_f	Ts_f	Precip	SWC	LAI	ET	LITTERFALL
1	1	3.189897	-2.314730	4.049220	-9.624730	80.463700	-9999	0.011563	-9999	-9999	-9999	-9999
1	2	2.680776	1.512140	5.163180	-1.528970	88.983000	-9999	0.043684	-9999	-9999	-9999	-9999
1	3	3.457987	-0.466283	3.751500	-2.944560	89.184500	-9999	0.006964	-9999	-9999	-9999	-9999
1	4	3.223670	1.243340	4.463810	-1.935770	91.678100	-9999	0.000312	-9999	-9999	-9999	-9999
1	5	2.187786	1.631920	4.369780	-0.271675	92.482100	-9999	0.002946	-9999	-9999	-9999	-9999
1	6	3.408230	2.320610	4.681270	-0.072761	92.346400	-9999	1.873030	-9999	-9999	-9999	-9999
1	7	3.207704	1.419310	4.404630	-1.400980	91.661700	-9999	0.026773	-9999	-9999	-9999	-9999
1	8	3.537510	0.847712	3.843110	-2.128940	88.824300	-9999	0.021397	-9999	-9999	-9999	-9999
1	9	1.411767	0.361750	3.303680	-2.633160	94.854200	-9999	8.417440	-9999	-9999	-9999	-9999
1	10	2.928563	-1.019960	2.391850	-3.364970	89.469300	-9999	2.269590	-9999	-9999	-9999	-9999
1	11	3.725015	-2.241770	1.476320	-5.298900	85.451300	-9999	0.372738	-9999	-9999	-9999	-9999
1	12	1.608215	-2.405980	0.017395	-4.276070	93.551500	-9999	4.086120	-9999	-9999	-9999	-9999
1	13	2.530570	-3.297370	0.352478	-6.433140	85.205200	-9999	1.511910	-9999	-9999	-9999	-9999
1	14	3.590525	-1.090950	2.102050	-6.542030	83.740800	-9999	0.000720	-9999	-9999	-9999	-9999
1	15	3.900407	1.323600	4.098390	-1.645970	93.223900	-9999	1.048160	-9999	-9999	-9999	-9999
1	16	3.242238	2.683590	5.107970	0.289086	89.157400	-9999	1.892930	-9999	-9999	-9999	-9999
1	17	3.634658	3.001580	6.583740	0.113426	90.359500	-9999	0.013367	-9999	-9999	-9999	-9999
1	18	2.182991	2.575370	5.010560	1.202230	98.232100	-9999	4.426960	-9999	-9999	-9999	-9999
1	19	1.537134	-0.503148	4.017210	-4.301030	91.569700	-9999	5.583780	-9999	-9999	-9999	-9999
1	20	4.186564	0.169062	2.914120	-4.965550	88.684200	-9999	0.381253	-9999	-9999	-9999	-9999
1	21	4.068835	2.280480	4.631320	-1.130010	91.457600	-9999	0.283520	-9999	-9999	-9999	-9999
1	22	4.040228	3.139430	5.301090	1.548090	88.404400	-9999	10.469600	-9999	-9999	-9999	-9999
1	23	2.207382	0.934169	3.978060	-1.596230	93.366800	-9999	7.401070	-9999	-9999	-9999	-9999
1	24	2.978882	0.312495	3.266420	-2.731570	92.339400	-9999	2.477920	-9999	-9999	-9999	-9999
1	25	4.722183	-0.680303	3.284090	-4.884250	90.103100	-9999	0.864590	-9999	-9999	-9999	-9999
1	26	4.536674	0.467707	3.766910	-1.816110	89.751300	-9999	1.984650	-9999	-9999	-9999	-9999
1	27	3.407694	-0.079046	3.424800	-2.734080	92.510700	-9999	1.811730	-9999	-9999	-9999	-9999
1	28	1.574070	-0.527562	1.978090	-2.661140	93.998500	-9999	7.300950	-9999	-9999	-9999	-9999
1	29	4.810882	-0.431768	3.858670	-4.873270	71.642700	-9999	0.000014	-9999	-9999	-9999	-9999
1	30	5.300485	-0.633184	4.331330	-4.208810	64.669400	-9999	0.000000	-9999	-9999	-9999	-9999
1	31	5.030485	1.220520	4.329380	-2.072520	89.633100	-9999	1.369750	-9999	-9999	-9999	-9999
2	1	5.405435	0.384087	3.620750	-3.044550	88.583000	-9999	0.387662	-9999	-9999	-9999	-9999
2	2	5.559676	0.174736	3.485650	-4.673250	84.318100	-9999	0.403083	-9999	-9999	-9999	-9999
2	3	1.438327	0.060051	3.132930	-3.600550	97.395000	-9999	6.819440	-9999	-9999	-9999	-9999
2	4	3.611926	-6.653020	-1.284090	-10.949900	88.965000	-9999	2.604300	-9999	-9999	-9999	-9999
2	5	3.462445	-12.338100	-8.636330	-15.622800	84.262100	-9999	3.826390	-9999	-9999	-9999	-9999
2	6	4.742686	-15.041900	-12.301000	-17.793500	81.615000	-9999	3.608790	-9999	-9999	-9999	-9999
2	7	4.438696	-13.648600	-11.070300	-16.901400	83.853300	-9999	4.595900	-9999	-9999	-9999	-9999
2	8	5.063144	-10.860600	-7.681100	-13.955600	85.703900	-9999	4.009000	-9999	-9999	-9999	-9999
2	9	5.664842	-7.261390	-2.334300	-13.172200	82.286500	-9999	0.196176	-9999	-9999	-9999	-9999
2	10	6.640454	-5.825200	0.850214	-10.249900	82.047900	-9999	0.000000	-9999	-9999	-9999	-9999
2	11	6.326968	-5.126660	-0.573157	-9.703340	85.663000	-9999	0.628522	-9999	-9999	-9999	-9999
2	12	5.255850	-0.855568	3.103080	-7.432680	90.262700	-9999	0.689485	-9999	-9999	-9999	-9999
2	13	4.209762	-1.883950	1.903190	-4.832030	95.221400	-9999	1.047540	-9999	-9999	-9999	-9999
2	14	4.489741	-3.959970	-0.413428	-6.912410	91.771700	-9999	1.267330	-9999	-9999	-9999	-9999
2	15	7.009701	-1.911450	3.531850	-7.458680	87.111700	-9999	0.001146	-9999	-9999	-9999	-9999
2	16	7.331705	-2.017220	3.101740	-5.200380	87.691900	-9999	0.003870	-9999	-9999	-9999	-9999
2	17	7.450350	-1.144720	3.328420	-5.545650	89.052600	-9999	0.024366	-9999	-9999	-9999	-9999
2	18	7.538124	-0.618171	3.599080	-3.316220	89.806700	-9999	0.000005	-9999	-9999	-9999	-9999
2	19	5.040567	0.492546	4.196980	-3.772090	90.482900	-9999	0.657163	-9999	-9999	-9999	-9999
2	20	4.376376	0.393791	2.740750	-1.601320	96.212600	-9999	1.577250	-9999	-9999	-9999	-9999
2	21	5.179352	-0.606025	2.960720	-3.484920	91.308800	-9999	4.295750	-9999	-9999	-9999	-9999
2	22	3.830034	-2.182440	2.492030	-5.580690	92.427600	-9999	8.864890	-9999	-9999	-9999	-9999
2	23	8.574846	-4.858590	-0.568701	-8.823000	85.293000	-9999	1.904980	-9999	-9999	-9999	-9999
2	24	5.267635	1.339410	3.871420	-7.309780	91.282000	-9999	2.861310	-9999	-9999	-9999	-9999
2	25	7.688874	1.678220	3.631950	-0.117858	92.245400	-9999	1.946860	-9999	-9999	-9999	-9999
2	26	8.810294	0.504662	3.074940	-2.680240	92.508000	-9999	0.113202	-9999	-9999	-9999	-9999
2	27	6.910203	0.011406	4.486810	-2.659540	91.136700	-9999	0.021007	-9999	-9999	-9999	-9999
2	28	6.381340	0.346245	3.219290	-2.794280	92.961800	-9999	0.867667	-9999	-9999	-9999	-9999
3	1	5.419898	0.849857	5.006000	-3.851580	95.821300	-9999	5.551830	-9999	-9999	-9999	-9999
3	2	6.620832	-4.701500	-0.975473	-7.828850	89.162100	-9999	1.731220	-9999	-9999	-9999	-9999
3	3	9.879667	-5.620140	0.317771	-10.607600	84.411500	-9999	0.082486	-9999	-9999	-9999	-9999
3	4	10.077178	-6.026090	-0.019021	-9.730920	78.877600	-9999	0.000000	-9999	-9999	-9999	-9999
3	5	10.340352	-5.207610	1.102930	-9.786640	77.900900	-9999	0.000029	-9999	-9999	-9999	-9999
3	6	10.863677	-3.751710	2.452200	-8.780020	73.321900	-9999	0.000000	-9999	-9999	-9999	-9999
3	7	11.005373	-1.535400	4.745900	-6.669330	71.002600	-9999	0.000000	-9999	-9999	-9999	-9999
3	8	11.305354	0.768833	7.197470	-3.814020	61.307200	-9999	0.000000	-9999	-9999	-9999	-9999
3	9	11.073455	2.240360	7.925930	-3.781700	46.147500	-9999	0.000000	-9999	-9999	-9999	-9999
3	10	8.292681	3.069860	7.001330	-0.721884	67.940200	-9999	0.260349	-9999	-9999	-9999	-9999
3	11	7.492971	3.011330	5.805470	0.587015	95.124700	-9999	0.669516	-9999	-9999	-9999	-9999
3	12	10.577001	2.491150	5.978840	-0.059255	85.752100	-9999	0.363832	-9999	-9999	-9999	-9999
3	13	8.279298	4.659980	8.954180	0.216227	69.114000	-9999	0.000000	-9999	-9999	-9999	-9999
3	14	6.402326	3.631470	6.425590	1.397040	88.534900	-9999	2.701940	-9999	-9999	-9999	-9999
3	15	6.304867	3.361850	6.252430	1.055670	88.650000	-9999	9.617660	-9999	-9999	-9999	-9999
3	16	3.161696	1.280830	3.768550	-0.811971	94.709400	-9999	19.141800	-9999	-9999	-9999	-9999
3	17	6.550874	0.896610	4.111840	-2.012990	93.606400	-9999	2.783950	-9999	-9999	-9999	-9999
3	18	7.753977	3.650090	6.008540	-0.325369	93.538100	-9999	12.197800	-9999	-9999	-9999	-9999
3	19	4.445669	4.014320	5.820180	1.909430	95.182800	-9999	22.488400	-9999	-9999	-9999	-9999
3	20	2.397695	0.939335	4.206870	-1.332080	93.141200	-9999	14.267600	-9999	-9999	-9999	-9999
3	21	11.904710	2.439370	5.929710	-1.169520	88.517900	-9999	2.188950	-9999	-9999	-9999	-9999
3	22	9.211622	3.284670	6.086080	0.041117	90.760200	-9999	5.447800	-9999	-9999	-9999	-9999
3	23	10.382083	3.039160	5.576350	0.753000	85.034900	-9999	2.260980	-9999	-9999	-9999	-9999
