Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	LITTERFALL
1	1	2.598549	-4.030030	-0.964722	-9.250980	0.392065	-9999	2.858640	-9999	-9999	-9999	-9999
1	2	2.163059	-1.863230	0.800537	-3.995280	0.308852	-9999	6.354180	-9999	-9999	-9999	-9999
1	3	3.012768	-0.711187	2.765410	-3.303960	0.552871	-9999	0.273229	-9999	-9999	-9999	-9999
1	4	2.069989	1.686550	3.673550	-1.677010	0.251972	-9999	6.994930	-9999	-9999	-9999	-9999
1	5	3.137141	2.318480	4.727360	0.227043	0.569411	-9999	3.057460	-9999	-9999	-9999	-9999
1	6	1.105393	-1.525300	2.155760	-5.533210	0.309188	-9999	5.493000	-9999	-9999	-9999	-9999
1	7	1.966455	-0.648931	3.880710	-6.543370	0.325234	-9999	10.452300	-9999	-9999	-9999	-9999
1	8	2.321024	-3.505500	-0.605042	-5.855840	0.446238	-9999	5.104350	-9999	-9999	-9999	-9999
1	9	2.541681	-7.677530	-2.749630	-10.562300	0.412701	-9999	4.984580	-9999	-9999	-9999	-9999
1	10	2.935751	-6.096260	-2.241730	-11.314600	0.407402	-9999	1.581070	-9999	-9999	-9999	-9999
1	11	2.749749	-5.141730	-2.347690	-7.257880	0.395206	-9999	1.826080	-9999	-9999	-9999	-9999
1	12	3.177438	-7.530800	-3.276310	-11.469900	0.396881	-9999	0.684159	-9999	-9999	-9999	-9999
1	13	3.909920	-8.332250	-3.203740	-14.336000	0.715132	-9999	0.000000	-9999	-9999	-9999	-9999
1	14	2.936649	-4.320070	0.870209	-9.422680	0.832481	-9999	0.511989	-9999	-9999	-9999	-9999
1	15	2.211373	-5.117010	-1.925990	-7.025490	0.397085	-9999	8.497280	-9999	-9999	-9999	-9999
1	16	2.959442	-7.611360	-4.819760	-10.844700	0.566469	-9999	5.176850	-9999	-9999	-9999	-9999
1	17	4.250370	-6.435550	-1.041140	-11.928100	1.090855	-9999	0.000000	-9999	-9999	-9999	-9999
1	18	4.207386	-2.927680	0.609650	-8.451760	1.752982	-9999	0.000000	-9999	-9999	-9999	-9999
1	19	3.662133	0.194514	3.280360	-2.604500	0.459435	-9999	2.022940	-9999	-9999	-9999	-9999
1	20	3.157773	1.740110	4.415680	-2.620280	0.503605	-9999	2.707370	-9999	-9999	-9999	-9999
1	21	2.714325	3.635710	6.275940	1.155390	0.831004	-9999	1.974560	-9999	-9999	-9999	-9999
1	22	4.446982	2.526210	4.888180	0.270531	0.873661	-9999	0.000000	-9999	-9999	-9999	-9999
1	23	2.174394	0.062861	3.429110	-2.540470	0.278875	-9999	1.998510	-9999	-9999	-9999	-9999
1	24	4.634781	-0.920568	3.904540	-4.861550	0.685368	-9999	0.006740	-9999	-9999	-9999	-9999
1	25	3.259466	-2.689700	1.444610	-7.182350	0.401704	-9999	1.755650	-9999	-9999	-9999	-9999
1	26	4.256963	-2.808320	1.095580	-8.417090	0.766481	-9999	0.066575	-9999	-9999	-9999	-9999
1	27	4.910941	0.524409	4.676540	-2.681130	1.258297	-9999	0.000001	-9999	-9999	-9999	-9999
1	28	3.394224	0.508296	3.503570	-3.872080	0.452182	-9999	1.275580	-9999	-9999	-9999	-9999
1	29	4.439889	-4.293830	1.041440	-7.152560	0.461823	-9999	0.172457	-9999	-9999	-9999	-9999
1	30	5.279446	-5.069890	0.116516	-8.783090	0.419669	-9999	0.000000	-9999	-9999	-9999	-9999
1	31	4.157205	-2.971780	1.168760	-8.391370	0.433695	-9999	0.552119	-9999	-9999	-9999	-9999
2	1	2.672274	-4.699350	-1.857280	-7.732910	0.439838	-9999	8.757840	-9999	-9999	-9999	-9999
2	2	4.635282	-10.077000	-5.418310	-12.827600	0.409153	-9999	1.893810	-9999	-9999	-9999	-9999
2	3	5.383212	-18.315600	-10.510800	-20.429300	0.316035	-9999	1.275940	-9999	-9999	-9999	-9999
2	4	5.703195	-17.519300	-14.191500	-20.972400	0.333488	-9999	0.471377	-9999	-9999	-9999	-9999
2	5	4.339924	-12.159900	-7.380650	-18.808300	0.366782	-9999	2.840980	-9999	-9999	-9999	-9999
2	6	4.569748	-8.433910	-4.919960	-14.052000	0.377835	-9999	2.312130	-9999	-9999	-9999	-9999
2	7	5.078834	-6.157910	-2.146920	-8.681730	0.371623	-9999	1.020410	-9999	-9999	-9999	-9999
2	8	6.108808	-6.067150	-0.860388	-10.229700	0.393241	-9999	0.015428	-9999	-9999	-9999	-9999
2	9	6.562728	-3.519970	1.480580	-9.511440	0.953976	-9999	0.000000	-9999	-9999	-9999	-9999
2	10	2.648445	-3.038550	-0.173346	-4.769590	0.500511	-9999	3.065220	-9999	-9999	-9999	-9999
2	11	5.524477	-4.112490	0.113092	-7.332910	0.707542	-9999	0.742867	-9999	-9999	-9999	-9999
2	12	6.361476	-3.223760	1.616820	-7.509090	0.994238	-9999	0.000000	-9999	-9999	-9999	-9999
2	13	5.434266	-1.580150	3.898520	-6.053040	0.748685	-9999	2.176560	-9999	-9999	-9999	-9999
2	14	3.973821	-10.456500	-3.235690	-13.157300	0.478928	-9999	2.623550	-9999	-9999	-9999	-9999
2	15	5.950264	-6.671030	-1.892800	-14.846900	0.715674	-9999	0.344657	-9999	-9999	-9999	-9999
2	16	6.044440	-10.086800	-1.872560	-15.823800	0.426512	-9999	2.061980	-9999	-9999	-9999	-9999
2	17	7.871489	-11.026000	-5.834140	-17.518000	0.609347	-9999	0.045359	-9999	-9999	-9999	-9999
2	18	5.059765	-6.235540	-0.682868	-11.710500	0.509293	-9999	2.078160	-9999	-9999	-9999	-9999
2	19	4.581179	-8.792150	-6.551580	-10.946600	0.429983	-9999	1.927570	-9999	-9999	-9999	-9999
