Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1950	1	1	14.03	2.46	3.80	-1.09	1.65	-9999	0.00	-9999	-9999	-9999	-9999
1950	1	2	14.50	2.88	4.36	-1.03	1.85	-9999	0.00	-9999	-9999	-9999	-9999
1950	1	3	15.23	1.19	2.91	-3.33	1.88	-9999	0.00	-9999	-9999	-9999	-9999
1950	1	4	16.47	3.38	5.94	-3.38	3.02	-9999	0.00	-9999	-9999	-9999	-9999
1950	1	5	16.18	3.62	5.86	-2.29	2.75	-9999	0.00	-9999	-9999	-9999	-9999
1950	1	6	14.05	4.09	5.45	0.50	1.85	-9999	0.00	-9999	-9999	-9999	-9999
1950	1	7	15.11	5.67	7.37	1.18	2.48	-9999	0.00	-9999	-9999	-9999	-9999
1950	1	8	15.31	7.24	9.05	2.46	2.89	-9999	0.00	-9999	-9999	-9999	-9999
1950	1	9	15.78	6.86	8.90	1.47	3.12	-9999	0.00	-9999	-9999	-9999	-9999
1950	1	10	12.34	5.32	7.38	-0.11	2.86	-9999	0.00	-9999	-9999	-9999	-9999
1950	1	11	12.76	5.61	7.91	-0.44	3.19	-9999	0.00	-9999	-9999	-9999	-9999
1950	1	12	13.16	3.32	5.78	-3.17	2.91	-9999	0.00	-9999	-9999	-9999	-9999
1950	1	13	13.45	4.39	7.08	-2.70	3.35	-9999	0.00	-9999	-9999	-9999	-9999
1950	1	14	10.24	3.4	4.63	0.16	1.61	-9999	0.00	-9999	-9999	-9999	-9999
1950	1	15	10.15	3.4	4.59	0.25	1.57	-9999	0.00	-9999	-9999	-9999	-9999
1950	1	16	11.39	2.82	4.26	-0.98	1.79	-9999	0.00	-9999	-9999	-9999	-9999
1950	1	17	10.25	3.55	5.27	-0.98	2.19	-9999	5.50	-9999	-9999	-9999	-9999
1950	1	18	7.44	0.54	1.54	-2.11	1.12	-9999	14.20	-9999	-9999	-9999	-9999
1950	1	19	11.38	0.89	2.24	-2.66	1.49	-9999	0.00	-9999	-9999	-9999	-9999
1950	1	20	10.30	2.44	3.57	-0.54	1.41	-9999	0.00	-9999	-9999	-9999	-9999
1950	1	21	12.51	4.62	6.22	0.42	2.20	-9999	0.00	-9999	-9999	-9999	-9999
1950	1	22	13.28	2.61	4.38	-2.06	2.12	-9999	0.00	-9999	-9999	-9999	-9999
1950	1	23	8.44	-1.49	-0.68	-3.61	0.80	-9999	0.00	-9999	-9999	-9999	-9999
1950	1	24	3.80	-3.48	-3.06	-4.59	0.38	-9999	0.90	-9999	-9999	-9999	-9999
1950	1	25	11.76	-0.92	0.35	-4.26	1.26	-9999	0.00	-9999	-9999	-9999	-9999
1950	1	26	12.50	2.36	3.77	-1.35	1.71	-9999	0.00	-9999	-9999	-9999	-9999
1950	1	27	8.09	3.77	4.78	1.10	1.38	-9999	5.10	-9999	-9999	-9999	-9999
1950	1	28	11.29	3.89	5.55	-0.50	2.18	-9999	6.70	-9999	-9999	-9999	-9999
1950	1	29	9.33	0.21	1.38	-2.89	1.26	-9999	15.00	-9999	-9999	-9999	-9999
1950	1	30	8.21	-1.29	-0.32	-3.84	0.96	-9999	0.50	-9999	-9999	-9999	-9999
1950	1	31	14.77	-0.56	1.19	-5.19	1.71	-9999	0.00	-9999	-9999	-9999	-9999
1950	2	1	15.95	2.1	4.28	-3.64	2.44	-9999	0.00	-9999	-9999	-9999	-9999
1950	2	2	14.19	4.63	6.20	0.49	2.17	-9999	0.00	-9999	-9999	-9999	-9999
1950	2	3	14.24	5.81	7.34	1.76	2.29	-9999	0.00	-9999	-9999	-9999	-9999
1950	2	4	12.90	5.06	6.30	1.78	1.81	-9999	0.00	-9999	-9999	-9999	-9999
1950	2	5	12.05	5.95	7.05	3.05	1.71	-9999	0.00	-9999	-9999	-9999	-9999
1950	2	6	5.21	3.55	4.07	2.18	0.73	-9999	2.20	-9999	-9999	-9999	-9999
1950	2	7	13.04	5.42	7.14	0.87	2.47	-9999	8.50	-9999	-9999	-9999	-9999
1950	2	8	14.28	6.52	8.62	0.99	3.13	-9999	1.40	-9999	-9999	-9999	-9999
1950	2	9	12.75	4.22	5.78	0.12	2.10	-9999	2.80	-9999	-9999	-9999	-9999
1950	2	10	18.25	5.79	8.01	-0.08	3.14	-9999	0.00	-9999	-9999	-9999	-9999
1950	2	11	18.54	7.51	9.80	1.46	3.58	-9999	0.00	-9999	-9999	-9999	-9999
1950	2	12	19.07	8.41	10.88	1.88	4.03	-9999	0.00	-9999	-9999	-9999	-9999
1950	2	13	16.78	8.22	9.84	3.94	2.79	-9999	0.00	-9999	-9999	-9999	-9999
1950	2	14	11.91	6.91	8.19	3.52	2.09	-9999	7.60	-9999	-9999	-9999	-9999
1950	2	15	19.03	7.05	9.15	1.53	3.23	-9999	0.00	-9999	-9999	-9999	-9999
1950	2	16	19.85	8.5	10.88	2.22	3.93	-9999	0.00	-9999	-9999	-9999	-9999
1950	2	17	20.33	11.33	13.93	4.49	5.00	-9999	0.00	-9999	-9999	-9999	-9999
1950	2	18	20.10	13.06	15.51	6.61	5.28	-9999	0.00	-9999	-9999	-9999	-9999
1950	2	19	19.70	11.26	13.44	5.50	4.32	-9999	0.00	-9999	-9999	-9999	-9999
1950	2	20	20.67	9.26	11.68	2.88	4.17	-9999	0.00	-9999	-9999	-9999	-9999
1950	2	21	17.95	7.5	9.13	3.22	2.67	-9999	0.00	-9999	-9999	-9999	-9999
1950	2	22	21.15	8.35	10.74	2.04	3.90	-9999	0.00	-9999	-9999	-9999	-9999
1950	2	23	21.76	8.62	11.23	1.73	4.26	-9999	0.00	-9999	-9999	-9999	-9999
1950	2	24	20.77	6.48	8.63	0.82	3.18	-9999	0.00	-9999	-9999	-9999	-9999
1950	2	25	12.90	7.01	8.38	3.40	2.23	-9999	2.10	-9999	-9999	-9999	-9999
1950	2	26	13.10	7.25	8.64	3.60	2.29	-9999	2.60	-9999	-9999	-9999	-9999
1950	2	27	15.29	5.01	6.72	0.52	2.39	-9999	2.10	-9999	-9999	-9999	-9999
1950	2	28	13.79	2.13	3.54	-1.60	1.69	-9999	10.90	-9999	-9999	-9999	-9999
1950	3	1	13.02	0.98	2.27	-2.41	1.44	-9999	21.00	-9999	-9999	-9999	-9999
1950	3	2	22.20	3.75	5.87	-1.85	2.65	-9999	0.00	-9999	-9999	-9999	-9999
1950	3	3	21.36	6.07	7.98	1.03	2.81	-9999	0.00	-9999	-9999	-9999	-9999
1950	3	4	19.40	7.58	9.18	3.38	2.64	-9999	0.00	-9999	-9999	-9999	-9999
1950	3	5	22.24	7.42	9.44	2.10	3.20	-9999	0.00	-9999	-9999	-9999	-9999
1950	3	6	23.15	9.14	11.33	3.37	3.81	-9999	0.00	-9999	-9999	-9999	-9999
1950	3	7	24.77	12.27	14.94	5.23	5.41	-9999	0.00	-9999	-9999	-9999	-9999
1950	3	8	24.04	13.6	16.08	7.06	5.51	-9999	0.00	-9999	-9999	-9999	-9999
1950	3	9	23.65	12.88	15.19	6.80	4.98	-9999	0.00	-9999	-9999	-9999	-9999
1950	3	10	24.18	10.69	13.02	4.56	4.40	-9999	0.00	-9999	-9999	-9999	-9999
1950	3	11	17.63	7.99	9.92	2.89	3.20	-9999	4.80	-9999	-9999	-9999	-9999
1950	3	12	24.84	8.94	11.29	2.76	3.98	-9999	0.00	-9999	-9999	-9999	-9999
1950	3	13	23.71	8.1	10.15	2.68	3.39	-9999	0.00	-9999	-9999	-9999	-9999
1950	3	14	25.01	8.87	11.12	2.94	3.83	-9999	0.00	-9999	-9999	-9999	-9999
1950	3	15	24.15	9.88	11.97	4.38	3.83	-9999	0.00	-9999	-9999	-9999	-9999
1950	3	16	24.28	10.72	12.81	5.20	4.03	-9999	0.00	-9999	-9999	-9999	-9999
1950	3	17	25.86	10.25	12.58	4.12	4.28	-9999	0.00	-9999	-9999	-9999	-9999
1950	3	18	26.25	9.82	12.17	3.63	4.21	-9999	0.00	-9999	-9999	-9999	-9999
1950	3	19	27.91	10.44	13.09	3.47	4.81	-9999	0.00	-9999	-9999	-9999	-9999
1950	3	20	29.36	11.35	14.38	3.35	5.66	-9999	0.00	-9999	-9999	-9999	-9999
1950	3	21	17.81	9.94	11.70	5.31	3.32	-9999	3.60	-9999	-9999	-9999	-9999
1950	3	22	19.99	10.51	12.59	5.02	3.97	-9999	2.00	-9999	-9999	-9999	-9999
1950	3	23	28.13	11.66	14.17	5.05	4.96	-9999	0.00	-9999	-9999	-9999	-9999
1950	3	24	26.88	12.22	14.47	6.28	4.69	-9999	0.00	-9999	-9999	-9999	-9999
1950	3	25	25.57	11.2	13.20	5.94	3.99	-9999	0.00	-9999	-9999	-9999	-9999
1950	3	26	25.06	7.64	9.49	2.78	3.01	-9999	0.00	-9999	-9999	-9999	-9999
1950	3	27	25.70	7.43	9.34	2.40	3.06	-9999	0.00	-9999	-9999	-9999	-9999
1950	3	28	27.19	8.66	10.77	3.10	3.59	-9999	0.00	-9999	-9999	-9999	-9999
1950	3	29	15.63	6.75	7.72	4.18	1.61	-9999	0.00	-9999	-9999	-9999	-9999
1950	3	30	17.61	9.48	11.05	5.34	2.92	-9999	1.60	-9999	-9999	-9999	-9999
1950	3	31	22.72	9.77	11.32	5.68	2.94	-9999	0.00	-9999	-9999	-9999	-9999
1950	4	1	23.93	9.76	11.40	5.45	3.08	-9999	0.00	-9999	-9999	-9999	-9999
1950	4	2	29.53	10.77	13.07	4.71	4.38	-9999	0.00	-9999	-9999	-9999	-9999
1950	4	3	17.93	9.92	11.48	5.81	2.98	-9999	4.10	-9999	-9999	-9999	-9999
1950	4	4	18.11	7.15	8.68	3.10	2.49	-9999	26.10	-9999	-9999	-9999	-9999
1950	4	5	28.97	9.73	11.83	4.20	3.81	-9999	0.00	-9999	-9999	-9999	-9999
1950	4	6	32.59	11.21	13.87	4.20	5.06	-9999	0.00	-9999	-9999	-9999	-9999
1950	4	7	29.48	10.9	13.03	5.29	4.14	-9999	0.00	-9999	-9999	-9999	-9999
1950	4	8	27.52	11.08	12.95	6.16	3.74	-9999	0.00	-9999	-9999	-9999	-9999
1950	4	9	31.45	11.72	14.06	5.55	4.70	-9999	0.00	-9999	-9999	-9999	-9999
1950	4	10	32.41	12.19	14.68	5.64	5.08	-9999	0.00	-9999	-9999	-9999	-9999
1950	4	11	31.44	12.34	14.64	6.28	4.81	-9999	0.00	-9999	-9999	-9999	-9999
1950	4	12	23.23	13.69	15.84	8.04	4.91	-9999	2.90	-9999	-9999	-9999	-9999
1950	4	13	23.17	13.55	15.66	7.98	4.81	-9999	10.00	-9999	-9999	-9999	-9999
1950	4	14	22.32	13.15	15.11	7.98	4.41	-9999	4.30	-9999	-9999	-9999	-9999
1950	4	15	22.92	13.28	15.31	7.93	4.57	-9999	6.00	-9999	-9999	-9999	-9999
1950	4	16	21.83	10.08	11.90	5.30	3.44	-9999	8.60	-9999	-9999	-9999	-9999
1950	4	17	24.24	9.36	11.46	3.81	3.73	-9999	2.40	-9999	-9999	-9999	-9999
1950	4	18	17.31	8.86	10.15	5.45	2.37	-9999	3.40	-9999	-9999	-9999	-9999
