Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI
1	1	1.04	8.32	9.35	6.92	2.98	4.03	0	-9999	0
1	2	0.87	7.03	8.42	5.35	2.78	4.31	0	-9999	0
1	3	3.77	4.35	6.68	0.89	2.5	3.82	0.1	-9999	0
1	4	3.58	5.65	7.48	4.27	2.76	3.83	0.1	-9999	0
1	5	1.49	3.9	4.68	3.35	3.08	3.9	0	-9999	0
1	6	3.66	3.73	5.41	2.03	2.95	3.78	0	-9999	0
1	7	2.36	4.07	5.61	2.7	2.96	3.85	0	-9999	0
1	8	3	3.79	5.74	2.74	2.83	3.8	0	-9999	0
1	9	4.15	3.63	7.34	0.92	2.45	3.56	0	-9999	0
1	10	2.96	4.39	7.44	1.62	2.91	3.45	0	-9999	0
1	11	0.51	6.21	7.96	4.47	3.36	4.09	3.4	-9999	0
1	12	0.91	5.86	6.72	4.58	3.38	4.58	0	-9999	0
1	13	3.72	4.45	5.63	1.92	2.78	4.41	0	-9999	0
1	14	4.49	4.23	8.19	2.03	2.34	3.81	0	-9999	0
1	15	4.76	2.42	5.29	0.52	2.3	3.49	0	-9999	0
1	16	4.27	4.06	7.51	0.25	2.34	3.25	0	-9999	0
1	17	0.71	8.6	9.88	7.44	3.35	4.43	7.3	-9999	0
1	18	1.82	8.13	9.48	7.36	3.35	4.79	0.1	-9999	0
1	19	1.69	9.53	11.83	7.17	3.65	5.14	0.2	-9999	0
1	20	1.08	10.2	12.01	7.72	2.87	6.04	2.7	-9999	0
1	21	2.22	8.01	9.27	5.69	2.75	5.51	0	-9999	0
1	22	0.93	4.06	5.39	0.95	2.36	5.19	0	-9999	0
1	23	5.59	1.16	4.09	-0.6	2.98	4.17	0	-9999	0
1	24	5.3	1.25	5.85	-1.96	2.96	3.39	0	-9999	0
1	25	2.87	3.39	7.22	0.24	2.96	2.94	0.3	-9999	0
1	26	1.86	3.11	4.25	1.11	2.99	3.01	0.1	-9999	0
1	27	4.41	-0.43	1.71	-2.72	2.93	2.84	0	-9999	0
1	28	5.91	-0.14	4.44	-3.94	2.95	2.38	0	-9999	0
1	29	6.66	2	8	-2.39	3.05	2.15	0	-9999	0
1	30	3.93	4	5.7	1.6	2.86	2.07	0	-9999	0
1	31	4.48	4.45	5.46	3.02	2.73	2.24	0	-9999	0
2	1	4.41	4.44	6.19333	1.26778	2.73	2.35	0	-9999	0
2	2	4.41	4.44	6.09133	1.62678	2.73	2.44	0	-9999	0
2	3	4.11	4.51	6.32679	1.89314	2.89	2.41	0	-9999	0
2	4	1.94	6.75	6.72345	2.45814	2.93	3.1	0	-9999	0
2	5	1.62	8.94	6.76345	2.91814	2.87	3.62	0.2	-9999	0
2	6	1.62	8.94	6.65345	3.31314	2.78	4.29	0	-9999	0
2	7	1.6	8.94	9.73	8.7	2.91	4.75	0	-9999	0
2	8	2.65	7.66	9.23	5.79	2.94	5.26	7.8	-9999	0
2	9	4.34	5.11	6.2	3.83	2.94	4.62	1.4	-9999	0
2	10	3.82	5.28	6.84	4.04	2.93	4.3	0.2	-9999	0
2	11	2.8	4.74	6.47	4.06	2.96	4.41	0	-9999	0
2	12	1.46	3.1	4.96	2.04	2.95	3.92	0.5	-9999	0
2	13	2.83	4.5	6.46	3.14	2.81	3.32	3.7	-9999	0
2	14	4.1	7.67	11.3	5.11	2.9	4.46	0.2	-9999	0
2	15	2.54	10.33	13.8	7.94	2.94	5.24	12.3	-9999	0
2	16	3.45	9.9	11.55	8.26	2.95	5.79	4.1	-9999	0
2	17	1.43	7.93	9.07	6.33	2.94	5.35	8.6	-9999	0
2	18	2.51	6.98	8.39	4.72	2.95	5.23	0.9	-9999	0
2	19	5.75	8.39	11.42	5.67	2.87	5.23	1.7	-9999	0
2	20	1.27	5.54	7.39	4.3	2.81	4.93	12.4	-9999	0
2	21	1.22	4.56	5.22	3.96	2.94	4.54	1.6	-9999	0
2	22	3.33	4.68	5.34	3.47	2.94	4.6	0.4	-9999	0
2	23	5.85	3.33	4.8	2.02	3.16	4.23	0	-9999	0
2	24	8.59	3.83	7.18	0.68	3.85	3.87	0	-9999	0
2	25	7.7	2.83	6.11	1.01	3.35	3.54	0	-9999	0
2	26	5.47	3.2	6.72	0.87	2.89	3.41	0	-9999	0
2	27	5.34	4.92	7.71	2.72	2.77	3.64	3.6	-9999	0
2	28	4.96	4.3	6.61	2.12	2.88	3.97	4.4	-9999	0
3	1	5.14	3.68	5.18	2.61	2.95	3.65	0.9	-9999	0
3	2	8.4	3.38	6.15	1.05	3.33	3.31	0	-9999	0
3	3	5.07	2.67	5.94	0.62	2.91	3.25	0	-9999	0
3	4	6.8	3.3	5.95	0.42	3.29	3.03	0	-9999	0
3	5	5.5	4.22	7.18	1.79	3.09	2.94	0.1	-9999	0
3	6	8.96	4.44	7.22	2.78	3.81	3.05	1.8	-9999	0
3	7	9.8	5.99	8.84	3.01	3.38	3.25	0	-9999	0
3	8	1.33	8.35	12.67	4.33	2.95	4.19	9.3	-9999	0
3	9	2.44	10.68	12.13	8.42	2.95	5.57	2.7	-9999	0
3	10	2.76	7.78	10.22	6.56	2.93	5.38	5.8	-9999	0
3	11	4.12	3.86	7.29	-0.37	2.93	4.88	1	-9999	0
3	12	14.08	0.63	3.54	-1.53	4.58	3.55	0	-9999	0
