Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1	1	1.01	2.88	4.62	0.82	0.08	4.09	3.87	-9999	0	-9999	-9999
1	2	3.64	1.57	4.42	0.45	0.7	4.1	0.24	-9999	0	-9999	-9999
1	3	1.6	1.41	2.77	0.71	0.55	4.17	0	-9999	0	-9999	-9999
1	4	3.29	0.29	1.96	-1.12	1.29	4.26	0	-9999	0	-9999	-9999
1	5	4.4	0.27	4.24	-2.2	1.67	4.06	0	-9999	0	-9999	-9999
1	6	0.54	5.84	10.56	3.89	0.28	4.77	9.42	-9999	0	-9999	-9999
1	7	0.66	6.03	9.75	3	0.29	5.46	4.91	-9999	0	-9999	-9999
1	8	1.44	9.15	11.78	5.46	1.8	6.24	1.66	-9999	0	-9999	-9999
1	9	3.71	4.41	5.72	2.16	1.96	6.06	0	-9999	0	-9999	-9999
1	10	4.71	1.34	4.79	-1.27	0.7	4.94	0	-9999	0	-9999	-9999
1	11	0.39	3.36	6.12	0.08	0.67	4.78	1.11	-9999	0	-9999	-9999
1	12	0.56	5.98	10	3.62	0.53	5.52	19.72	-9999	0	-9999	-9999
1	13	0.47	10.65	11.41	9.98	0.29	7.3	17.58	-9999	0	-9999	-9999
1	14	0.72	10.47	12.61	8.09	1.18	7.94	1.82	-9999	0	-9999	-9999
1	15	1.56	9.09	9.98	8.3	2.21	7.68	0	-9999	0	-9999	-9999
1	16	3.46	9.54	12.86	7.67	2.69	7.61	0	-9999	0	-9999	-9999
1	17	1.26	8.02	9.55	6.68	1.51	7.38	0	-9999	0	-9999	-9999
1	18	1.06	5.41	7.67	3.47	0.31	7.42	6.65	-9999	0	-9999	-9999
1	19	2.7	3.57	4.97	1.8	0.62	6.68	0.71	-9999	0	-9999	-9999
1	20	5.93	2.21	4.68	-0.14	1.13	5.85	0.08	-9999	0	-9999	-9999
1	21	3.19	-0.02	2.49	-2.7	0.18	5.27	0	-9999	0	-9999	-9999
1	22	1.83	4.16	5.76	2.25	0.99	5.55	0.08	-9999	0	-9999	-9999
1	23	1.65	4.17	5.7	2	0.55	5.97	0.32	-9999	0	-9999	-9999
1	24	1.92	4.95	6.35	4.05	0.95	6.27	0.24	-9999	0	-9999	-9999
1	25	1.73	4.26	6.18	2.95	0.33	6.28	6.49	-9999	0	-9999	-9999
1	26	4.13	2.69	4.29	-0.23	0.8	6.09	0.55	-9999	0	-9999	-9999
1	27	4.11	-0.37	1.99	-2.33	1.18	5.45	0	-9999	0	-9999	-9999
1	28	6.97	-2.08	0.29	-4.4	1.16	4.71	0	-9999	0	-9999	-9999
1	29	7.38	-2.55	0.69	-4.99	0.72	4.2	0	-9999	0	-9999	-9999
1	30	2.88	-3.45	-0.58	-6.69	0.45	3.84	0	-9999	0	-9999	-9999
1	31	1.46	-3.26	-1.99	-4.19	0.46	3.71	0	-9999	0	-9999	-9999
2	1	1.84	-2.14	0.54	-4.61	0.43	3.61	0.08	-9999	0	-9999	-9999
2	2	1.68	2.22	3.76	0.67	0.24	3.72	0.24	-9999	0	-9999	-9999
2	3	3.61	5.52	7.95	3.44	1.1	4.72	0.71	-9999	0	-9999	-9999
2	4	0.61	8.46	10.73	5.46	2.36	5.47	0	-9999	0	-9999	-9999
2	5	0.94	10.62	11.11	9.91	2.89	6.68	0	-9999	0	-9999	-9999
2	6	2.15	9.97	10.54	9.02	3.59	7.26	0	-9999	0	-9999	-9999
2	7	7.33	8.49	10.19	6.36	3.17	7.23	0	-9999	0	-9999	-9999
2	8	8.39	6.51	9.04	3.73	3.03	6.83	0	-9999	0	-9999	-9999
2	9	6.11	4.47	9.63	-0.07	1.87	5.81	0	-9999	0	-9999	-9999
2	10	3.5	7.04	9.83	4.78	0.99	6.35	7.36	-9999	0	-9999	-9999
2	11	0.89	9.29	10.34	8.25	0.32	7.4	7.36	-9999	0	-9999	-9999
2	12	3.26	8.39	11.58	6.41	0.6	7.76	6.25	-9999	0	-9999	-9999
2	13	4.35	5.39	7.77	1.83	1.35	7.18	0	-9999	0	-9999	-9999
2	14	2.5	6.42	7.87	4.85	1.57	7.05	1.19	-9999	0	-9999	-9999
2	15	6.45	5.08	7.77	2.45	1.14	6.64	0.63	-9999	0	-9999	-9999
2	16	8.58	6.58	9.71	3.06	2.08	6.76	0	-9999	0	-9999	-9999
2	17	9.4	4.43	9.55	0.81	1.72	6.26	0	-9999	0	-9999	-9999
2	18	1.74	0.87	1.58	0.19	1	5.84	0	-9999	0	-9999	-9999
2	19	4.42	3.28	5.34	1.49	1.7	5.79	0.63	-9999	0	-9999	-9999
2	20	3.45	1.83	3.11	0.16	1.24	5.85	0.32	-9999	0	-9999	-9999
2	21	4.11	-0.07	2.02	-2.33	1.72	5.38	0	-9999	0	-9999	-9999
2	22	11.53	-0.96	3.7	-5.16	2.08	4.72	0	-9999	0	-9999	-9999
2	23	3.81	0.16	3.11	-1.89	1.38	4.45	2.3	-9999	0	-9999	-9999
2	24	2.13	5.79	8.91	1.11	0.03	5.04	3.72	-9999	0	-9999	-9999
2	25	2.2	7.8	8.56	6.38	0.21	6.31	0.08	-9999	0	-9999	-9999
2	26	2.32	6.98	8.65	5.22	0.28	6.96	7.28	-9999	0	-9999	-9999
2	27	3.85	5.26	6.13	4.27	0.86	6.82	1.11	-9999	0	-9999	-9999
2	28	1.16	2.26	4.22	1.1	0.12	6.28	3.25	-9999	0	-9999	-9999
3	1	6.15	3.02	4.88	1.94	0.71	6.08	0	-9999	0	-9999	-9999
3	2	12.62	2.76	8.4	-1.27	2.19	5.75	0	-9999	0	-9999	-9999
