Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1901	1	1	2.1457	-7.936	-6.019	-12.231	80.64	-9999	0	-9999	-9999	-9999	2.15
1901	1	2	2.2878	-8.198	-6.214	-12.856	79.286	-9999	0.14588	-9999	-9999	-9999	1.3102
1901	1	3	1.4717	-6.295	-4.47	-8.797	86.131	-9999	0.42227	-9999	-9999	-9999	2.1821
1901	1	4	2.0028	-4.874	-3.65	-9.769	76.554	-9999	0	-9999	-9999	-9999	1.2366
1901	1	5	2.1987	-4.96	-4.38	-10.588	77.59	-9999	0	-9999	-9999	-9999	1.5277
1901	1	6	2.3185	-6.713	-5.753	-10.722	80.18	-9999	0	-9999	-9999	-9999	2.4041
1901	1	7	2.8	-8.795	-7.888	-10.516	89.805	-9999	0	-9999	-9999	-9999	0.8813
1901	1	8	0.79851	-8.64	-7.353	-10.264	93.909	-9999	5.085	-9999	-9999	-9999	1.296
1901	1	9	2.4287	-8.691	-7.386	-14.672	82.178	-9999	0	-9999	-9999	-9999	2.1062
1901	1	10	3.1025	-10.634	-7.961	-14.864	81.495	-9999	0	-9999	-9999	-9999	1.5074
1901	1	11	2.3506	-10.185	-8.64	-14.885	87.91	-9999	3.252	-9999	-9999	-9999	1.772
1901	1	12	2.2157	-7.306	-4.096	-12.306	85.726	-9999	2.2977	-9999	-9999	-9999	2.2785
1901	1	13	3.8674	-9.107	-7.114	-17.727	83.848	-9999	0	-9999	-9999	-9999	1.5798
1901	1	14	3.1256	-10.945	-9.004	-13.893	84.443	-9999	0	-9999	-9999	-9999	1.3377
1901	1	15	2.8485	-11.516	-8.829	-15.166	91.437	-9999	6.2831	-9999	-9999	-9999	2.0758
1901	1	16	1.0553	-9.524	-6.696	-12.09	100	-9999	3.8377	-9999	-9999	-9999	1.7091
1901	1	17	2.726	-7.357	-4.436	-10.897	88.259	-9999	10.072	-9999	-9999	-9999	3.1668
1901	1	18	2.0332	-6.538	-5.498	-9.498	80.076	-9999	1.9231	-9999	-9999	-9999	2.8769
1901	1	19	0.28227	-5.93	-0.124	-12.422	100	-9999	10.014	-9999	-9999	-9999	2.4862
1901	1	20	0.80335	-1.819	-1.038	-5.118	84.379	-9999	7.4913	-9999	-9999	-9999	4.7201
1901	1	21	2.7221	-3.098	-1.145	-8.902	79.611	-9999	0.90854	-9999	-9999	-9999	3.0415
1901	1	22	4.4992	-8.148	-6.587	-13.55	89.19	-9999	0	-9999	-9999	-9999	1.3721
1901	1	23	2.1343	-6.776	-5.058	-10.525	83.632	-9999	0.73313	-9999	-9999	-9999	2.5883
1901	1	24	2.8505	-5.646	-3.721	-7.837	83.44	-9999	0.66273	-9999	-9999	-9999	2.1654
1901	1	25	2.2348	-4.786	-2.277	-6.583	86.726	-9999	0.93405	-9999	-9999	-9999	2.0653
1901	1	26	3.7607	-4.734	-0.66501	-13.357	79.729	-9999	0	-9999	-9999	-9999	1.3929
1901	1	27	4.6755	-6.934	-5.111	-10.144	79.671	-9999	0	-9999	-9999	-9999	1.6402
