Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1901	1	1	3.3585	-11.617	-4.685	-17.505	100	-9999	3.5725	-9999	-9999	-9999	7.3218
1901	1	2	3.7296	-15.364	-13.157	-17.515	100	-9999	1.1026	-9999	-9999	-9999	6.6707
1901	1	3	2.5523	-12.669	-10.921	-14.554	100	-9999	7.4761	-9999	-9999	-9999	6.4104
1901	1	4	2.1779	-12.758	-11.574	-14.093	100	-9999	6.6324	-9999	-9999	-9999	4.8585
1901	1	5	3.8945	-14.386	-10.876	-16.807	100	-9999	0.91164	-9999	-9999	-9999	4.5504
1901	1	6	3.321	-11.795	-7.3306	-14.997	100	-9999	0.049875	-9999	-9999	-9999	5.346
1901	1	7	3.9685	-11.798	-6.2627	-15.973	100	-9999	0.028644	-9999	-9999	-9999	2.4744
1901	1	8	3.9106	-10.802	-3.8836	-17.845	100	-9999	0.17226	-9999	-9999	-9999	2.3691
1901	1	9	3.5471	-5.5476	-2.8118	-7.6773	100	-9999	1.7691	-9999	-9999	-9999	5.245
1901	1	10	3.7825	-7.1183	-4.3408	-9.8979	100	-9999	0.52342	-9999	-9999	-9999	4.4097
1901	1	11	3.1864	-5.7715	-2.4801	-8.7447	100	-9999	0.077787	-9999	-9999	-9999	3.8314
1901	1	12	3.8823	-8.5202	-2.2831	-11.82	100	-9999	0.0011595	-9999	-9999	-9999	1.6814
1901	1	13	4.6508	-7.7271	-3.6003	-9.8212	100	-9999	0.2107	-9999	-9999	-9999	4.6338
1901	1	14	4.8112	-8.8146	-5.5808	-11.637	100	-9999	0.055889	-9999	-9999	-9999	5.6886
1901	1	15	4.7206	-10.674	-6.7773	-19.922	100	-9999	0.42126	-9999	-9999	-9999	4.244
1901	1	16	3.8737	-12.084	-4.4902	-20.075	100	-9999	0	-9999	-9999	-9999	1.9368
1901	1	17	5.1642	-10.802	-4.9313	-14.793	100	-9999	0	-9999	-9999	-9999	3.8903
1901	1	18	5.0879	-9.7053	-1.4031	-16.105	100	-9999	0.022499	-9999	-9999	-9999	2.7156
1901	1	19	5.1194	-8.3402	-5.1174	-10.63	100	-9999	0.55941	-9999	-9999	-9999	5.3692
1901	1	20	3.6226	-6.8712	-3.2557	-10.444	100	-9999	1.4411	-9999	-9999	-9999	5.6735
1901	1	21	1.9075	-1.2155	0.095239	-4.5822	98.43	-9999	17.571	-9999	-9999	-9999	7.1516
1901	1	22	3.9792	-0.94721	-0.054327	-3.1274	97.812	-9999	4.7912	-9999	-9999	-9999	5.2915
1901	1	23	1.7272	-0.62336	0.65804	-3.7896	97.663	-9999	4.5562	-9999	-9999	-9999	5.3019
1901	1	24	4.7135	-2.8574	-0.21845	-4.3377	97.928	-9999	0.080998	-9999	-9999	-9999	3.3919
1901	1	25	2.0799	-1.5559	0.1383	-3.6872	98.661	-9999	1.112	-9999	-9999	-9999	4.637
1901	1	26	2.2415	-0.40119	0.70635	-2.52	97.055	-9999	6.7402	-9999	-9999	-9999	4.5279
1901	1	27	4.6725	-2.2622	-0.024756	-4.5955	96.588	-9999	5.6445	-9999	-9999	-9999	7.3705
1901	1	28	4.988	-2.0902	0.28292	-5.4209	98.323	-9999	26.975	-9999	-9999	-9999	8.4492
1901	1	29	2.9353	-4.0122	0.27325	-13.179	100	-9999	5.5759	-9999	-9999	-9999	5.5318
1901	1	30	5.4435	-8.7701	-2.8443	-15.326	100	-9999	0.00048072	-9999	-9999	-9999	2.0908
1901	1	31	6.0877	-7.6994	-0.38975	-14.419	100	-9999	0.36563	-9999	-9999	-9999	2.8831
1901	2	1	4.5723	-4.4952	0.30859	-11.734	100	-9999	0.71077	-9999	-9999	-9999	5.022
1901	2	2	0.075287	-0.27659	1.4158	-3.5566	96.945	-9999	19.433	-9999	-9999	-9999	7.5424
1901	2	3	3.7563	-3.6186	1.0857	-7.3454	100	-9999	1.8053	-9999	-9999	-9999	3.4649
1901	2	4	5.4616	-3.2614	1.3643	-7.4982	100	-9999	0.16457	-9999	-9999	-9999	5.4302
1901	2	5	4.5374	-0.74476	1.381	-3.5531	96.109	-9999	2.0129	-9999	-9999	-9999	7.8115
