X,Y,LANDUSE,LAT,LON,CLAY_PERC,SILT_PERC,SAND_PERC,SOIL_DEPTH,FR,FN0,FNN,M0,LITTERC,LITTERN,SOILC,SOILN,DEADWOODC
//0,0,F,49.3,18.32,20.63,20.63,58.74,80,0.8,0.5,0.5,0.2,-9999,-9999,-9999,-9999,-9999  //soil depth was 35
//soil depth at 80 cm comes from Z. Malenovský et al., Remote Sensing of Environment 112 (2008) 1–18
0,0,F,49.3,18.32,20.63,20.63,58.74,80,0.65,0.5,0.5,0.2,-9999,-9999,-9999,-9999,-9999  //soil depth was 35
0,1,F,49.3,18.32,20.63,20.63,58.74,80,0.65,0.5,0.5,0.2,-9999,-9999,-9999,-9999,-9999  //soil depth was 35
0,2,F,49.3,18.32,20.63,20.63,58.74,80,0.65,0.5,0.5,0.2,-9999,-9999,-9999,-9999,-9999  //soil depth was 35
//0,3,F,49.3,18.32,20.63,20.63,58.74,80,0.65,0.5,0.5,0.2,-9999,-9999,-9999,-9999,-9999  //soil depth was 35
//0,4,F,49.3,18.32,20.63,20.63,58.74,80,0.65,0.5,0.5,0.2,-9999,-9999,-9999,-9999,-9999  //soil depth was 35
//0,5,F,49.3,18.32,20.63,20.63,58.74,80,0.65,0.5,0.5,0.2,-9999,-9999,-9999,-9999,-9999  //soil depth was 35
//0,6,F,49.3,18.32,20.63,20.63,58.74,80,0.65,0.5,0.5,0.2,-9999,-9999,-9999,-9999,-9999  //soil depth was 35
//0,7,F,49.3,18.32,20.63,20.63,58.74,80,0.65,0.5,0.5,0.2,-9999,-9999,-9999,-9999,-9999  //soil depth was 35
//0,8,F,49.3,18.32,20.63,20.63,58.74,80,0.65,0.5,0.5,0.2,-9999,-9999,-9999,-9999,-9999  //soil depth was 35
//0,9,F,49.3,18.32,20.63,20.63,58.74,80,0.65,0.5,0.5,0.2,-9999,-9999,-9999,-9999,-9999  //soil depth was 35
//0,10,F,49.3,18.32,20.63,20.63,58.74,80,0.65,0.5,0.5,0.2,-9999,-9999,-9999,-9999,-9999  //soil depth was 35
//0,11,F,49.3,18.32,20.63,20.63,58.74,80,0.65,0.5,0.5,0.2,-9999,-9999,-9999,-9999,-9999  //soil depth was 35
