Year,x,y,Age,Species,Management,N,Stool,AvDBH,Height,Wf,Wrc,Wrf,Ws,Wbb,Wres,Lai
1997,0,0,16,Piceaabies,T,2408,0,7.11,5.6,0,0,0,0,0,0,-9999
1997,0,1,25,Piceaabies,T,1580,0,14.89,15.28,0,0,0,0,0,0,-9999     //was 2006
1997,0,2,35,Piceaabies,T,1252,0,20.67,20.45,0,0,0,0,0,0,-9999    //was 2016
1997,0,3,45,Piceaabies,T,1252,0,24.51,23.21,0,0,0,0,0,0,-9999    //was 2026
1997,0,4,55,Piceaabies,T,667,0,28.40,25.51,0,0,0,0,0,0,-9999    //was 2036
1997,0,5,65,Piceaabies,T,352,0,33.75,27.96,0,0,0,0,0,0,-9999    //was 2046
1997,0,6,75,Piceaabies,T,335,0,39.72,29.93,0,0,0,0,0,0,-9999    //was 2056
1997,0,7,85,Piceaabies,T,214,0,46.14,31.39,0,0,0,0,0,0,-9999    //was 2066
1997,0,8,956,Piceaabies,T,135,0,53.15,32.45,0,0,0,0,0,0,-9999    //was 2076
1997,0,9,105,Piceaabies,T,135,0,60.95,33.02,0,0,0,0,0,0,-9999   //was 2086
1997,0,10,115,Piceaabies,T,88,0,69.12,33.02,0,0,0,0,0,0,-9999  //was 2096
