Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1997	1	1	2.3075	-4.9229	-1.6986	-8.2831	93.907	-9999	0.28023	-9999	-9999	-9999	2.0338
1997	1	2	3.5452	-5.1461	-0.73127	-8.0798	87.835	-9999	0.04628	-9999	-9999	-9999	2.3903
1997	1	3	2.8678	-4.3322	-1.5616	-7.9247	89.493	-9999	0.74816	-9999	-9999	-9999	2.5947
1997	1	4	1.4275	-3.8722	-1.9953	-6.0566	96.506	-9999	0.96887	-9999	-9999	-9999	1.2201
1997	1	5	1.799	-5.3144	-3.4278	-6.8574	95.022	-9999	0.43478	-9999	-9999	-9999	1.237
1997	1	6	2.8627	-6.0487	-2.7128	-8.5553	92.667	-9999	0.33589	-9999	-9999	-9999	1.6094
1997	1	7	1.8909	-4.5445	-2.0421	-8.1566	96.735	-9999	1.2116	-9999	-9999	-9999	1.8156
1997	1	8	0.85772	0.040399	2.7887	-3.9008	99.554	-9999	4.5775	-9999	-9999	-9999	2.5412
1997	1	9	0.8434	3.5978	4.5248	2.1351	96.91	-9999	5.6381	-9999	-9999	-9999	3.4005
1997	1	10	0.77851	4.5911	6.0879	2.975	95.875	-9999	12.769	-9999	-9999	-9999	3.1479
1997	1	11	1.8944	2.6441	5.3349	-1.2053	92.096	-9999	0.48314	-9999	-9999	-9999	2.7188
1997	1	12	2.5232	1.091	4.4803	-1.358	93.634	-9999	0.63159	-9999	-9999	-9999	2.705
1997	1	13	2.6866	1.1174	3.7747	-2.7613	92.987	-9999	9.1318	-9999	-9999	-9999	2.6004
1997	1	14	1.4872	0.76211	3.1322	-2.4089	86.425	-9999	3.674	-9999	-9999	-9999	3.3866
1997	1	15	3.4796	-3.0735	1.5989	-7.5684	83.226	-9999	0.21341	-9999	-9999	-9999	2.1647
1997	1	16	3.3447	-4.9371	-0.0039734	-7.5279	87.227	-9999	0.13832	-9999	-9999	-9999	1.485
1997	1	17	3.0849	-4.1131	-0.30854	-8.0934	86.909	-9999	0.33948	-9999	-9999	-9999	2.0388
1997	1	18	2.8088	-3.8802	0.60708	-6.7387	88.773	-9999	0.31275	-9999	-9999	-9999	1.5777
1997	1	19	2.4453	-3.1538	1.5043	-6.5221	91.958	-9999	4.0263	-9999	-9999	-9999	1.9586
1997	1	20	1.3926	1.4953	5.5978	-5.6372	93.663	-9999	4.7058	-9999	-9999	-9999	2.768
1997	1	21	2.7058	2.7732	6.9099	-2.7101	86.601	-9999	0.74917	-9999	-9999	-9999	2.902
1997	1	22	4.1938	-2.0439	2.5527	-5.5554	80.991	-9999	0.61349	-9999	-9999	-9999	2.734
1997	1	23	3.157	-3.8539	-0.335	-6.5867	84.03	-9999	0.24489	-9999	-9999	-9999	1.9757
1997	1	24	4.584	-1.052	3.1259	-6.4534	80.984	-9999	1.0387	-9999	-9999	-9999	3.1757
1997	1	25	1.5862	3.5957	5.5251	1.2051	90.968	-9999	1.1858	-9999	-9999	-9999	3.0253
1997	1	26	1.695	4.3798	5.5901	2.9075	93.232	-9999	2.1974	-9999	-9999	-9999	2.8215
1997	1	27	1.2361	4.0079	5.6649	0.12948	95.83	-9999	1.7156	-9999	-9999	-9999	2.1964
1997	1	28	2.5836	-0.79719	2.3422	-4.9369	89.81	-9999	1.712	-9999	-9999	-9999	1.5704
1997	1	29	2.4404	-3.1591	0.54415	-7.3078	84.084	-9999	1.6051	-9999	-9999	-9999	2.2165
1997	1	30	1.9636	-4.6254	-2.6507	-7.2501	90.194	-9999	7.3202	-9999	-9999	-9999	0.37518
1997	1	31	5.1117	-5.244	-1.5524	-8.1689	82.313	-9999	0.10815	-9999	-9999	-9999	2.8409
1997	2	1	4.7305	-4.7029	-1.4779	-7.1767	78.094	-9999	0	-9999	-9999	-9999	2.9554
1997	2	2	2.2108	-3.3344	-1.8937	-5.1314	88.551	-9999	3.6433	-9999	-9999	-9999	2.7048
1997	2	3	3.3829	-2.375	-0.19251	-4.8003	80.277	-9999	3.9116	-9999	-9999	-9999	2.8957
1997	2	4	2.6262	2.1186	5.1806	-2.7068	89.286	-9999	3.9495	-9999	-9999	-9999	2.9808
1997	2	5	2.5334	0.34698	2.6655	-2.9692	88.138	-9999	5.3437	-9999	-9999	-9999	2.652
1997	2	6	2.5371	-0.57163	2.4536	-5.0136	92.27	-9999	3.1014	-9999	-9999	-9999	2.4056
1997	2	7	2.1917	2.8646	6.1116	-0.43036	91.012	-9999	3.8407	-9999	-9999	-9999	2.4642
1997	2	8	2.9238	2.4403	5.3763	-0.69538	89.775	-9999	0	-9999	-9999	-9999	2.1862
1997	2	9	7.0478	3.1127	8.9892	-0.62073	83.677	-9999	0	-9999	-9999	-9999	2.2821
1997	2	10	6.6019	2.7878	8.4018	-1.0608	86.02	-9999	0	-9999	-9999	-9999	2.875
1997	2	11	4.3337	3.4776	6.8843	-0.15867	87.434	-9999	0	-9999	-9999	-9999	3.1515
1997	2	12	7.5799	2.667	6.3203	-2.0785	72.915	-9999	0	-9999	-9999	-9999	2.7886
1997	2	13	4.7001	6.7773	11.648	-0.87131	84.66	-9999	4.4801	-9999	-9999	-9999	3.4988
1997	2	14	6.9813	4.3953	7.7023	0.98995	72.52	-9999	0	-9999	-9999	-9999	3.2233
1997	2	15	3.3449	4.4495	7.0677	0.50698	81.702	-9999	10.451	-9999	-9999	-9999	3.2761
1997	2	16	5.5618	3.7959	9.8579	-1.5514	79.16	-9999	10.2	-9999	-9999	-9999	3.0759
1997	2	17	3.6785	2.3206	4.6782	-1.9414	90.697	-9999	11.141	-9999	-9999	-9999	1.8094
1997	2	18	6.9892	-0.93101	3.5753	-4.4177	80.878	-9999	0	-9999	-9999	-9999	1.2078
1997	2	19	1.3072	-0.18665	1.4085	-2.9953	90.406	-9999	12.903	-9999	-9999	-9999	0.1597
1997	2	20	4.1658	-0.91715	2.0642	-3.7379	80.099	-9999	0	-9999	-9999	-9999	2.238
1997	2	21	6.9103	2.5366	7.4032	-2.478	76.334	-9999	3.1875	-9999	-9999	-9999	3.0725
1997	2	22	6.6256	1.0334	4.7317	-3.3722	77.87	-9999	2.7003	-9999	-9999	-9999	2.7989
1997	2	23	9.416	-2.1304	2.5054	-5.9412	67.026	-9999	0	-9999	-9999	-9999	2.1881
1997	2	24	9.719	2.0039	8.2485	-4.8693	65.436	-9999	0	-9999	-9999	-9999	3.557
1997	2	25	8.101	4.0728	8.5323	-0.43772	74.829	-9999	0	-9999	-9999	-9999	3.4652
1997	2	26	6.9763	4.0189	8.2143	0.81594	82.672	-9999	0	-9999	-9999	-9999	2.6658
1997	2	27	2.2784	4.1255	6.1967	1.7823	94.89	-9999	8.5144	-9999	-9999	-9999	1.6244
1997	2	28	1.5622	-0.21561	3.9174	-4.757	88.012	-9999	7.9183	-9999	-9999	-9999	1.721
1997	3	1	10.627	-3.4002	2.2757	-7.8354	68.243	-9999	0	-9999	-9999	-9999	0.99696
1997	3	2	10.793	-0.86646	5.8019	-7.8336	65.285	-9999	0	-9999	-9999	-9999	0.67347
1997	3	3	7.2455	3.5824	8.5697	-1.7938	85.048	-9999	0	-9999	-9999	-9999	1.5962
1997	3	4	3.73	4.9017	7.275	2.4609	91.549	-9999	0	-9999	-9999	-9999	2.4316
1997	3	5	9.648	2.3868	5.7672	-1.2794	73.763	-9999	0	-9999	-9999	-9999	3.2676
1997	3	6	4.0106	-0.017584	1.8278	-1.9773	83.425	-9999	3.3868	-9999	-9999	-9999	3.1664
1997	3	7	3.7089	0.98751	3.383	-2.7294	89.511	-9999	3.3932	-9999	-9999	-9999	2.3406
1997	3	8	3.2777	4.1101	6.3736	2.3313	87.405	-9999	0	-9999	-9999	-9999	1.9189
1997	3	9	11.586	5.161	10.774	0.803	71.348	-9999	0	-9999	-9999	-9999	2.6435
1997	3	10	8.9259	5.1821	10.161	0.82577	79.707	-9999	0	-9999	-9999	-9999	2.8677
1997	3	11	11.083	5.4338	11.357	0.96386	74.361	-9999	0	-9999	-9999	-9999	2.7929
1997	3	12	12.297	7.1047	13.286	0.50097	70.43	-9999	0	-9999	-9999	-9999	3.0844
1997	3	13	7.4836	5.9232	9.4605	1.5546	70.463	-9999	8.1817	-9999	-9999	-9999	3.7996
1997	3	14	9.6524	2.471	5.9401	-0.080542	71.874	-9999	3.3935	-9999	-9999	-9999	3.0151
1997	3	15	8.6056	1.83	5.7323	-0.88767	72.565	-9999	0	-9999	-9999	-9999	2.9254
1997	3	16	1.9893	2.0263	4.0167	-1.0074	90.531	-9999	0	-9999	-9999	-9999	0.98051
1997	3	17	6.4545	1.6711	4.7054	-1.5042	70.801	-9999	0	-9999	-9999	-9999	1.7538
1997	3	18	3.1829	-2.0883	0.29556	-3.6557	73.346	-9999	9.0255	-9999	-9999	-9999	2.7003
1997	3	19	2.2842	-2.7081	-1.3127	-3.9543	91.649	-9999	19.782	-9999	-9999	-9999	3.2787
1997	3	20	2.2069	-2.1177	-0.44822	-3.8058	93.754	-9999	5.8159	-9999	-9999	-9999	2.6734
1997	3	21	3.5702	-0.053351	2.6422	-2.3329	94.116	-9999	8.3863	-9999	-9999	-9999	1.767
1997	3	22	3.6314	-0.24879	2.1069	-2.9595	94.346	-9999	10.882	-9999	-9999	-9999	0.6439
1997	3	23	8.1169	-1.375	1.4335	-4.0146	75.167	-9999	2.3591	-9999	-9999	-9999	3.7101
1997	3	24	9.4942	-1.5294	1.9694	-4.8123	77.586	-9999	0	-9999	-9999	-9999	2.1433
1997	3	25	3.6583	-1.0493	0.67336	-3.0235	77.86	-9999	3.151	-9999	-9999	-9999	2.9691
1997	3	26	9.666	-0.002417	4.2587	-3.3908	68.185	-9999	0	-9999	-9999	-9999	1.9164
1997	3	27	5.6262	0.2102	4.7548	-4.4684	77.837	-9999	0	-9999	-9999	-9999	1.5522
1997	3	28	12.681	2.638	9.8778	-5.8624	72.997	-9999	0	-9999	-9999	-9999	1.7581
1997	3	29	14.252	3.0099	8.5685	-1.5913	70.053	-9999	0	-9999	-9999	-9999	2.2469
1997	3	30	11.923	6.7973	14.17	-0.32267	69.365	-9999	0	-9999	-9999	-9999	3.1294
1997	3	31	12.696	6.0241	11.609	0.46069	71.56	-9999	0	-9999	-9999	-9999	2.2179
1997	4	1	10.374	5.7473	11.188	0.0047852	75.736	-9999	1.0907	-9999	-9999	-9999	0.563
1997	4	2	2.545	4.2042	6.1227	1.8006	88.923	-9999	9.0238	-9999	-9999	-9999	2.4582
1997	4	3	5.3785	0.62057	3.8684	-2.0078	72.713	-9999	4.2806	-9999	-9999	-9999	3.805
1997	4	4	10.178	-1.2393	2.6303	-5.6676	65.817	-9999	0.045139	-9999	-9999	-9999	2.5786
1997	4	5	12.56	-3.011	1.8744	-7.1318	63.579	-9999	0.13318	-9999	-9999	-9999	1.9593
1997	4	6	12.26	-1.6654	3.9735	-7.4682	55.513	-9999	0.057841	-9999	-9999	-9999	0.93897
1997	4	7	12.506	-0.22074	5.5564	-6.7203	52.415	-9999	0.10234	-9999	-9999	-9999	0.75962
1997	4	8	9.7826	0.71664	6.4548	-5.3716	56.058	-9999	0.072516	-9999	-9999	-9999	0.43494
1997	4	9	10.855	1.6238	7.9213	-3.8115	60.135	-9999	0.040244	-9999	-9999	-9999	1.3848
1997	4	10	13.035	1.036	7.543	-5.01	61.865	-9999	0.018603	-9999	-9999	-9999	1.8816
1997	4	11	17.985	1.7797	9.7517	-6.7296	62.041	-9999	0.051425	-9999	-9999	-9999	0.48288
1997	4	12	14.541	5.6046	12.185	-2.5634	66.634	-9999	1.1881	-9999	-9999	-9999	1.7274
1997	4	13	9.6838	9.5461	13.801	5.1681	82.381	-9999	4.0289	-9999	-9999	-9999	2.6079
1997	4	14	5.1888	10.514	12.909	7.8439	84.462	-9999	3.6782	-9999	-9999	-9999	4.0881
1997	4	15	15.322	7.3271	11.933	1.6653	74.835	-9999	3.9648	-9999	-9999	-9999	3.0501
1997	4	16	13.165	4.1028	9.6672	-1.2477	71.012	-9999	1.0593	-9999	-9999	-9999	1.9107
1997	4	17	14.613	5.6582	11.886	-4.6896	59.124	-9999	0.60232	-9999	-9999	-9999	1.2836
1997	4	18	10.122	8.0121	14.307	2.8423	80.606	-9999	3.6322	-9999	-9999	-9999	1.3911
1997	4	19	14.074	6.6045	13.519	-0.52433	66.3	-9999	0.22353	-9999	-9999	-9999	2.1988
1997	4	20	8.0983	5.9806	10.368	-2.3528	78.367	-9999	7.7217	-9999	-9999	-9999	1.1968
1997	4	21	4.2388	6.2918	9.3496	0.0078064	84.171	-9999	6.4571	-9999	-9999	-9999	1.8834
1997	4	22	17.536	5.4289	12.206	-2.4736	62.62	-9999	0.24111	-9999	-9999	-9999	1.8858
1997	4	23	10.67	9.3197	15.234	2.0399	61.597	-9999	1.1776	-9999	-9999	-9999	2.3976
1997	4	24	3.192	9.0189	10.958	4.9914	89.128	-9999	11.737	-9999	-9999	-9999	3.5494
1997	4	25	18.865	8.0536	14.865	0.71697	72.688	-9999	2.7486	-9999	-9999	-9999	2.1783
1997	4	26	7.9871	6.529	9.3259	2.52	81.634	-9999	2.2992	-9999	-9999	-9999	2.7582
1997	4	27	11.394	6.9028	11.954	1.5803	76.196	-9999	0.33153	-9999	-9999	-9999	1.8088
1997	4	28	11.321	9.8567	15.864	1.5648	82.033	-9999	4.109	-9999	-9999	-9999	1.6796
1997	4	29	17.5	11.236	19.091	4.3822	77.26	-9999	2.7575	-9999	-9999	-9999	1.4708
1997	4	30	9.9971	10.591	15.749	2.4368	82.669	-9999	3.723	-9999	-9999	-9999	1.7961
1997	5	1	11.872	10.786	16.375	6.1257	83.74	-9999	3.1794	-9999	-9999	-9999	0.28318
1997	5	2	10.809	10.371	15.145	4.7176	78.23	-9999	3.1559	-9999	-9999	-9999	2.3448
1997	5	3	17.597	8.306	15.985	1.3755	63.472	-9999	0.24268	-9999	-9999	-9999	2.563
1997	5	4	19.448	10.083	19.067	0.39776	62.584	-9999	5.771e-15	-9999	-9999	-9999	0.87267
1997	5	5	18.852	13.551	22.183	2.4514	64.085	-9999	0.1831	-9999	-9999	-9999	1.2499
1997	5	6	12.954	12.738	18.164	5.1047	71.353	-9999	2.9113	-9999	-9999	-9999	1.8349
1997	5	7	19.213	8.3175	15.247	0.81866	61.302	-9999	0.0088355	-9999	-9999	-9999	2.4777
1997	5	8	11.559	7.5454	12.615	-0.38123	74.92	-9999	2.005	-9999	-9999	-9999	1.809
1997	5	9	10.795	7.469	11.817	3.1886	81.492	-9999	2.5566	-9999	-9999	-9999	1.8904
1997	5	10	15.553	5.4847	10.251	-0.40967	74.554	-9999	4.6751	-9999	-9999	-9999	2.3669
1997	5	11	15.295	3.1133	8.128	-1.8563	74.023	-9999	3.8908	-9999	-9999	-9999	2.262
1997	5	12	15.439	3.612	9.2451	-2.5849	80.157	-9999	5.7461	-9999	-9999	-9999	1.8656
1997	5	13	14.967	5.74	11.348	-0.048437	73.543	-9999	3.6562	-9999	-9999	-9999	2.6448
1997	5	14	16.33	6.4525	11.743	0.19854	70.018	-9999	0.93669	-9999	-9999	-9999	2.8963
1997	5	15	17.665	9.7358	15.305	2.5262	59.27	-9999	1.735	-9999	-9999	-9999	3.9299
1997	5	16	3.901	7.2661	9.4454	5.3069	77.455	-9999	8.6199	-9999	-9999	-9999	4.7878
1997	5	17	14.74	10.849	17.544	5.6883	77.459	-9999	4.3631	-9999	-9999	-9999	3.0783
1997	5	18	15.106	12.602	18.715	4.7199	77.989	-9999	2.2999	-9999	-9999	-9999	2.0375
1997	5	19	14.123	14.209	19.777	8.0214	80.539	-9999	6.1199	-9999	-9999	-9999	2.7137
1997	5	20	20.392	12.26	19.217	4.7219	62.064	-9999	0.012602	-9999	-9999	-9999	2.498
1997	5	21	18.064	13.211	20.121	4.4957	65.695	-9999	0.13144	-9999	-9999	-9999	2.4703
1997	5	22	20.091	13.956	21.628	5.7754	61.593	-9999	0.0010675	-9999	-9999	-9999	2.2394
1997	5	23	19.24	14.037	21.87	4.6783	64.08	-9999	0.75656	-9999	-9999	-9999	1.0542
1997	5	24	18.081	15.827	22.905	7.0047	64.904	-9999	0.56374	-9999	-9999	-9999	0.1874
1997	5	25	19.478	17.229	24.62	8.1088	65.911	-9999	0.17332	-9999	-9999	-9999	1.6449
1997	5	26	18.975	17.919	24.982	9.5334	70.457	-9999	2.8769	-9999	-9999	-9999	2.0927
1997	5	27	16.879	17.122	23.197	11.142	78.484	-9999	8.2936	-9999	-9999	-9999	1.9694
1997	5	28	15.703	16.252	21.935	10.574	78.578	-9999	2.4189	-9999	-9999	-9999	1.444
1997	5	29	19.819	16.536	23.032	8.6742	70.678	-9999	0.10899	-9999	-9999	-9999	1.2318
1997	5	30	20.582	18.158	25.324	9.3576	68.562	-9999	0.13117	-9999	-9999	-9999	1.8294
1997	5	31	19.414	19.349	25.827	11.117	70.599	-9999	0.96996	-9999	-9999	-9999	2.098
1997	6	1	17.171	18.237	24.293	10.892	73.478	-9999	1.6802	-9999	-9999	-9999	1.9767
1997	6	2	17.248	18.473	24.455	11.425	74.228	-9999	1.793	-9999	-9999	-9999	1.6151
1997	6	3	16.828	18.534	24.721	11.834	75.508	-9999	2.9645	-9999	-9999	-9999	1.2761
1997	6	4	17.168	18.589	24.711	11.725	76.775	-9999	4.4605	-9999	-9999	-9999	0.93334
1997	6	5	15.563	18.293	23.417	11.991	79.919	-9999	6.6016	-9999	-9999	-9999	1.2745
1997	6	6	14.046	17.163	21.931	12.457	81.409	-9999	5.5132	-9999	-9999	-9999	2.1049
1997	6	7	17.413	17.698	23.365	11.087	74.812	-9999	2.1425	-9999	-9999	-9999	1.0988
1997	6	8	14.016	17.965	22.98	11.407	78.991	-9999	7.7615	-9999	-9999	-9999	0.5375
1997	6	9	14.909	18.537	23.834	13.33	82.162	-9999	7.1493	-9999	-9999	-9999	1.5078
1997	6	10	19.363	19.537	26.228	12.763	69.53	-9999	1.3363	-9999	-9999	-9999	2.4431
1997	6	11	19.228	18.288	24.616	11.009	66.584	-9999	1.3541	-9999	-9999	-9999	1.8236
1997	6	12	13.049	16.108	21.248	10.529	75.92	-9999	6.9759	-9999	-9999	-9999	1.0421
1997	6	13	16.754	15.724	20.815	9.7963	70.298	-9999	1.7875	-9999	-9999	-9999	2.4397
1997	6	14	17.25	16.721	22.508	9.9158	75.999	-9999	6.245	-9999	-9999	-9999	2.0273
1997	6	15	16.024	18.121	23.296	11.758	81.662	-9999	6.2646	-9999	-9999	-9999	1.4162
1997	6	16	15.22	19.328	24.47	14.15	83.069	-9999	8.4847	-9999	-9999	-9999	1.6587
1997	6	17	18.466	18.719	24.871	12.429	75.11	-9999	5.3649	-9999	-9999	-9999	1.663
1997	6	18	18.919	13.182	18.309	6.4312	68.37	-9999	0.87483	-9999	-9999	-9999	2.2195
1997	6	19	17.307	14.43	20.123	5.214	64.227	-9999	0.15604	-9999	-9999	-9999	1.642
1997	6	20	15.623	17.378	22.869	10.129	72.488	-9999	3.5764	-9999	-9999	-9999	2.4637
1997	6	21	13.033	16.445	21.397	10.95	79.015	-9999	9.9963	-9999	-9999	-9999	2.1363
1997	6	22	16.081	11.238	16.046	4.613	73.809	-9999	6.3886	-9999	-9999	-9999	2.1546
