Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
2000	1	1	2.4422418	-6.0915	-0.931	-8.327	98.024425098787	-9999	0.256	-9999	-9999	-9999	0.857645833333333
2000	1	2	2.4561756	-5.26447916666667	-4.139	-7.016	97.3465762583966	-9999	0.456	-9999	-9999	-9999	1.240875
2000	1	3	1.3425066	-3.16885416666667	-1.794	-4.606	95.1875820192199	-9999	0.817	-9999	-9999	-9999	2.26954166666667
2000	1	4	2.1659868	-2.91229166666667	-1.5	-3.824	93.3958103087992	-9999	0.813	-9999	-9999	-9999	2.21735416666667
2000	1	5	1.696176	-2.27120833333333	0.066	-4.472	89.6956903650076	-9999	3.676	-9999	-9999	-9999	3.13620833333333
2000	1	6	3.7728234	-2.622375	2.97	-5.249	94.1317713294073	-9999	0.106	-9999	-9999	-9999	1.0511875
2000	1	7	2.17854	-4.14447916666667	-2.787	-6.308	93.6215004413806	-9999	0.276	-9999	-9999	-9999	1.92877083333333
2000	1	8	2.2178088	-2.57420833333333	-0.846	-3.421	92.7593537328481	-9999	0.267	-9999	-9999	-9999	2.1385625
2000	1	9	2.3167908	-3.479875	-2.237	-4.324	95.1851748876904	-9999	0.223	-9999	-9999	-9999	1.84425
2000	1	10	0.8574948	-3.85483333333333	-2.419	-4.875	97.1083698314301	-9999	1.645	-9999	-9999	-9999	1.29695833333333
2000	1	11	3.1446072	-4.72922916666667	-2.785	-7.206	87.4313273840899	-9999	0.514	-9999	-9999	-9999	0.689541666666667
2000	1	12	3.564072	-6.69529166666667	-0.014	-9.391	92.7471795211623	-9999	0	-9999	-9999	-9999	1.43616666666667
2000	1	13	3.14685	-7.58435416666667	-4.702	-9.722	92.3638549141119	-9999	0	-9999	-9999	-9999	2.68783333333333
2000	1	14	3.4597134	-5.6179375	-4.362	-6.796	92.8352568080301	-9999	0	-9999	-9999	-9999	2.12152083333333
2000	1	15	2.6115192	-5.97308333333333	-4.223	-6.944	93.8215789705034	-9999	1.36	-9999	-9999	-9999	1.39029166666667
2000	1	16	2.8063602	-6.6243125	-5.326	-7.324	93.1959049983751	-9999	2.45	-9999	-9999	-9999	2.14072916666667
2000	1	17	0.4494312	-2.91925	0.021	-6.813	96.7555534901114	-9999	13.593	-9999	-9999	-9999	4.5073125
2000	1	18	2.6820396	-4.19764583333333	-2.578	-5.358	91.6847059155333	-9999	9.38	-9999	-9999	-9999	4.76320833333333
2000	1	19	2.7999054	-6.70658333333333	-4.719	-7.721	88.4843864187653	-9999	6.475	-9999	-9999	-9999	4.5726875
2000	1	20	2.9812356	-5.95222916666667	-2.937	-7.838	89.6915343809748	-9999	8.379	-9999	-9999	-9999	3.94925
2000	1	21	1.9412586	-6.73252083333333	-2.648	-11.116	93.6014095968812	-9999	19.676	-9999	-9999	-9999	5.09391666666667
2000	1	22	3.8143134	-11.0564166666667	-9.158	-13.183	90.7421623007996	-9999	1.515	-9999	-9999	-9999	2.3891875
2000	1	23	1.5611022	-10.0994583333333	-6.588	-14.29	94.7687678339513	-9999	4.192	-9999	-9999	-9999	2.01983333333333
2000	1	24	5.2138044	-13.2266458333333	-10.873	-15.456	96.3992328753442	-9999	0.469	-9999	-9999	-9999	1.78095833333333
2000	1	25	4.8594474	-12.5103541666667	-7.034	-15.511	95.5558546017179	-9999	0.506	-9999	-9999	-9999	1.59589583333333
2000	1	26	2.5205616	-9.02554166666667	-6.462	-12.838	89.8447561073924	-9999	2.599	-9999	-9999	-9999	2.92725
2000	1	27	1.4429664	-4.67716666666667	-3.038	-7.859	93.7023422810044	-9999	3.743	-9999	-9999	-9999	3.3369375
2000	1	28	4.5737712	-5.59410416666667	-2.29	-8.074	85.9564426269467	-9999	1.059	-9999	-9999	-9999	3.15266666666667
2000	1	29	4.1349078	-3.39064583333333	-0.589	-6.936	77.8174424478936	-9999	10.419	-9999	-9999	-9999	4.60929166666667
2000	1	30	4.5763524	-1.033625	0.066	-2.805	82.6304519007428	-9999	10.743	-9999	-9999	-9999	4.75933333333333
2000	1	31	1.0701126	0.768604166666667	2.975	-2.428	87.3621483717118	-9999	7.806	-9999	-9999	-9999	4.72660416666667
2000	2	1	3.1912218	1.24502083333333	3.327	-0.542	90.2445443370241	-9999	0.906	-9999	-9999	-9999	2.7095
2000	2	2	5.149692	2.17008333333333	4.297	0.354	82.4635984567849	-9999	0.596	-9999	-9999	-9999	3.08133333333333
