Year,x,y,Age,Species,Management,N,Stool,AvDBH,Height,Wf,Wrc,Wrf,Ws,Wbb,Wres,Lai
1997,0,0,16,Piceaabies,T,2408,0,7.11,5.63139534883721,0,0,0,0,0,0,-9999
1998,0,0,17,Piceaabies,T,2396,0,7.83,6.33939899833055,0,0,0,0,0,0,-9999
1999,0,0,18,Piceaabies,T,2392,0,8.5,6.8809364548495,0,0,0,0,0,0,-9999
2000,0,0,19,Piceaabies,T,2388,0,9.12,7.49798994974874,0,0,0,0,0,0,-9999
2001,0,0,20,Piceaabies,T,1848,0,10.23,8.42683982683983,0,0,0,0,0,0,-9999
2002,0,0,21,Piceaabies,T,1836,0,10.98,9.13442265795207,0,0,0,0,0,0,-9999
2003,0,0,22,Piceaabies,T,1836,0,11.66,9.80108932461874,0,0,0,0,0,0,-9999
2004,0,0,23,Piceaabies,T,1668,0,12.6,10.4959232613909,0,0,0,0,0,0,-9999
2005,0,0,24,Piceaabies,T,1664,0,13.3,11.1980769230769,0,0,0,0,0,0,-9999
2006,0,0,25,Piceaabies,T,1580,0,13.99,11.5151898734177,0,0,0,0,0,0,-9999
2007,0,0,26,Piceaabies,T,1508,0,14.57,11.9978779840849,0,0,0,0,0,0,-9999
2008,0,0,27,Piceaabies,T,1500,0,15.36,12.3597333333333,0,0,0,0,0,0,-9999
2009,0,0,28,Piceaabies,T,1492,0,15.96,12.8929919137466,0,0,0,0,0,0,-9999
2010,0,0,29,Piceaabies,T,1488,0,16.45,13.4368279569892,0,0,0,0,0,0,-9999
2011,0,0,30,Piceaabies,T,1488,0,17.03,14.1311827956989,0,0,0,0,0,0,-9999
2012,0,0,31,Piceaabies,T,1268,0,18.07,13.5173501577287,0,0,0,0,0,0,-9999
2013,0,0,32,Piceaabies,T,1256,0,18.38,13.7697452229299,0,0,0,0,0,0,-9999
2014,0,0,33,Piceaabies,T,1256,0,19.15,14.059872611465,0,0,0,0,0,0,-9999
2015,0,0,34,Piceaabies,T,1252,0,19.51,14.2332268370607,0,0,0,0,0,0,-9999
