Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	
2005	1	1	4.4	3.4	5.5	2.4	0.7	-9999	33.2	-9999	-9999	
2005	1	2	7.0	3.5	6.2	2.3	1.0	-9999	30.0	-9999	-9999	
2005	1	3	4.5	2.8	4.8	1.5	1.4	-9999	12.6	-9999	-9999	
2005	1	4	7.2	1.6	3.7	-0.6	2.1	-9999	8.6	-9999	-9999	
2005	1	5	8.0	6.4	13.1	-0.5	5.7	-9999	0.0	-9999	-9999	
2005	1	6	6.4	4.9	8.9	-0.5	2.9	-9999	0.0	-9999	-9999	
2005	1	7	8.1	3.9	8.1	-0.5	2.4	-9999	0.0	-9999	-9999	
2005	1	8	8.2	7.9	12.5	1.4	6.3	-9999	0.0	-9999	-9999	
2005	1	9	8.3	8.5	15.2	1.2	7.5	-9999	0.0	-9999	-9999	
2005	1	10	8.4	6.3	11.9	0.3	3.5	-9999	0.0	-9999	-9999	
2005	1	11	8.4	5.0	10.4	-0.4	2.4	-9999	0.0	-9999	-9999	
2005	1	12	7.7	4.2	9.7	1.4	1.3	-9999	0.0	-9999	-9999	
2005	1	13	5.8	3.8	9.7	0.9	0.9	-9999	0.0	-9999	-9999	
2005	1	14	5.9	3.4	9.5	-0.5	0.9	-9999	0.4	-9999	-9999	
2005	1	15	6.1	3.3	9.1	1.5	1.0	-9999	0.0	-9999	-9999	
2005	1	16	8.0	3.2	8.6	1.2	1.6	-9999	0.0	-9999	-9999	
2005	1	17	8.8	2.9	5.9	0.4	1.5	-9999	0.0	-9999	-9999	
2005	1	18	8.7	2.7	5.6	-0.4	1.2	-9999	2.6	-9999	-9999	
2005	1	19	5.3	2.8	4.8	1.4	0.7	-9999	2.4	-9999	-9999	
2005	1	20	7.1	4.2	6.9	1.0	1.3	-9999	66.8	-9999	-9999	
2005	1	21	8.6	4.4	8.5	-0.4	1.6	-9999	2.0	-9999	-9999	
2005	1	22	7.0	4.1	8.7	-0.8	0.6	-9999	2.6	-9999	-9999	
2005	1	23	8.6	3.1	5.9	-0.8	1.6	-9999	0.0	-9999	-9999	
2005	1	24	8.1	4.0	7.4	-1.2	0.7	-9999	12.0	-9999	-9999	
2005	1	25	7.4	3.5	7.1	-0.8	0.6	-9999	5.4	-9999	-9999	
2005	1	26	5.7	1.6	6.9	-0.9	0.3	-9999	0.2	-9999	-9999	
2005	1	27	5.8	0.9	4.2	-1.0	0.2	-9999	0.2	-9999	-9999	
2005	1	28	5.5	0.8	3.7	-1.3	0.4	-9999	0.2	-9999	-9999	
2005	1	29	4.9	1.4	3.7	-0.8	0.8	-9999	0.0	-9999	-9999	
2005	1	30	4.2	0.8	3.6	-0.9	0.3	-9999	0.2	-9999	-9999	
2005	1	31	5.3	0.1	3.1	-2.3	0.4	-9999	0.2	-9999	-9999	
2005	2	1	3.6	-0.1	2.3	-2.3	0.3	-9999	0.0	-9999	-9999	
2005	2	2	3.7	-0.7	1.8	-3.9	0.4	-9999	0.0	-9999	-9999	
2005	2	3	4.8	-1.7	0.5	-4.3	0.8	-9999	0.0	-9999	-9999	
2005	2	4	5.2	-1.9	-0.7	-4.3	1.0	-9999	0.0	-9999	-9999	
2005	2	5	4.9	-1.8	0.1	-4.3	1.1	-9999	0.0	-9999	-9999	
2005	2	6	4.4	-1.5	-0.2	-4.5	0.5	-9999	0.0	-9999	-9999	
2005	2	7	4.3	-0.3	0.7	-2.5	0.3	-9999	0.2	-9999	-9999	
2005	2	8	5.2	0.0	1.4	-1.2	0.3	-9999	0.2	-9999	-9999	
2005	2	9	5.2	-0.1	1.2	-1.2	0.3	-9999	0.2	-9999	-9999	
2005	2	10	6.8	-0.7	0.5	-2.0	0.8	-9999	0.6	-9999	-9999	
2005	2	11	11.4	0.4	3.6	-2.6	2.5	-9999	0.6	-9999	-9999	
2005	2	12	11.3	3.6	6.4	1.2	1.3	-9999	0.0	-9999	-9999	
2005	2	13	6.3	7.1	11.9	4.5	0.3	-9999	2.8	-9999	-9999	
2005	2	14	4.5	3.4	7.9	-0.7	0.2	-9999	6.8	-9999	-9999	
2005	2	15	4.5	0.0	2.3	-1.7	0.1	-9999	1.8	-9999	-9999	
2005	2	16	4.7	-0.7	1.1	-1.9	0.1	-9999	0.2	-9999	-9999	
2005	2	17	5.3	-0.2	1.2	-1.5	0.2	-9999	3.2	-9999	-9999	
2005	2	18	5.2	0.0	1.2	-1.1	0.1	-9999	3.8	-9999	-9999	
2005	2	19	8.8	0.3	2.5	-1.4	0.4	-9999	13.2	-9999	-9999	
2005	2	20	7.4	0.9	2.2	-0.8	0.3	-9999	0.2	-9999	-9999	
