year,mean
2006,16.7948852821918
2007,15.3984574739726
2008,16.0067075901639
2009,17.6229043010959
2010,16.5387719726027
2011,16.9434347123288
2012,16.5683675
2013,16.6412574328767
2014,17.8812276876712
2015,16.1923843369863
2016,16.5580858743169
2017,15.9890420487945
2018,16.4467382
2019,15.3371055671233
2020,17.5031521202186
2021,16.7931519123288
2022,17.0551209452055
2023,16.1646010764384
2024,16.1673606155738
2025,16.8782504794521
2026,15.7231674164384
2027,18.0559086383562
2028,15.1718211939891
2029,15.6773403726027
2030,16.8533617769863
2031,15.8527487893151
2032,16.5072824918033
2033,16.455519690411
2034,16.730210939726
2035,16.5790451369863
2036,18.4007629338798
2037,16.9141672230137
2038,16.9411422739726
2039,17.6157243534247
2040,16.2917925136612
2041,16.3002878876712
2042,16.4572737424658
2043,16.8142570852055
2044,17.1635373770492
2045,19.3772725479452
2046,17.1458848978082
2047,16.9251357808219
2048,18.0499757054645
2049,18.1290047465753
2050,17.7826509016438
2051,17.2223360273973
2052,17.3841061748634
2053,16.2790140317808
2054,17.5282636438356
2055,18.7805319671233
2056,16.8106743770492
2057,18.2897335616438
2058,18.6267398356164
2059,18.8910855068493
2060,18.6160719628415
2061,17.9277125424658
2062,17.7249929315069
2063,18.0573620712329
2064,18.3444678333333
2065,19.4918849068493
2066,18.0431239013699
2067,18.6495399068493
2068,18.4170729661202
2069,19.2492209917808
2070,18.7878975260274
2071,19.3145959452055
2072,18.692221557377
2073,17.4246954109589
2074,18.1994033534247
2075,17.8615481479452
2076,18.0359993251366
2077,20.081166109589
2078,19.8571188767123
2079,18.6714163178082
2080,18.4837877868852
2081,18.5817369041096
2082,18.4194822520548
2083,18.8439613123288
2084,18.6545464480874
2085,17.3544806849315
2086,19.2048169863014
2087,18.3772809315068
2088,17.2533877322404
2089,18.6967268219178
2090,18.8285530136986
2091,19.8018381726027
2092,18.416042568306
2093,19.0060132054795
2094,16.902523230137
2095,19.1385272328767
