year,mean
2006,9.33860754317808
2007,9.78901855150685
2008,9.56622933387978
2009,9.68219598630137
2010,9.69114127265753
2011,9.88896051863014
2012,10.285080192623
2013,9.78047571232877
2014,10.4434169229315
2015,10.4468391358904
2016,10.9838064180328
2017,9.66122182986301
2018,9.83602189479452
2019,9.48047883589041
2020,10.900806576776
2021,9.28346107917808
2022,9.833764518
2023,10.5202529986301
2024,10.078565057377
2025,10.5667207863014
2026,10.0687022405479
2027,10.8181756268493
2028,10.422344145082
2029,11.0801441013699
2030,9.61209488739726
2031,10.5004662536986
2032,10.9346300901639
2033,11.0060020273973
2034,10.5537950986301
2035,10.577497193726
2036,11.591469463388
2037,10.2959616947945
2038,10.5349669205479
2039,11.5655267438356
2040,9.9622841420765
2041,11.2219188561644
2042,10.2173714986301
2043,10.6941508378082
2044,9.75397646677596
2045,11.0858642991781
2046,10.151248590137
2047,10.9959140657534
2048,11.4389091489071
2049,10.9847117529099
2050,11.2928182712329
2051,12.9784321887671
2052,11.5559927945355
2053,11.8293123032877
2054,13.0511210876712
2055,12.4180689928767
2056,12.3896857459016
2057,11.6639768317808
2058,11.8804681706849
2059,12.2419629342466
2060,12.2223548005464
2061,12.1926896191781
2062,12.6514924515068
2063,12.5739607123288
2064,11.9865524256831
2065,11.8745312328767
2066,13.5670065863014
2067,11.9547853534247
2068,13.2386573961749
2069,13.6732836136986
2070,13.3091056342466
2071,11.6549304054795
2072,13.6812393989071
2073,12.1459351780822
2074,13.0675872438356
2075,13.0761567315068
2076,12.9119277382514
2077,13.721148260274
2078,14.0669560260274
2079,13.9154899386301
2080,13.8380602595628
2081,13.5098724410959
2082,14.6389158136986
2083,13.2674879972603
2084,14.5928528281421
2085,13.9681734246575
2086,15.3831186
2087,14.3226044657534
2088,15.1636753688525
2089,14.8736195068493
2090,14.1859860191781
2091,14.2979824383562
2092,14.0838755054645
2093,14.2789516520548
2094,14.7268353232877
2095,14.8263951671233
