Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	WS_f
2006	01	01	6.0126	-9999	15.1801	7.83779	0.900613888	-9999	0	-9999	-9999	-9999	-9999
2006	01	02	6.09124	-9999	19.4361	13.6257	1.551035883	-9999	0	-9999	-9999	-9999	-9999
2006	01	03	5.72158	-9999	15.8037	9.16134	0.258102542	-9999	0.00552534	-9999	-9999	-9999	-9999
2006	01	04	1.41896	-9999	12.4126	9.55926	0.047936099	-9999	3.12013	-9999	-9999	-9999	-9999
2006	01	05	2.56594	-9999	12.7825	7.92181	0.179681837	-9999	7.51665E-05	-9999	-9999	-9999	-9999
2006	01	06	3.30523	-9999	9.96577	7.22601	0.460126963	-9999	1.22562	-9999	-9999	-9999	-9999
2006	01	07	6.03192	-9999	15.4487	8.2131	0.500626414	-9999	1.95879E-10	-9999	-9999	-9999	-9999
2006	01	08	6.35299	-9999	11.8617	8.35879	0.565499165	-9999	6.52811E-14	-9999	-9999	-9999	-9999
2006	01	09	5.27378	-9999	13.1793	8.24365	0.289586628	-9999	0	-9999	-9999	-9999	-9999
2006	01	10	4.8866	-9999	14.6299	8.59909	0.536251364	-9999	0	-9999	-9999	-9999	-9999
2006	01	11	6.62008	-9999	13.5863	6.60315	0.460265445	-9999	0	-9999	-9999	-9999	-9999
2006	01	12	6.4495	-9999	14.213	8.56512	0.673752471	-9999	0	-9999	-9999	-9999	-9999
2006	01	13	6.61526	-9999	18.7316	9.76678	1.133493036	-9999	0	-9999	-9999	-9999	-9999
2006	01	14	4.25389	-9999	16.8738	13.5086	1.306142173	-9999	0	-9999	-9999	-9999	-9999
2006	01	15	6.68051	-9999	22.2889	15.4866	1.909310294	-9999	0	-9999	-9999	-9999	-9999
2006	01	16	6.92454	-9999	20.7684	8.99441	1.129217253	-9999	2.0774E-10	-9999	-9999	-9999	-9999
2006	01	17	6.86631	-9999	13.3208	6.55111	0.624792525	-9999	1.9126E-11	-9999	-9999	-9999	-9999
