Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
2006	1	1	5.861383597	-9999	15.1801	7.83779	35.3517	-9999	0	-9999	-9999	-9999	-9999
2006	1	2	5.938045808	-9999	19.4361	13.6257	18.7531	-9999	0	-9999	-9999	-9999	-9999
2006	1	3	5.577682727	-9999	15.8037	9.16134	82.5385	-9999	0.00552534	-9999	-9999	-9999	-9999
2006	1	4	1.383273271	-9999	12.4126	9.55926	96.3593	-9999	3.12013	-9999	-9999	-9999	-9999
2006	1	5	2.501406817	-9999	12.7825	7.92181	85.8722	-9999	7.52E-05	-9999	-9999	-9999	-9999
2006	1	6	3.222103733	-9999	9.96577	7.22601	58.966	-9999	1.22562	-9999	-9999	-9999	-9999
2006	1	7	5.880217701	-9999	15.4487	8.2131	64.7902	-9999	1.96E-10	-9999	-9999	-9999	-9999
2006	1	8	6.193212816	-9999	11.8617	8.35879	54.5618	-9999	6.53E-14	-9999	-9999	-9999	-9999
2006	1	9	5.141144861	-9999	13.1793	8.24365	77.7765	-9999	0	-9999	-9999	-9999	-9999
2006	1	10	4.763702406	-9999	14.6299	8.59909	61.455	-9999	0	-9999	-9999	-9999	-9999
2006	1	11	6.453585525	-9999	13.5863	6.60315	63.6308	-9999	0	-9999	-9999	-9999	-9999
2006	1	12	6.287295598	-9999	14.213	8.56512	50.7419	-9999	0	-9999	-9999	-9999	-9999
2006	1	13	6.448886747	-9999	18.7316	9.76678	32.7258	-9999	0	-9999	-9999	-9999	-9999
2006	1	14	4.146905011	-9999	16.8738	13.5086	24.7315	-9999	0	-9999	-9999	-9999	-9999
2006	1	15	6.512495715	-9999	22.2889	15.4866	14.1952	-9999	0	-9999	-9999	-9999	-9999
2006	1	16	6.75038838	-9999	20.7684	8.99441	37.2565	-9999	2.08E-10	-9999	-9999	-9999	-9999
2006	1	17	6.69362286	-9999	13.3208	6.55111	50.0343	-9999	1.91E-11	-9999	-9999	-9999	-9999
2006	1	18	6.676270529	-9999	13.9093	7.34701	66.821	-9999	0.710516	-9999	-9999	-9999	-9999
2006	1	19	6.825383597	-9999	9.73656	4.84176	76.4371	-9999	1.48904	-9999	-9999	-9999	-9999
2006	1	20	1.722111662	-9999	7.52046	1.371	89.2694	-9999	4.47206	-9999	-9999	-9999	-9999
2006	1	21	3.669754891	-9999	2.21333	-1.40052	85.2358	-9999	0.500695	-9999	-9999	-9999	-9999
2006	1	22	5.420848846	-9999	6.13103	-1.17716	76.0041	-9999	18.0606	-9999	-9999	-9999	-9999
2006	1	23	2.597644017	-9999	3.62254	0.748226	97.7782	-9999	53.9201	-9999	-9999	-9999	-9999
2006	1	24	5.82261381	-9999	5.10615	0.89468	87.1327	-9999	0.760989	-9999	-9999	-9999	-9999
