Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	WS_f
2004	01	01	4.17	4.4	6.35	-0.73	2.57	-9999	0.4	-9999	-9999	-9999	-9999
2004	01	02	5.25	4.02	6.05	-1.33	2.6	-9999	0	-9999	-9999	-9999	-9999
2004	01	03	1.73	1.72	2.35	0.08	0.78	-9999	74.4	-9999	-9999	-9999	-9999
2004	01	04	2.86	2.46	3.55	-0.42	1.37	-9999	3.2	-9999	-9999	-9999	-9999
2004	01	05	4.52	1.26	3.45	-4.52	2.32	-9999	1.8	-9999	-9999	-9999	-9999
2004	01	06	5.69	0.61	3.05	-5.83	2.43	-9999	0	-9999	-9999	-9999	-9999
2004	01	07	5.94	1.02	3.85	-6.42	2.8	-9999	0	-9999	-9999	-9999	-9999
2004	01	08	4.69	2.02	3.55	-2.02	1.8	-9999	0	-9999	-9999	-9999	-9999
2004	01	09	3.35	2.56	3.85	-0.82	1.59	-9999	2	-9999	-9999	-9999	-9999
2004	01	10	4.61	4.48	6.65	-1.23	2.83	-9999	1.8	-9999	-9999	-9999	-9999
2004	01	11	5.56	1.29	3.35	-4.13	2.21	-9999	0	-9999	-9999	-9999	-9999
2004	01	12	6.4	4.64	8.35	-5.13	4.33	-9999	0	-9999	-9999	-9999	-9999
2004	01	13	2.93	8.46	9.25	6.38	1.47	-9999	0	-9999	-9999	-9999	-9999
2004	01	14	4.03	8.67	9.85	5.58	2.15	-9999	0	-9999	-9999	-9999	-9999
2004	01	15	5.02	5.46	7.05	1.27	2.31	-9999	0	-9999	-9999	-9999	-9999
2004	01	16	6.29	2.72	5.35	-4.22	2.96	-9999	0	-9999	-9999	-9999	-9999
2004	01	17	5.52	4.68	7.75	-3.42	3.78	-9999	0.4	-9999	-9999	-9999	-9999
2004	01	18	4.15	8.33	9.95	4.08	2.8	-9999	2.2	-9999	-9999	-9999	-9999
2004	01	19	5.28	8	10.55	1.27	4.03	-9999	0.2	-9999	-9999	-9999	-9999
2004	01	20	3.98	4.3	5.75	0.48	1.98	-9999	3	-9999	-9999	-9999	-9999
2004	01	21	5.26	1.02	3.35	-5.13	2.4	-9999	13.2	-9999	-9999	-9999	-9999
2004	01	22	5.31	-3.92	-2.55	-7.52	1.1	-9999	0.6	-9999	-9999	-9999	-9999
2004	01	23	7.74	-5.77	-3.55	-11.63	1.46	-9999	0	-9999	-9999	-9999	-9999
2004	01	24	8.08	-5.8	-3.25	-12.53	1.63	-9999	0	-9999	-9999	-9999	-9999
2004	01	25	7.5	-2.56	0.95	-11.83	2.59	-9999	1.6	-9999	-9999	-9999	-9999
2004	01	26	7.42	0.55	3.65	-7.63	2.91	-9999	1.2	-9999	-9999	-9999	-9999
2004	01	27	6.81	5.8	8.05	-0.13	3.17	-9999	30.2	-9999	-9999	-9999	-9999
2004	01	28	4.71	4.71	6.35	0.38	2.27	-9999	29.2	-9999	-9999	-9999	-9999
2004	01	29	2.71	0.56	1.35	-1.53	0.9	-9999	15.6	-9999	-9999	-9999	-9999
2004	01	30	7.33	-1.98	0.35	-8.13	1.97	-9999	15.8	-9999	-9999	-9999	-9999
2004	01	31	9.29	0.62	4.55	-9.73	3.47	-9999	0	-9999	-9999	-9999	-9999
2004	02	01	9.24	4.37	8.85	-7.42	4.85	-9999	0	-9999	-9999	-9999	-9999
2004	02	02	9.33	6.24	10.85	-5.92	5.58	-9999	0	-9999	-9999	-9999	-9999
2004	02	03	9.49	7.31	11.35	-3.32	5.45	-9999	0	-9999	-9999	-9999	-9999
2004	02	04	9.69	7.86	11.35	-1.33	5.08	-9999	0	-9999	-9999	-9999	-9999
2004	02	05	10.36	10.62	15.65	-2.63	7.76	-9999	0	-9999	-9999	-9999	-9999
2004	02	06	10.52	10.61	16.05	-3.72	8.15	-9999	0	-9999	-9999	-9999	-9999
2004	02	07	10.84	11.88	17.65	-3.32	9.13	-9999	0	-9999	-9999	-9999	-9999
2004	02	08	9.64	6.21	9.15	-1.53	4.02	-9999	0	-9999	-9999	-9999	-9999
2004	02	09	10.61	6.59	10.35	-3.32	4.96	-9999	0	-9999	-9999	-9999	-9999
2004	02	10	9	0.92	3.25	-5.22	2.39	-9999	0	-9999	-9999	-9999	-9999
2004	02	11	8.7	0.61	3.85	-7.92	3.02	-9999	3.4	-9999	-9999	-9999	-9999
2004	02	12	7.48	-1.87	0.35	-7.72	1.91	-9999	6.8	-9999	-9999	-9999	-9999
2004	02	13	6.19	-4.74	-3.15	-8.93	1.19	-9999	0.4	-9999	-9999	-9999	-9999
2004	02	14	11.6	1.48	5.35	-8.73	3.64	-9999	0	-9999	-9999	-9999	-9999
2004	02	15	8.8	4.99	7.05	-0.42	2.8	-9999	0	-9999	-9999	-9999	-9999
2004	02	16	8.22	1.6	3.35	-3.02	1.97	-9999	0	-9999	-9999	-9999	-9999
2004	02	17	6.19	-0.27	0.85	-3.22	1.17	-9999	0	-9999	-9999	-9999	-9999
2004	02	18	11.64	2.31	5.55	-6.22	3.38	-9999	0	-9999	-9999	-9999	-9999
2004	02	19	11.71	3.08	6.35	-5.52	3.57	-9999	0	-9999	-9999	-9999	-9999
2004	02	20	12.04	9.56	13.05	0.38	5.64	-9999	0	-9999	-9999	-9999	-9999
2004	02	21	11.59	10.37	13.55	1.97	5.54	-9999	0	-9999	-9999	-9999	-9999
2004	02	22	5.42	10.44	11.75	6.98	2.64	-9999	2.8	-9999	-9999	-9999	-9999
2004	02	23	6.9	6.19	8.55	-0.02	3.38	-9999	1.6	-9999	-9999	-9999	-9999
2004	02	24	8.57	6.78	8.95	1.08	3.27	-9999	0	-9999	-9999	-9999	-9999
2004	02	25	7.74	11.83	14.55	4.67	5.34	-9999	0.4	-9999	-9999	-9999	-9999
2004	02	26	6.72	12.36	14.55	6.58	4.63	-9999	3.2	-9999	-9999	-9999	-9999
2004	02	27	5.11	6.64	8.15	2.68	2.37	-9999	6.8	-9999	-9999	-9999	-9999
2004	02	28	6.58	4.15	6.15	-1.13	2.59	-9999	18.6	-9999	-9999	-9999	-9999
2004	02	29	4.45	1.72	2.95	-1.53	1.45	-9999	12.4	-9999	-9999	-9999	-9999
2004	03	01	5.66	2.39	3.95	-1.73	1.87	-9999	18.2	-9999	-9999	-9999	-9999
2004	03	02	5.98	1.56	3.15	-2.63	1.8	-9999	1	-9999	-9999	-9999	-9999
2004	03	03	3.06	-0.84	-0.35	-2.13	0.52	-9999	0	-9999	-9999	-9999	-9999
2004	03	04	9.59	0.71	2.55	-4.13	1.93	-9999	0	-9999	-9999	-9999	-9999
2004	03	05	14.55	1.65	5.55	-8.63	3.69	-9999	0	-9999	-9999	-9999	-9999
2004	03	06	12.88	3.21	5.95	-4.02	3.15	-9999	0	-9999	-9999	-9999	-9999
2004	03	07	7.94	4.49	6.35	-0.42	2.49	-9999	7	-9999	-9999	-9999	-9999
2004	03	08	4.39	2.18	3.05	-0.13	1.09	-9999	25.2	-9999	-9999	-9999	-9999
2004	03	09	7.72	2.33	3.95	-1.93	1.92	-9999	13.4	-9999	-9999	-9999	-9999
2004	03	10	12.81	2.66	4.85	-3.13	2.54	-9999	0	-9999	-9999	-9999	-9999
2004	03	11	10.97	3.29	5.95	-3.72	3.09	-9999	3	-9999	-9999	-9999	-9999
2004	03	12	14.9	5.57	8.45	-2.02	3.81	-9999	0	-9999	-9999	-9999	-9999
2004	03	13	17.02	9.63	14.55	-3.32	7.2	-9999	0	-9999	-9999	-9999	-9999
2004	03	14	17.03	12.61	17.55	-0.42	8.67	-9999	0	-9999	-9999	-9999	-9999
2004	03	15	16.86	11.22	15.45	0.08	7.17	-9999	0	-9999	-9999	-9999	-9999
2004	03	16	17.02	11.09	15.35	-0.13	7.15	-9999	0	-9999	-9999	-9999	-9999
2004	03	17	17.33	10.2	14.65	-1.53	6.98	-9999	0	-9999	-9999	-9999	-9999
2004	03	18	17.67	11.83	16.75	-1.13	8.24	-9999	0	-9999	-9999	-9999	-9999
2004	03	19	17.49	12.15	16.65	0.28	7.92	-9999	0	-9999	-9999	-9999	-9999
2004	03	20	17.8	11.88	16.55	-0.42	7.99	-9999	0	-9999	-9999	-9999	-9999
2004	03	21	17.82	10.5	14.95	-1.23	7.11	-9999	0	-9999	-9999	-9999	-9999
2004	03	22	16.24	9.63	12.95	0.88	5.47	-9999	0	-9999	-9999	-9999	-9999
2004	03	23	11.83	8.03	11.05	0.08	4.61	-9999	15.6	-9999	-9999	-9999	-9999
2004	03	24	3.69	1.44	2.15	-0.42	0.86	-9999	21.4	-9999	-9999	-9999	-9999
2004	03	25	9.79	7.28	9.45	1.58	3.37	-9999	1.8	-9999	-9999	-9999	-9999
2004	03	26	11.15	8.77	11.35	1.97	4.26	-9999	0.8	-9999	-9999	-9999	-9999
2004	03	27	17.19	8.37	11.75	-0.52	5.12	-9999	0	-9999	-9999	-9999	-9999
2004	03	28	9.1	5.13	7.05	0.08	2.66	-9999	2.4	-9999	-9999	-9999	-9999
2004	03	29	10.7	6.89	9.25	0.68	3.53	-9999	2.6	-9999	-9999	-9999	-9999
2004	03	30	9.7	8.87	10.95	3.38	3.59	-9999	4	-9999	-9999	-9999	-9999
2004	03	31	11.24	10.8	13.35	4.08	4.77	-9999	7.8	-9999	-9999	-9999	-9999
2004	04	01	6.93	7.45	8.85	3.78	2.33	-9999	7	-9999	-9999	-9999	-9999
2004	04	02	13.85	10.25	13.85	0.77	6.02	-9999	0.2	-9999	-9999	-9999	-9999
2004	04	03	19.44	9.86	13.95	-0.93	6.45	-9999	0	-9999	-9999	-9999	-9999
2004	04	04	16.87	9.53	12.55	1.58	5.05	-9999	0	-9999	-9999	-9999	-9999
2004	04	05	17.07	8.33	11.35	0.38	4.69	-9999	0	-9999	-9999	-9999	-9999
2004	04	06	16.92	7.99	10.95	0.18	4.53	-9999	0	-9999	-9999	-9999	-9999
2004	04	07	11.57	9.61	11.45	4.78	3.38	-9999	0	-9999	-9999	-9999	-9999
2004	04	08	15.29	11.74	14.35	4.88	5.14	-9999	0	-9999	-9999	-9999	-9999
2004	04	09	17.29	15.17	18.35	6.78	7.37	-9999	0	-9999	-9999	-9999	-9999
2004	04	10	17.72	16.23	19.55	7.48	8.1	-9999	0	-9999	-9999	-9999	-9999
2004	04	11	21.04	17.14	21.95	4.48	11.14	-9999	0	-9999	-9999	-9999	-9999
2004	04	12	17.91	14.88	18.15	6.28	7.39	-9999	0	-9999	-9999	-9999	-9999
2004	04	13	8.1	6.96	8.55	2.78	2.53	-9999	1.2	-9999	-9999	-9999	-9999
2004	04	14	8.95	4.25	5.95	-0.22	2.27	-9999	1	-9999	-9999	-9999	-9999
2004	04	15	21.31	9.1	13.05	-1.33	6.01	-9999	0	-9999	-9999	-9999	-9999
2004	04	16	12.72	8.4	10.95	1.68	4.13	-9999	1.6	-9999	-9999	-9999	-9999
2004	04	17	15.26	12.62	16.05	3.58	6.71	-9999	6.2	-9999	-9999	-9999	-9999
2004	04	18	5.68	7.29	8.25	4.78	1.63	-9999	7.8	-9999	-9999	-9999	-9999
2004	04	19	12.71	8.35	10.65	2.28	3.78	-9999	4.4	-9999	-9999	-9999	-9999
2004	04	20	6.52	3.14	4.15	0.48	1.33	-9999	12.4	-9999	-9999	-9999	-9999
2004	04	21	13.07	8.6	10.85	2.68	3.77	-9999	0.2	-9999	-9999	-9999	-9999
2004	04	22	22.9	10.96	14.75	0.98	6.53	-9999	0	-9999	-9999	-9999	-9999
2004	04	23	23.15	12.71	16.75	2.08	7.6	-9999	0	-9999	-9999	-9999	-9999
2004	04	24	14.21	11.74	13.55	6.98	3.78	-9999	0	-9999	-9999	-9999	-9999
2004	04	25	5.5	8.5	9.35	6.28	1.57	-9999	36.4	-9999	-9999	-9999	-9999
2004	04	26	3.48	7.09	7.55	5.88	0.81	-9999	78	-9999	-9999	-9999	-9999
2004	04	27	14.23	10.08	11.75	5.67	3.2	-9999	0	-9999	-9999	-9999	-9999
2004	04	28	22.03	10.92	14.05	2.68	5.65	-9999	0	-9999	-9999	-9999	-9999
2004	04	29	21.6	11.33	14.35	3.38	5.63	-9999	0	-9999	-9999	-9999	-9999
2004	04	30	19.8	11.27	13.85	4.48	4.95	-9999	0	-9999	-9999	-9999	-9999
2004	05	01	21.07	11.67	14.55	4.08	5.54	-9999	0	-9999	-9999	-9999	-9999
2004	05	02	23.65	12.7	16.35	3.08	7.06	-9999	0	-9999	-9999	-9999	-9999
2004	05	03	25.31	14.84	19.45	2.68	9.46	-9999	0	-9999	-9999	-9999	-9999
2004	05	04	17.16	12.9	16.25	4.08	6.7	-9999	3	-9999	-9999	-9999	-9999
2004	05	05	24.29	12.53	16.35	2.48	7.22	-9999	0	-9999	-9999	-9999	-9999
2004	05	06	11.61	8.64	10.45	3.88	3.14	-9999	24.6	-9999	-9999	-9999	-9999
2004	05	07	13.24	8.04	10.15	2.48	3.45	-9999	0.4	-9999	-9999	-9999	-9999
2004	05	08	7.96	8.97	10.15	5.88	2.19	-9999	0.8	-9999	-9999	-9999	-9999
2004	05	09	14.56	9.32	11.65	3.18	4.05	-9999	5.4	-9999	-9999	-9999	-9999
2004	05	10	18.83	7.18	9.35	1.47	3.35	-9999	0	-9999	-9999	-9999	-9999
2004	05	11	26.35	11.74	16.05	0.38	7.5	-9999	0	-9999	-9999	-9999	-9999
2004	05	12	24.45	16.15	19.75	6.67	8.56	-9999	0	-9999	-9999	-9999	-9999
2004	05	13	7.02	9.57	10.55	6.98	1.92	-9999	2.6	-9999	-9999	-9999	-9999
2004	05	14	13.83	11.04	13.15	5.48	4.14	-9999	16.8	-9999	-9999	-9999	-9999
2004	05	15	22.7	11	13.85	3.48	5.28	-9999	0	-9999	-9999	-9999	-9999
2004	05	16	17.38	9.91	12.85	2.18	5.06	-9999	0.8	-9999	-9999	-9999	-9999
2004	05	17	11.68	6.23	7.85	1.97	2.46	-9999	12	-9999	-9999	-9999	-9999
2004	05	18	23.97	8.78	11.85	0.68	4.89	-9999	0	-9999	-9999	-9999	-9999
2004	05	19	26.93	11.93	16.35	0.28	7.72	-9999	0	-9999	-9999	-9999	-9999
2004	05	20	26.66	15.29	19.85	3.28	9.64	-9999	0	-9999	-9999	-9999	-9999
2004	05	21	25.27	15.65	19.55	5.38	8.82	-9999	0	-9999	-9999	-9999	-9999
2004	05	22	23.94	14.77	18.15	5.88	7.53	-9999	0	-9999	-9999	-9999	-9999
2004	05	23	17.56	14.27	17.45	5.88	6.99	-9999	0.4	-9999	-9999	-9999	-9999
2004	05	24	24.32	9.83	13.15	1.08	5.53	-9999	0	-9999	-9999	-9999	-9999
2004	05	25	27.08	11.02	15.55	-0.93	7.43	-9999	0	-9999	-9999	-9999	-9999
2004	05	26	27.93	11.99	17.35	-2.13	8.79	-9999	0	-9999	-9999	-9999	-9999
2004	05	27	26.58	14.28	18.95	1.97	9.23	-9999	0	-9999	-9999	-9999	-9999
