year,sum
2006,979.354121489263
2007,760.343380289604
2008,725.500312389802
2009,838.935450699916
2010,1054.87992142758
2011,1136.95638944117
2012,925.987657940231
2013,1024.530562085
2014,462.809924479016
2015,772.617653479187
2016,808.344781115638
2017,1084.074527703
2018,1296.72801452802
2019,1094.54570795803
2020,824.514542696066
2021,678.347260755685
2022,869.550214750789
2023,883.676867003991
2024,826.510303506893
2025,982.987326166928
2026,1180.21466056022
2027,537.396957397151
2028,1349.63716660741
2029,633.479458035883
2030,1163.90981570099
2031,935.650160969825
2032,869.710173131924
2033,774.95857290953
2034,716.937570016432
2035,732.776100525988
2036,633.910506642669
2037,900.408213632892
2038,1523.70287863236
2039,780.2514723003
2040,1063.19465465933
2041,862.771765376759
2042,781.307462303675
2043,757.385345526369
2044,1610.92349254939
2045,501.361086965868
2046,1310.97425071788
2047,1096.35435494667
2048,1121.76306917542
2049,661.980956886552
2050,772.695801715347
2051,648.723436277795
2052,887.425356921439
2053,1198.09610329653
2054,1059.71107462715
2055,493.662816073328
2056,1042.27114901288
2057,634.855003238948
2058,611.998435532565
2059,1123.3629927045
2060,944.420708150269
2061,670.195032353223
2062,938.511286036685
2063,570.681868128617
2064,630.748737492201
2065,401.98131338851
2066,789.018170110842
2067,758.091295269667
2068,621.036619507976
2069,580.83623216078
2070,881.213112231463
2071,340.052770873792
2072,880.437478668224
2073,545.514944395446
2074,979.321826381696
2075,560.922152502414
2076,801.508318560919
2077,765.368909409371
2078,792.704399532811
2079,590.5933067375
2080,1016.10209401166
2081,1122.88584783832
2082,554.824239497223
2083,486.045514905311
2084,843.697722706345
2085,989.435284123833
2086,589.895976666108
2087,748.528478689304
2088,994.209299214995
2089,882.777837267903
2090,933.974083124156
2091,650.444020163865
2092,796.242174327725
2093,904.733182537863
2094,821.567239705956
2095,721.278481013873
