Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1	1	3.26	-0.91	0.83	-2.57	0.42	4.95	0	-9999	0	-9999	-9999
1	2	2.19	-1.05	0.99	-3.83	0.53	4.52	0.74	-9999	0	-9999	-9999
1	3	4.82	-3.24	0.42	-7.19	0.44	4.45	0.74	-9999	0	-9999	-9999
1	4	1.54	-4.61	-0.99	-7.65	0.32	3.97	0.44	-9999	0	-9999	-9999
1	5	4.06	-2.06	0.02	-4.55	0.34	3.87	0	-9999	0	-9999	-9999
1	6	1.34	-4.29	-2.75	-6.75	0.38	3.77	0	-9999	0	-9999	-9999
1	7	3.93	-4.68	-2.64	-7.55	0.45	3.66	0	-9999	0	-9999	-9999
1	8	3.27	-4.9	-3.31	-7.79	0.38	3.45	0	-9999	0	-9999	-9999
1	9	1.84	-2.45	-1.14	-4.35	0.76	3.38	0	-9999	0	-9999	-9999
1	10	1.31	-1.4	-1	-2.03	0.56	3.48	0	-9999	0	-9999	-9999
1	11	1.17	-1.2	-0.02	-2.33	0.44	3.63	0	-9999	0	-9999	-9999
1	12	1.44	-1.36	-0.75	-2.03	0.55	3.78	0.59	-9999	0	-9999	-9999
1	13	1.46	-1.73	0.4	-3.37	0.55	3.87	0	-9999	0	-9999	-9999
1	14	5.12	1.38	4.74	-1.03	0.5	3.92	0	-9999	0	-9999	-9999
1	15	0.93	0.01	1.6	-2.27	0.13	3.94	0	-9999	0	-9999	-9999
1	16	1.59	1.59	3.01	0.46	0.56	3.46	10.88	-9999	0	-9999	-9999
1	17	3.85	5.09	6.85	2.83	0.52	4.17	1.76	-9999	0	-9999	-9999
1	18	1.08	4.18	5.18	2.1	0.16	5.08	0	-9999	0	-9999	-9999
1	19	1.34	4.26	4.98	3.6	0.08	5.59	1.62	-9999	0	-9999	-9999
1	20	4.5	2.24	3.84	0.39	0.69	5.24	0	-9999	0	-9999	-9999
1	21	1.31	2.56	3.2	1.67	0.57	5.3	0.15	-9999	0	-9999	-9999
1	22	5.59	3.28	6.54	0.97	1.15	5.28	0	-9999	0	-9999	-9999
1	23	1.74	2.31	3.74	0.06	0.78	5.31	5.73	-9999	0	-9999	-9999
1	24	1.13	1.09	1.61	0.17	0.01	5.05	0.74	-9999	0	-9999	-9999
1	25	0.69	-0.79	1.34	-2.65	0.26	4.92	0	-9999	0	-9999	-9999
1	26	5.82	-5.06	-2.58	-7.1	0.78	4.2	0	-9999	0	-9999	-9999
1	27	2.47	-3.05	3.32	-8.22	1.01	3.54	3.09	-9999	0	-9999	-9999
1	28	2.68	2.51	3.56	1.74	0.52	3.42	0.59	-9999	0	-9999	-9999
1	29	0.91	1.79	3.24	0.18	0.14	4.05	9.26	-9999	0	-9999	-9999
1	30	6.8	0.26	1.38	-1.31	0.84	4.08	2.06	-9999	0	-9999	-9999
1	31	4.19	1.04	2.76	-0.64	0.96	4.02	0	-9999	0	-9999	-9999
2	1	2.36	0.53	2.8	-0.23	0.21	4	3.09	-9999	0	-9999	-9999
2	2	0.71	2.54	6.91	-0.22	0.15	4.06	10.58	-9999	0	-9999	-9999
2	3	5.32	2.5	4.29	0.79	0.65	4.55	0.29	-9999	0	-9999	-9999
2	4	2.52	6.43	7.98	3.37	1.16	5.21	0	-9999	0	-9999	-9999
2	5	1.6	4.74	6.74	3.16	0.41	5.34	2.5	-9999	0	-9999	-9999
2	6	2.92	2.49	3.68	1.54	0.02	5.06	0.15	-9999	0	-9999	-9999
2	7	1.43	1.26	2.04	0.67	0.11	5.11	0	-9999	0	-9999	-9999
2	8	1.93	-1.15	1.3	-4.09	0.37	4.85	0.15	-9999	0	-9999	-9999
2	9	3.71	-3.76	-2.16	-5.31	0.98	4.12	0	-9999	0	-9999	-9999
2	10	5.32	-3.56	-2.49	-5.56	0.64	3.73	1.03	-9999	0	-9999	-9999
2	11	4.18	-3.09	-1.35	-5.2	0.87	3.67	0	-9999	0	-9999	-9999
2	12	7.05	-3.83	0.37	-7.68	0.89	3.61	0	-9999	0	-9999	-9999
2	13	1.78	-2.75	-1.73	-4.05	1.03	3.56	0	-9999	0	-9999	-9999
2	14	2.25	-2.97	-0.45	-4.36	0.42	3.49	0.74	-9999	0	-9999	-9999
2	15	4.37	-3.68	-2.71	-4.94	0.67	3.45	0	-9999	0	-9999	-9999
2	16	6.99	-0.51	3.07	-2.68	1.61	3.44	0.29	-9999	0	-9999	-9999
2	17	4.59	-0.8	2.93	-4.92	1.02	3.42	0	-9999	0	-9999	-9999
2	18	4.72	3.5	6.21	0.76	1	3.42	0	-9999	0	-9999	-9999
2	19	1.09	3.53	6.16	1.18	1.4	4.15	0.29	-9999	0	-9999	-9999
2	20	3.84	1.41	3.73	-0.35	0.96	4.01	0.15	-9999	0	-9999	-9999
2	21	4.46	2.44	5.54	-1.02	1.21	4.04	0.15	-9999	0	-9999	-9999
2	22	2.76	5.53	9.59	1.9	0.51	4.74	11.02	-9999	0	-9999	-9999
2	23	2.35	2.13	3.91	1.43	0.07	5.32	1.47	-9999	0	-9999	-9999
2	24	4.68	6.85	9.68	2.51	0.95	5.42	1.47	-9999	0	-9999	-9999
2	25	4.14	8.39	10.37	6.82	1.26	6.38	6.61	-9999	0	-9999	-9999
2	26	2.16	7.49	9.25	5.87	1.87	6.56	1.18	-9999	0	-9999	-9999
