Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Litterfall
1	1	4.95998	13.3593	17.11	6.876	2.89872	9.23917	0	10.4042	-9999	-9999	-9999
1	2	5.30549	12.7517	16.17	2.17	5.03437	10.4852	1.194	10.2167	-9999	-9999	-9999
1	3	8.38941	7.46867	13.86	2.152	5.55521	9.23271	1.194	9.97292	-9999	-9999	-9999
1	4	3.85385	7.55294	13.97	1.113	3.17516	8.09188	2.587	9.76042	-9999	-9999	-9999
1	5	7.71877	10.7961	16.12	6.08	1.91171	9.19583	0.796	9.65625	-9999	-9999	-9999
1	6	7.59934	9.44935	17.08	4.869	1.66572	8.82208	0.398	9.52083	-9999	-9999	-9999
1	7	3.18795	11.7483	15.23	7.6	1.64354	8.9625	0.597	9.4	-9999	-9999	-9999
1	8	2.35786	11.9771	14.18	7.79	0.719215	9.95125	4.378	9.33333	-9999	-9999	-9999
1	9	8.01552	10.8151	17.87	6.846	1.59203	9.78896	0.398	9.27708	-9999	-9999	-9999
1	10	8.25648	10.4427	17.77	5.465	1.53236	9.39208	0.398	9.2	-9999	-9999	-9999
1	11	1.84014	13.1275	15.87	8.1	1.38363	9.68792	0	9.16042	-9999	-9999	-9999
1	12	8.1067	13.4435	17.86	7.33	3.26467	10.5808	0	9.06042	-9999	-9999	-9999
1	13	6.77568	11.0272	17.6	6.317	1.37537	9.96521	0.398	8.95833	-9999	-9999	-9999
1	14	2.59959	12.5608	16.08	8.3	1.19593	10.0285	0	8.9	-9999	-9999	-9999
1	15	1.52425	12.195	15.46	8.36	1.324	10.63	0	8.86458	-9999	-9999	-9999
1	16	2.16627	10.7571	14.66	6.214	1.64467	9.97667	0.796	8.8	-9999	-9999	-9999
1	17	2.57063	13.7575	16.17	9.62	1.27328	10.7825	3.781	8.8	-9999	-9999	-9999
1	18	5.50191	12.0597	16.16	6.717	1.56165	10.4971	0.597	8.77917	-9999	-9999	-9999
1	19	8.37338	14.9442	19.6	9.29	2.65954	11.2977	0	8.6625	-9999	-9999	-9999
1	20	7.55157	13.7198	18.41	9.38	1.45643	11.0319	0.199	8.56042	-9999	-9999	-9999
1	21	5.54264	13.549	19.24	10.78	1.47634	11.3413	0.199	8.4625	-9999	-9999	-9999
1	22	8.45528	14.3621	18.32	11.78	2.38831	11.5756	0.199	8.32708	-9999	-9999	-9999
1	23	3.68605	14.33	17.25	8.36	2.85434	11.956	6.169	8.15625	-9999	-9999	-9999
1	24	6.14556	10.0626	12.67	5.727	3.87	10.9448	9.154	7.99792	-9999	-9999	-9999
1	25	5.50086	8.82054	12.13	3.624	3.68872	9.84313	2.985	7.77708	-9999	-9999	-9999
1	26	6.76099	7.19525	13.01	3.097	1.60292	9.31812	2.189	7.65	-9999	-9999	-9999
1	27	10.4757	6.17469	11.71	2.627	1.9089	8.62458	0.199	7.55417	-9999	-9999	-9999
1	28	10.2899	7.72544	15.27	0.819	3.34672	7.97604	0	7.44792	-9999	-9999	-9999
1	29	3.0798	8.25623	13.2	4.519	1.90854	8.13062	0	7.35625	-9999	-9999	-9999
1	30	8.35243	9.12183	16.7	4.642	2.9502	8.36187	0	7.26667	-9999	-9999	-9999
1	31	11.13	10.0867	17.28	3.868	3.63456	8.26708	0	7.16042	-9999	-9999	-9999
2	1	4.43912	11.537	16.22	6.077	1.79086	9.16208	0	7.1	-9999	-9999	-9999
2	2	10.1634	9.86731	17.33	5.372	2.54127	9.18396	0.199	7.05208	-9999	-9999	-9999
2	3	11.1155	8.51627	15.41	2.907	3.06192	8.53271	0.199	6.94792	-9999	-9999	-9999
2	4	11.9272	8.7865	15.24	2.827	6.12441	8.06229	0	6.7875	-9999	-9999	-9999
2	5	12.0754	7.50373	15.79	2.422	5.57142	7.66896	0	6.64583	-9999	-9999	-9999
2	6	4.26044	9.53479	14.63	3.067	2.72071	7.56271	8.955	6.52917	-9999	-9999	-9999
2	7	8.59432	11.7083	16.41	8.3	2.15297	8.66354	0.796	6.45833	-9999	-9999	-9999
2	8	10.3128	12.466	17.06	9.3	2.67606	9.47437	2.189	6.4	-9999	-9999	-9999
2	9	1.80712	12.2542	14.75	10.24	1.47869	9.99917	15.522	6.4	-9999	-9999	-9999
2	10	1.0435	10.7528	11.6	6.086	0.266235	9.98208	15.522	7.83958	-9999	-9999	-9999
2	11	10.7646	10.7467	16.6	6.483	1.90883	9.78792	0.398	12.275	-9999	-9999	-9999
2	12	2.59404	10.6412	14.91	4.291	0.752991	9.26729	2.786	12.3208	-9999	-9999	-9999
2	13	11.7191	13.1562	17.14	5.401	4.98117	10.0363	1.791	12.2021	-9999	-9999	-9999
2	14	11.053	9.97217	17.13	4.075	2.85472	9.47354	0	11.9542	-9999	-9999	-9999
2	15	4.81453	12.0515	14.93	8.25	2.10465	9.86438	9.353	11.9104	-9999	-9999	-9999
2	16	13.612	11.368	18.06	5.814	4.95436	9.65833	0	12.3396	-9999	-9999	-9999
2	17	7.98003	10.591	15.26	7.86	4.25745	9.55458	0	12.1937	-9999	-9999	-9999
2	18	2.53124	9.24365	12.67	5.737	1.56803	9.26812	16.716	12.175	-9999	-9999	-9999
2	19	6.82977	11.6133	14.81	9.25	2.18564	9.58375	3.98	13.225	-9999	-9999	-9999
2	20	5.62154	12.494	15.91	8.66	2.60326	9.7925	1.791	13.2937	-9999	-9999	-9999
2	21	6.18784	12.36	17.62	6.821	1.61054	10.2369	6.965	13.1208	-9999	-9999	-9999
2	22	11.2378	10.8708	16.68	6.392	1.82186	10.004	0.199	13.2979	-9999	-9999	-9999
2	23	11.0396	10.8105	16.67	5.38	1.84932	9.42521	0.398	12.9812	-9999	-9999	-9999
2	24	7.22619	11.3369	15.3	7.43	1.31875	9.77354	0	12.6792	-9999	-9999	-9999
2	25	7.9514	12.8023	16.78	7.53	1.7816	9.82583	2.388	12.4063	-9999	-9999	-9999
2	26	12.9901	13.0683	17.3	7.08	3.68117	10.6006	0.796	12.1146	-9999	-9999	-9999
2	27	15.6034	11.8299	18.26	4.986	4.63344	10.0108	0	11.7625	-9999	-9999	-9999
2	28	1.94044	11.606	15.19	5.662	1.45997	9.80021	0	11.5479	-9999	-9999	-9999
3	1	9.10946	14.6337	17.43	10.93	2.8103	10.7452	0	11.325	-9999	-9999	-9999
3	2	7.95324	14.8852	17.86	11.12	3.13665	11.3394	0	11.1021	-9999	-9999	-9999
3	3	9.32384	14.4756	18.57	11.26	2.00088	11.4531	0	10.8979	-9999	-9999	-9999
3	4	15.9906	14.3604	19.67	10.07	2.24784	11.764	0.398	10.6958	-9999	-9999	-9999
3	5	11.8316	13.5681	17.95	9.82	1.51425	11.495	0.199	10.4646	-9999	-9999	-9999
3	6	13.3617	14.9369	18.85	10.62	2.24784	11.649	0.199	10.3	-9999	-9999	-9999
3	7	6.78391	13.8408	15.86	10.72	2.1354	12.1248	10.547	10.0875	-9999	-9999	-9999
3	8	7.16041	13.1258	17.38	9.98	2.5962	11.6958	0.199	9.91042	-9999	-9999	-9999
3	9	16.7275	14.1846	20.13	8.79	5.9854	11.4877	0	9.6125	-9999	-9999	-9999
3	10	8.04445	12.5706	17.83	7.64	6.39277	11.1735	0	9.2625	-9999	-9999	-9999
3	11	11.4392	13.9931	19.78	9.81	7.56428	11.3208	0	8.87292	-9999	-9999	-9999
3	12	16.1405	13.4023	20.14	6.612	6.27042	11.3354	0	8.48958	-9999	-9999	-9999
3	13	16.6012	12.0392	18.24	6.753	3.6725	11.2908	0	8.15417	-9999	-9999	-9999
3	14	17.4471	12.5966	19.33	6.116	4.54659	10.9017	0.199	7.86875	-9999	-9999	-9999
3	15	17.6015	13.2354	19.26	8.25	4.62201	11.0498	0	7.60417	-9999	-9999	-9999
3	16	16.2878	12.6412	18.42	6.789	2.35787	11.049	0.199	7.39792	-9999	-9999	-9999
3	17	16.8897	13.3556	17.67	8.23	2.07629	11.3504	0.199	7.24792	-9999	-9999	-9999
3	18	17.4472	13.2815	17.61	7.3	3.29583	11.1006	0.398	7.09583	-9999	-9999	-9999
3	19	4.0268	13.6608	15.96	4.517	3.29478	11.7527	14.328	6.93958	-9999	-9999	-9999
3	20	13.2698	9.2359	12.99	3.597	4.36215	10.7571	14.129	6.77292	-9999	-9999	-9999
3	21	10.9714	7.73354	13.62	4.474	1.97568	9.075	4.378	6.85417	-9999	-9999	-9999
3	22	7.23932	8.80371	13.51	5.779	4.04494	9.14625	0	7.58333	-9999	-9999	-9999
3	23	18.9783	9.46496	15.02	2.428	5.20489	8.95813	1.393	8.18333	-9999	-9999	-9999
3	24	4.45113	10.2746	12.97	7.21	2.9614	9.43271	4.975	8.40417	-9999	-9999	-9999
3	25	17.28	10.233	15.12	6.129	2.92469	9.46187	15.121	10.4875	-9999	-9999	-9999
3	26	16.8828	10.7894	15.75	5.126	3.81799	9.54646	0	12.0271	-9999	-9999	-9999
3	27	19.4929	10.1198	16.56	4.643	3.69927	9.57479	0	11.8583	-9999	-9999	-9999
3	28	18.5902	11.2036	16.86	4.101	3.74112	9.465	0	11.5979	-9999	-9999	-9999
3	29	9.92991	14.105	19.54	9.91	4.98789	10.4087	0	11.3208	-9999	-9999	-9999
3	30	9.57091	12.8265	17.35	8.56	2.91298	10.8594	0.597	11.0375	-9999	-9999	-9999
3	31	20.4822	11.6632	16.91	6.101	3.30874	10.771	0.199	10.7604	-9999	-9999	-9999
4	1	19.9129	12.9594	18.27	7.9	3.05279	10.691	0	10.45	-9999	-9999	-9999
4	2	19.3431	13.93	21.6	7.86	4.67031	10.8302	0.398	10.1125	-9999	-9999	-9999
4	3	10.8878	13.5348	17.97	8.76	3.38056	11.1146	3.582	9.78958	-9999	-9999	-9999
4	4	8.14235	12.7352	18.19	10.27	1.70462	11.4358	13.532	9.55	-9999	-9999	-9999
4	5	15.34	13.6542	21.54	8.08	3.48028	11.3633	0.199	9.42292	-9999	-9999	-9999
4	6	21.8566	13.4448	19.07	7.84	3.91521	11.4396	0	9.40625	-9999	-9999	-9999
4	7	21.0535	13.6308	18.26	8.56	2.73499	11.5269	0	9.34792	-9999	-9999	-9999
4	8	21.748	13.6829	19.94	7.64	3.77456	11.5298	0.199	9.20417	-9999	-9999	-9999
4	9	23.0152	13.8594	19.83	7.76	4.95799	11.6227	0	8.95208	-9999	-9999	-9999
4	10	18.9992	13.1958	18.99	5.438	2.42131	11.4971	0.199	8.70833	-9999	-9999	-9999
4	11	21.8395	14.3638	19.9	8.77	3.97316	11.7596	0.199	8.5375	-9999	-9999	-9999
4	12	22.3344	16.3463	23.05	9.16	7.04199	11.9673	0	8.2625	-9999	-9999	-9999
4	13	15.7348	17.8085	24.08	12.8	8.80678	12.6229	0	8.03333	-9999	-9999	-9999
