Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1901	1	1	4.9494	8.2208	11.983	2.6095	93.045	-9999	6.5835	-9999	-9999	-9999	5.3713
1901	1	2	6.4707	-1.4117	2.2712	-5.1703	74.434	-9999	0.17551	-9999	-9999	-9999	11.38
1901	1	3	4.9449	-4.4654	-1.1474	-6.3425	80.13	-9999	0	-9999	-9999	-9999	6.604
1901	1	4	6.9456	-5.1123	-1.4986	-6.9775	88.653	-9999	0.030699	-9999	-9999	-9999	5.285
1901	1	5	7.063	-4.0033	-0.73441	-7.9931	89.862	-9999	0.024658	-9999	-9999	-9999	6.2902
1901	1	6	3.4343	0.86294	4.4509	-1.1252	87.971	-9999	0.17155	-9999	-9999	-9999	5.8176
1901	1	7	5.9637	1.4563	6.8551	-2.0786	90.065	-9999	0.060898	-9999	-9999	-9999	3.4103
1901	1	8	0.55781	4.2038	6.8737	1.1695	92.788	-9999	1.115	-9999	-9999	-9999	5.3237
1901	1	9	1.5293	7.1069	10.445	4.0456	90.05	-9999	0.77379	-9999	-9999	-9999	4.5966
1901	1	10	0.11539	7.2895	9.7274	5.3208	75.439	-9999	1.381	-9999	-9999	-9999	4.0496
1901	1	11	3.4985	6.0973	9.1792	3.7663	83.537	-9999	0.26284	-9999	-9999	-9999	4.2465
1901	1	12	7.0417	4.7914	10.068	2.0318	83.172	-9999	0	-9999	-9999	-9999	4.374
1901	1	13	7.3458	3.1734	7.1298	1.119	78.787	-9999	0.0054221	-9999	-9999	-9999	6.2367
1901	1	14	7.9435	1.295	4.0489	-0.081366	75.708	-9999	0.013875	-9999	-9999	-9999	9.6763
1901	1	15	8.0716	-0.31113	4.047	-3.4678	74.04	-9999	0.0017995	-9999	-9999	-9999	6.7718
1901	1	16	8.4024	-1.8352	3.3129	-4.9287	77.101	-9999	0	-9999	-9999	-9999	4.3889
1901	1	17	8.0502	-0.95685	5.6196	-7.3554	76.587	-9999	0	-9999	-9999	-9999	2.3101
1901	1	18	8.5305	2.5126	10.469	-1.2196	69.639	-9999	0	-9999	-9999	-9999	4.7677
1901	1	19	8.3224	2.7106	10.355	-3.0288	77.388	-9999	0	-9999	-9999	-9999	2.1863
1901	1	20	7.9809	4.6535	10.379	0.31863	90.66	-9999	0.13357	-9999	-9999	-9999	3.6837
1901	1	21	6.306	7.7306	13.688	3.2507	89.879	-9999	0.30309	-9999	-9999	-9999	5.3665
1901	1	22	8.7012	6.3012	12.324	2.9862	62.19	-9999	0	-9999	-9999	-9999	5.635
1901	1	23	8.6852	5.891	15.948	-0.41535	69.015	-9999	0	-9999	-9999	-9999	1.413
1901	1	24	8.76	6.3838	15.004	1.7402	72.676	-9999	0	-9999	-9999	-9999	2.0654
1901	1	25	5.937	5.8535	13.751	0.74105	74.064	-9999	0	-9999	-9999	-9999	1.8628
1901	1	26	4.5536	6.1731	11.611	1.6749	84.298	-9999	0.27112	-9999	-9999	-9999	3.0032
1901	1	27	9.8966	4.004	10.086	0.17312	67.358	-9999	0.18996	-9999	-9999	-9999	5.6059
1901	1	28	9.5337	7.5082	14.032	2.4638	83.739	-9999	0	-9999	-9999	-9999	5.4835
1901	1	29	7.0897	8.9368	12.808	6.2488	87.57	-9999	3.8072	-9999	-9999	-9999	7.715
1901	1	30	9.6993	6.848	9.9991	2.5846	78.094	-9999	3.7512	-9999	-9999	-9999	7.0751
1901	1	31	2.933	6.5918	11.149	2.4722	92.741	-9999	11.68	-9999	-9999	-9999	4.9665
1901	2	1	4.9514	7.9934	12.68	0.67388	88.727	-9999	0.96873	-9999	-9999	-9999	6.7852
1901	2	2	3.2783	9.2059	11.739	3.6009	91.456	-9999	11.057	-9999	-9999	-9999	8.763
1901	2	3	6.9076	4.8676	9.7695	1.538	84.868	-9999	0.28115	-9999	-9999	-9999	4.5755
1901	2	4	4.2903	4.8347	10.324	0.7824	88.462	-9999	4.0638	-9999	-9999	-9999	2.7595
1901	2	5	4.2445	9.1138	11.992	6.0984	97.446	-9999	23.413	-9999	-9999	-9999	7.2405
1901	2	6	8.496	7.8593	11.013	2.5402	89.948	-9999	23.379	-9999	-9999	-9999	6.0806
1901	2	7	1.5824	6.5297	10.613	2.0015	90.14	-9999	31.503	-9999	-9999	-9999	2.6636
1901	2	8	6.6642	5.9714	11.383	1.368	87.845	-9999	6.9928	-9999	-9999	-9999	2.7394
1901	2	9	7.6709	4.3235	7.5535	2.0398	89.318	-9999	7.6503	-9999	-9999	-9999	2.8254
1901	2	10	8.4168	2.4673	7.8839	-1.5394	89.033	-9999	1.8817	-9999	-9999	-9999	3.4163
1901	2	11	10.05	1.3005	6.7786	-1.9671	87.785	-9999	0.88434	-9999	-9999	-9999	3.3419
1901	2	12	11.136	0.09295	5.5268	-3.6718	83.052	-9999	0.031494	-9999	-9999	-9999	3.1845
1901	2	13	11.017	-0.5109	3.5723	-2.4794	85.164	-9999	0.040487	-9999	-9999	-9999	7.2646
1901	2	14	11.99	-1.3491	2.6303	-4.2908	75.905	-9999	0.027039	-9999	-9999	-9999	8.1497
1901	2	15	11.837	-1.8037	3.6098	-6.3683	79.36	-9999	0.83341	-9999	-9999	-9999	4.248
1901	2	16	5.5792	-1.5774	-0.624	-2.3668	95.267	-9999	13.041	-9999	-9999	-9999	12.198
1901	2	17	8.1061	-3.3296	-0.059576	-7.8102	97.347	-9999	3.1399	-9999	-9999	-9999	5.9401
1901	2	18	12.448	-2.4815	4.9417	-11.106	97.897	-9999	2.6126	-9999	-9999	-9999	2.8789
1901	2	19	8.6199	2.0484	6.6106	-0.80125	93.138	-9999	4.08	-9999	-9999	-9999	2.8455
1901	2	20	12.934	3.1123	9.1299	-0.13346	87.402	-9999	0.24855	-9999	-9999	-9999	3.5672
1901	2	21	8.9994	1.7961	6.4339	-0.30756	85.704	-9999	0.15092	-9999	-9999	-9999	4.9146
1901	2	22	12.312	2.0849	7.2424	-0.29877	82.788	-9999	0.0017402	-9999	-9999	-9999	7.1192
1901	2	23	5.19	3.6153	8.6174	0.66793	86.823	-9999	1.2347	-9999	-9999	-9999	6.4389
1901	2	24	9.102	4.8562	9.7716	2.3035	90.527	-9999	1.0067	-9999	-9999	-9999	6.9409
1901	2	25	13.872	6.1018	12.451	2.273	81.264	-9999	0.13208	-9999	-9999	-9999	7.175
1901	2	26	14.698	6.1566	15.022	0.48962	76.479	-9999	0	-9999	-9999	-9999	2.9499
1901	2	27	10.135	6.7422	13.968	2.2346	69.482	-9999	0	-9999	-9999	-9999	4.1849
1901	2	28	14.85	7.9781	17.781	0.88455	84.479	-9999	0.11833	-9999	-9999	-9999	2.2062
1901	3	1	2.8613	9.4463	14.335	4.8481	93.887	-9999	5.8631	-9999	-9999	-9999	3.2129
1901	3	2	9.4825	11.572	16.172	8.9336	91.978	-9999	2.2074	-9999	-9999	-9999	5.1174
1901	3	3	9.6355	13.31	16.945	11.133	93.566	-9999	6.2877	-9999	-9999	-9999	7.2751
1901	3	4	11.44	9.8491	12.373	6.761	83.257	-9999	2.0188	-9999	-9999	-9999	9.4943
1901	3	5	13.535	6.835	13.907	1.5852	71.255	-9999	0	-9999	-9999	-9999	2.757
1901	3	6	11.145	7.9217	16.113	1.7534	72.898	-9999	0.0050632	-9999	-9999	-9999	3.0757
1901	3	7	8.1717	10.318	14.151	5.2579	94.593	-9999	19.828	-9999	-9999	-9999	6.9786
1901	3	8	11.471	8.1746	12.325	4.6889	88.185	-9999	7.4632	-9999	-9999	-9999	6.1634
1901	3	9	11.241	8.5626	11.729	5.6505	86.098	-9999	10.473	-9999	-9999	-9999	5.6573
1901	3	10	7.6335	12.262	17.212	8.2822	82.206	-9999	4.6193	-9999	-9999	-9999	6.9537
1901	3	11	14.388	12.122	16.471	9.1862	81.522	-9999	0.69846	-9999	-9999	-9999	6.4866
1901	3	12	15.199	9.0065	14.27	5.4142	79.768	-9999	0.041218	-9999	-9999	-9999	4.0841
1901	3	13	15.446	8.4723	16.37	4.1962	79.586	-9999	0.26802	-9999	-9999	-9999	2.3566
1901	3	14	13.067	7.4694	13.582	2.5703	85.915	-9999	1.5134	-9999	-9999	-9999	3.3557
1901	3	15	10.993	9.856	15.573	5.5881	82.444	-9999	0.012374	-9999	-9999	-9999	4.1048
1901	3	16	11.835	11.976	16.653	9.1244	85.66	-9999	2.2928	-9999	-9999	-9999	4.1639
1901	3	17	10.146	11.074	17.243	5.6738	89.328	-9999	6.1167	-9999	-9999	-9999	3.5146
1901	3	18	10.992	13.129	17.346	9.6794	86.721	-9999	4.9435	-9999	-9999	-9999	5.3003
1901	3	19	11.239	15.029	20.122	11.678	77.195	-9999	0	-9999	-9999	-9999	6.0279
1901	3	20	6.2657	13.745	19.037	10.499	84.56	-9999	19.224	-9999	-9999	-9999	4.0734
1901	3	21	14.489	12.408	16.184	10.324	89.862	-9999	5.579	-9999	-9999	-9999	6.5342
1901	3	22	15.972	12.011	17.166	8.9616	83.106	-9999	1.4124	-9999	-9999	-9999	4.4813
1901	3	23	15.099	8.6398	12.369	4.5035	83.052	-9999	1.7729	-9999	-9999	-9999	6.3302
1901	3	24	12.352	5.1192	9.4733	2.5444	82.048	-9999	3.0543	-9999	-9999	-9999	5.6442
1901	3	25	19.262	6.3187	13.289	1.9506	75.976	-9999	0.84836	-9999	-9999	-9999	2.8101
1901	3	26	14.933	7.9255	14.447	1.5061	82.706	-9999	0.21559	-9999	-9999	-9999	3.4156
1901	3	27	18.636	8.8183	12.907	3.9368	77.849	-9999	4.0564	-9999	-9999	-9999	6.123
1901	3	28	19.152	6.381	11.958	2.7878	73.928	-9999	0.31717	-9999	-9999	-9999	4.6777
1901	3	29	18.504	6.1997	12.193	0.65173	76.353	-9999	1.916	-9999	-9999	-9999	4.7369
1901	3	30	21.241	6.6291	14.242	0.28784	68.854	-9999	0	-9999	-9999	-9999	3.5822
1901	3	31	15.546	10.119	14.972	5.9699	74.767	-9999	0	-9999	-9999	-9999	5.2003
1901	4	1	12.503	10.273	15.726	6.0355	62.415	-9999	0	-9999	-9999	-9999	3.8973
1901	4	2	8.831	12.387	18.34	8.4716	59.148	-9999	0	-9999	-9999	-9999	1.93
1901	4	3	16.592	12.436	19.07	7.299	68.177	-9999	0	-9999	-9999	-9999	2.5999
1901	4	4	18.246	12.896	20.667	4.8972	70.787	-9999	0	-9999	-9999	-9999	2.7807
1901	4	5	13.297	14.841	22.389	9.4513	66.307	-9999	0	-9999	-9999	-9999	3.7077
1901	4	6	18.022	15.053	22.03	10.724	77.222	-9999	0	-9999	-9999	-9999	3.7935
1901	4	7	16.602	15.228	22.678	7.5763	72.17	-9999	0	-9999	-9999	-9999	3.1256
1901	4	8	18.586	17.558	24.656	11.955	68.705	-9999	0	-9999	-9999	-9999	2.551
1901	4	9	14.059	16.352	23.228	10.391	68.861	-9999	0	-9999	-9999	-9999	2.9233
1901	4	10	18.838	14.352	20.061	9.7884	64.166	-9999	0	-9999	-9999	-9999	5.0216
1901	4	11	18.005	16.158	22.165	11.777	64.622	-9999	0	-9999	-9999	-9999	4.8568
1901	4	12	15.994	15.504	20.069	11.84	65.973	-9999	0	-9999	-9999	-9999	5.7666
1901	4	13	13.807	12.619	16.094	7.8202	71.914	-9999	0.27982	-9999	-9999	-9999	6.2715
1901	4	14	17.868	9.6097	15.958	5.3359	72.548	-9999	1.1637	-9999	-9999	-9999	2.7611
1901	4	15	20.838	9.3988	15.581	2.4132	75.363	-9999	0.50732	-9999	-9999	-9999	3.8646
1901	4	16	14.524	11.929	16.115	8.1117	89.824	-9999	4.052	-9999	-9999	-9999	5.4668
1901	4	17	21.08	11.529	16.304	7.1682	84.362	-9999	0.62749	-9999	-9999	-9999	4.997
1901	4	18	15.502	9.4503	13.181	6.9139	77.944	-9999	4.578	-9999	-9999	-9999	6.4553
1901	4	19	16.959	9.1548	13.377	6.1312	65.601	-9999	0.37224	-9999	-9999	-9999	6.3608
1901	4	20	23.102	10.28	17.029	5.5503	61.277	-9999	0	-9999	-9999	-9999	3.9961
1901	4	21	21.902	12.64	21.594	7.09	71.05	-9999	0.011774	-9999	-9999	-9999	2.6045
1901	4	22	22.872	13.125	20.708	6.3696	65.081	-9999	0	-9999	-9999	-9999	2.9642
1901	4	23	19.22	13.448	19.852	8.3276	62.102	-9999	0.00028979	-9999	-9999	-9999	3.9225
1901	4	24	19.781	13.805	20.261	8.7455	58.845	-9999	0	-9999	-9999	-9999	4.0496
1901	4	25	17.415	13.563	19.75	6.8425	52.522	-9999	0.026529	-9999	-9999	-9999	3.0869
1901	4	26	19.48	12.513	19.694	4.9976	65.668	-9999	0.12519	-9999	-9999	-9999	3.5459
1901	4	27	21.393	13.282	17.906	7.4965	81.14	-9999	1.045	-9999	-9999	-9999	6.0464
1901	4	28	10.428	13.96	17.407	11.879	85.414	-9999	4.4993	-9999	-9999	-9999	5.2476
1901	4	29	9.7758	13.274	15.681	11.512	92.667	-9999	10.689	-9999	-9999	-9999	3.3984
1901	4	30	16.02	13.382	17.881	8.5374	82.745	-9999	6.0189	-9999	-9999	-9999	3.3956
1901	5	1	19.782	13.725	21.158	7.2586	73.673	-9999	1.9335	-9999	-9999	-9999	2.8249
1901	5	2	17.478	15.569	23.072	10.879	79.242	-9999	2.9118	-9999	-9999	-9999	2.3599
