Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1997	1	1	4.6457	9.7685	16.028	5.8753	91.294	-9999	0	-9999	-9999	-9999	1.725
1997	1	2	3.4951	8.921	13.469	5.823	95.317	-9999	0	-9999	-9999	-9999	1.5055
1997	1	3	3.4756	8.6658	12.992	5.8134	92.459	-9999	0	-9999	-9999	-9999	1.7852
1997	1	4	6.064	7.2754	12.372	1.7822	74.991	-9999	0	-9999	-9999	-9999	2.2108
1997	1	5	5.8811	6.9784	13.577	1.0637	77.388	-9999	0	-9999	-9999	-9999	0.77918
1997	1	6	4.0788	9.2312	13.775	5.2812	92.062	-9999	0	-9999	-9999	-9999	2.1352
1997	1	7	3.179	8.9568	11.29	7.6766	91.818	-9999	0	-9999	-9999	-9999	1.7956
1997	1	8	2.5781	8.7119	11.683	4.3114	85.234	-9999	3.3384	-9999	-9999	-9999	2.3573
1997	1	9	6.2943	6.4914	9.8094	3.1093	72.896	-9999	0	-9999	-9999	-9999	2.2791
1997	1	10	0.93362	7.5457	9.3546	4.8798	86.836	-9999	24.646	-9999	-9999	-9999	0.74499
1997	1	11	1.5893	5.3375	9.1254	2.6963	83.443	-9999	9.0999	-9999	-9999	-9999	1.9715
1997	1	12	3.3102	3.485	6.4442	-0.049506	82.536	-9999	4.0746	-9999	-9999	-9999	3.5937
1997	1	13	4.4429	1.3796	4.2342	-0.62903	83.012	-9999	0	-9999	-9999	-9999	3.3505
1997	1	14	4.8135	1.4034	5.1259	-1.277	78.91	-9999	0	-9999	-9999	-9999	1.8413
1997	1	15	4.4423	4.3991	12.882	-3.4868	80.796	-9999	0	-9999	-9999	-9999	2.0794
1997	1	16	4.3745	8.7005	12.167	5.33	82.346	-9999	0	-9999	-9999	-9999	3.0347
1997	1	17	4.7611	9.0309	13.046	4.8804	73.794	-9999	0	-9999	-9999	-9999	3.6959
1997	1	18	4.5379	5.6201	10.525	-0.154	60.991	-9999	0	-9999	-9999	-9999	2.1764
1997	1	19	7.0237	2.5052	7.2735	-1.3701	65.179	-9999	0	-9999	-9999	-9999	1.9023
1997	1	20	6.1026	2.061	6.9504	-1.159	67.779	-9999	0	-9999	-9999	-9999	1.4068
1997	1	21	5.0535	2.2136	6.3799	-1.2941	67.35	-9999	0	-9999	-9999	-9999	0.58239
1997	1	22	3.6587	2.9518	6.2287	-0.69074	76.147	-9999	0	-9999	-9999	-9999	2.5075
1997	1	23	5.3842	0.2955	4.3621	-3.3445	79.116	-9999	0	-9999	-9999	-9999	3.3357
1997	1	24	6.2537	-0.392	4.1004	-3.9965	72.973	-9999	0	-9999	-9999	-9999	0.6394
1997	1	25	3.0745	3.1725	6.8953	-2.9812	78.519	-9999	4.6097	-9999	-9999	-9999	1.6589
1997	1	26	3.9476	3.9157	6.8096	0.16982	80.446	-9999	3.6448	-9999	-9999	-9999	1.7432
1997	1	27	3.0529	3.2322	5.9031	0.63696	81.801	-9999	4.418	-9999	-9999	-9999	1.6695
1997	1	28	3.4594	3.4987	5.2402	0.84817	84.235	-9999	6.7534	-9999	-9999	-9999	3.5591
1997	1	29	4.2602	1.1065	4.1372	-1.261	88.906	-9999	0	-9999	-9999	-9999	4.4697
1997	1	30	3.1102	1.0259	2.9339	-1.0847	91.238	-9999	4.4889	-9999	-9999	-9999	4.3598
1997	1	31	2.2789	1.978	3.2883	0.89343	89.691	-9999	5.5857	-9999	-9999	-9999	3.9661
1997	2	1	2.7772	2.4521	3.9796	1.3743	88.811	-9999	3.8812	-9999	-9999	-9999	3.5335
1997	2	2	6.6522	2.1521	6.1413	-0.97269	84.069	-9999	0	-9999	-9999	-9999	2.1079
1997	2	3	6.6719	2.6719	8.2846	-1.2253	79.94	-9999	0	-9999	-9999	-9999	0.40841
1997	2	4	5.1971	3.9546	8.5719	-2.0426	81.714	-9999	3.2917	-9999	-9999	-9999	0.99515
1997	2	5	1.1983	6.684	8.7017	3.3815	87.281	-9999	35.804	-9999	-9999	-9999	3.5421
1997	2	6	3.3937	3.3043	8.7047	-0.67716	85.869	-9999	7.1354	-9999	-9999	-9999	4.9419
