year,leFMDS_Wm2,hFMDS_Wm2
1996,15908.1116430133,21057.6407491125
1997,7059.7512554536,15529.8793407854
1998,8491.53685803423,17547.0898473856
1999,12656.9628431594,10512.4534263235
2000,11887.6322859612,14106.8273874927
2001,8985.00617159208,16944.7632458771
2002,7765.51805407437,16935.3642129827
2003,NA,NA
2004,13647.4004755527,17763.5202461773
2005,8654.53130937121,11510.1166900442
2006,11888.6913599981,4019.7589402375
2007,10486.5263318373,12709.6349843033
2008,10118.4446938529,11364.5362437642
2009,11280.36377102,11543.1650684458
2010,13105.7693606915,12211.6121490375
2011,11762.570836544,12920.9910310235
2012,9769.19174661133,13565.8265150063
2013,12604.2521954416,10983.8201956604
2014,15566.6852823644,10994.1012628542
