year,neeCutRef_gCm2d1,neeVutRef_gCm2d1,neeCutRef_qc,neeVutRef_qc,neeCutRefJointunc_gCm2d1,neeVutRefJointunc_gCm2d1,recoNtVutRef_gCm2d1,recoNtVutSe_gCm2d1,recoNtCutRef_gCm2d1,recoNtCutSe_gCm2d1,recoDtVutRef_gCm2d1,recoDtVutSe_gCm2d1,recoDtCutRef_gCm2d1,recoDtCutSe_gCm2d1,gppNtVutRef_gCm2d1,gppNtVutSe_gCm2d1,gppNtCutRef_gCm2d1,gppNtCutSe_gCm2d1,gppDtVutRef_gCm2d1,gppDtVutSe_gCm2d1,gppDtCutRef_gCm2d1,gppDtCutSe_gCm2d1
1996,-2513.09173794275,-2512.38790012701,806.78754468,801.51244524,NA,NA,927.561780386612,23.9998493267757,916.373998267762,25.5509991767259,637.050853589876,49.3145686025551,650.25260522239,63.9029508366619,3439.94957608575,63.7099594285332,3425.68575331387,74.470941817129,2337.37618417648,89.224378415409,2108.577756139,103.155897583113
1997,-742.427306990567,-740.771807782491,485.0280981,483.96875436,NA,NA,633.194441576815,10.6099164659747,633.636841250432,11.2480050512005,683.331066665199,43.1519859539029,682.978295860258,48.3718572927971,1373.9662364688,33.9324336805508,1374.47640233985,40.3258090565136,1347.89690770498,39.9658121689868,1273.28970666939,44.0301711344399
1998,-426.588388565525,-425.859711815613,383.54729166,382.05556272,NA,NA,660.347230062495,17.326504126614,660.189233072952,19.2248239798703,759.080497975713,36.2427271198118,749.060678866762,41.3488357078539,1086.20690604747,30.4270433468072,1086.4464149329,36.2316498872818,1128.84528673998,25.2414383414362,1129.63428697364,29.1166404530546
1999,-825.52417015936,-831.455542827535,678.28266324,670.19706,NA,NA,687.970842597881,12.4747655984036,688.102392898,15.1448490667655,830.586875833014,67.8244892674049,830.586875833014,74.8510848161014,1519.42642102838,35.9126234983753,1514.46562219569,53.8099881986792,2144.13439707849,56.6149880426207,2379.88595816084,70.831895784339
2000,-921.920103811541,-919.933369774433,510.9712101,511.6197879,NA,NA,742.297627349865,22.9103331539196,739.025525584221,22.1600419865487,847.012793170263,58.0859907824472,753.748487714638,68.3524204443096,1662.23099098726,62.0155175458687,1655.81144207692,56.739381614787,1793.29788006411,96.0781989013372,1711.66944935745,84.0938589580197
2001,-503.854786525031,-503.762976162762,291.88162926,291.9681063,NA,NA,628.159511404164,9.74692653230364,628.159511404164,8.77384927152087,577.5421569481,35.1435639068662,577.5421569481,30.4165405798485,1131.92243555304,27.7628452341417,1132.01424593477,25.488204321173,1110.06596784326,25.6249481461114,1093.50313542976,21.9215448090386
2002,-336.041425534477,-406.033364578373,780.10937784,798.91813404,NA,NA,645.890255676392,15.7627848312444,637.605170551506,12.549413191077,458.138989740442,64.8231718771338,449.575041304755,49.9168822764143,1051.92357509659,40.6827934548993,976.228044579195,34.3091993261413,538.296827511784,30.5835150596026,525.931259261487,27.2707382501469
2003,-1351.98313858198,-1347.4138140961,958.68446544,953.66879712,NA,NA,837.177451725755,28.3669658766674,894.470693339202,30.0506021298419,920.170109192254,45.4630085799098,946.911269669941,63.3612383057305,2184.59130642499,43.5788583464618,2244.42239695215,88.9918241045932,2643.50473055238,26.9156653724237,2667.70908779672,78.3015988429784
2004,-1320.68778065161,-1363.94992555457,682.21736856,709.63059024,NA,NA,965.083868961769,17.7747073602141,883.652758711239,14.6641810165669,563.503211730206,53.507628311309,458.284979652412,38.451247402817,2329.03377251377,58.7993803382856,2199.65424088814,39.7863456595262,1685.03765576529,54.5321503473286,1752.74168986544,37.3230092631608
2005,-645.572494917894,-649.608229510502,395.632458,417.98677284,NA,NA,799.386116864938,19.0391787574334,784.973524182066,14.6385438035839,809.810895888662,48.1598263973204,876.204049315126,33.9421655197664,1448.99434043436,48.0543430089318,1427.77924521437,33.750453721148,1448.23273240846,56.4292715035739,1456.06219327191,24.9751062638376
