Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1996	1	1	5.8575042	2.11264583333333	4.387	-0.905	80.4166635274889	-9999	0.755	-9999	-9999	-9999	1.47554166666667
1996	1	2	2.145933	2.31495833333333	3.457	0.938	85.1990108648631	-9999	9.586	-9999	-9999	-9999	1.17845833333333
1996	1	3	6.2314866	0.751729166666667	3.008	-1.819	76.6215496998068	-9999	0.034	-9999	-9999	-9999	1.70360416666667
1996	1	4	7.9180218	-2.59897916666667	-0.104	-5.87	66.6689264336049	-9999	0	-9999	-9999	-9999	2.09079166666667
1996	1	5	6.1120998	-3.1505625	0.435	-6.438	68.7544353154436	-9999	0.048	-9999	-9999	-9999	1.0734375
1996	1	6	2.319714	-0.430479166666667	0.713	-1.845	73.7544430872126	-9999	2.136	-9999	-9999	-9999	1.95860416666667
1996	1	7	3.1774032	2.40147916666667	4.913	-0.941	84.0081522042706	-9999	8.227	-9999	-9999	-9999	2.09947916666667
1996	1	8	1.9391454	3.38052083333333	4.718	2.26	85.650882708694	-9999	23.146	-9999	-9999	-9999	1.72375
1996	1	9	5.5064718	3.05483333333333	5.249	1.581	82.9716104449802	-9999	0.313	-9999	-9999	-9999	1.36610416666667
1996	1	10	4.567032	3.5428125	5.781	1.542	82.1361817818836	-9999	1.133	-9999	-9999	-9999	2.5689375
1996	1	11	3.7917324	3.6216875	5.849	1.706	82.0290296084683	-9999	0.832	-9999	-9999	-9999	1.97102083333333
1996	1	12	5.666994	3.5336875	5.652	0.951	81.6558108864699	-9999	1.264	-9999	-9999	-9999	2.0855
1996	1	13	5.533605	2.02420833333333	5.426	-0.17	80.3798366066112	-9999	0.002	-9999	-9999	-9999	1.32397916666667
1996	1	14	6.093693	1.71545833333333	4.271	-0.021	78.2821104018695	-9999	0.126	-9999	-9999	-9999	1.49308333333333
1996	1	15	4.7718558	0.813333333333333	1.982	-1.877	73.3025802134117	-9999	0.222	-9999	-9999	-9999	1.78897916666667
1996	1	16	8.8489152	-1.3210625	1.161	-3.457	67.1494629904032	-9999	0	-9999	-9999	-9999	2.14297916666667
1996	1	17	9.1312776	-2.5894375	0.597	-5.573	66.1764329514708	-9999	0	-9999	-9999	-9999	1.8614375
1996	1	18	9.3657096	-2.67775	1.349	-6.81	59.2648629405674	-9999	0	-9999	-9999	-9999	0.7455625
1996	1	19	8.9954244	-2.1015625	1.116	-4.237	63.3882750499666	-9999	0	-9999	-9999	-9999	1.192
1996	1	20	6.4637964	-1.3379375	1.534	-3.757	67.7060006726845	-9999	0	-9999	-9999	-9999	1.13820833333333
1996	1	21	6.5801808	-0.182895833333333	2.865	-2.229	67.2224826799554	-9999	0	-9999	-9999	-9999	1.07291666666667
1996	1	22	9.4171266	-0.246625	3.725	-2.736	68.466041709907	-9999	0	-9999	-9999	-9999	1.1125
1996	1	23	6.7496526	0.40825	3.478	-3.405	71.5623733338581	-9999	1.681	-9999	-9999	-9999	2.6089375
1996	1	24	3.546801	2.01764583333333	3.775	-0.451	82.5333891156785	-9999	5.492	-9999	-9999	-9999	3.30879166666667
1996	1	25	6.8537412	1.77941666666667	4.896	-0.598	81.067184767057	-9999	4.3	-9999	-9999	-9999	2.00560416666667
1996	1	26	5.754069	2.280375	5.628	-0.77	80.0931665931336	-9999	0.71	-9999	-9999	-9999	1.547375
