Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Litterfall
1	1	3.7681	-3.95708	-1.97	-7.6	0.27683	0.784792	0	45.0335	-9999	-9999	-9999
1	2	2.40134	-3.57	-1.08	-5.77	0.200673	0.759583	0	44.945	-9999	-9999	-9999
1	3	4.36263	-8.89333	-5.77	-12.06	0.21714	0.739167	0	44.9946	-9999	-9999	-9999
1	4	4.04665	-8.79854	-4.46	-13.59	0.228856	0.711458	2.3	44.7392	-9999	-9999	-9999
1	5	4.5342	-4.00812	-0.95	-8.02	0.290811	0.6425	0.7	44.3144	-9999	-9999	-9999
1	6	1.93153	-4.36583	-1.48	-6.38	0.191284	0.595208	0	44.0854	-9999	-9999	-9999
1	7	1.31198	-0.686042	0.29	-2.52	0.183752	0.600625	1.8	43.976	-9999	-9999	-9999
1	8	1.36492	-1.64708	-0.52	-3.46	0.188357	0.597708	0.4	44.524	-9999	-9999	-9999
1	9	4.47204	-4.53479	-3.46	-5.79	0.204513	0.582292	9	45.0469	-9999	-9999	-9999
1	10	1.93905	-6.6625	-5.91	-7.38	0.212912	0.638125	7.2	44.6679	-9999	-9999	-9999
1	11	1.67222	-5.12833	-3.25	-7.75	0.210625	0.754792	0.1	44.0452	-9999	-9999	-9999
1	12	1.02263	-2.25	-1.43	-3.48	0.169855	0.757292	0	43.95	-9999	-9999	-9999
1	13	1.10583	-1.18979	-0.04	-3.01	0.152007	0.739167	0	44.0115	-9999	-9999	-9999
1	14	3.41831	-3.65042	-1.57	-5.29	0.200485	0.723958	0	44.249	-9999	-9999	-9999
1	15	3.04286	-6.27729	-4.35	-8.14	0.237472	0.717708	0.3	44.2238	-9999	-9999	-9999
1	16	1.37565	-6.33625	-4.63	-8.02	0.230519	0.632917	0	44.021	-9999	-9999	-9999
1	17	0.944082	-3.43312	-2.73	-4.58	0.197606	0.620625	0	43.8367	-9999	-9999	-9999
1	18	0.77751	-1.89104	-1.21	-2.67	0.177483	0.650208	0	43.73	-9999	-9999	-9999
1	19	0.331668	0.649583	2.01	-1.22	0.20415	0.660625	0.6	43.8129	-9999	-9999	-9999
1	20	0.810738	2.58896	3.9	1.52	0.486448	0.620625	3.9	45.3944	-9999	-9999	-9999
1	21	0.376866	5.52771	6.92	3.72	0.320357	0.447708	1.5	46.4298	-9999	-9999	-9999
1	22	3.48802	4.36667	5.53	2.93	1.19371	0.485208	0.3	46.001	-9999	-9999	-9999
1	23	3.46864	4.535	6.06	3.22	1.57554	0.785625	0.9	46.1715	-9999	-9999	-9999
1	24	1.32584	6.77729	8.16	5.35	1.74256	2.46062	1	45.4142	-9999	-9999	-9999
1	25	2.90596	2.10687	5.17	0.63	1.39292	2.10125	3.4	45.5542	-9999	-9999	-9999
