Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Litterfall
1	1	2.14637	-1.11292	1.38	-4.33	1.71847	1.17021	0.14	45.0387	-9999	-9999	-9999
1	2	2.04138	3.09479	4.92	0.34	0.871671	1.23271	0.58	45.5867	-9999	-9999	-9999
1	3	1.22731	3.72792	4.88	1.98	0.958552	1.21729	1.56	46.6748	-9999	-9999	-9999
1	4	2.1078	3.4	5.64	1.04	1.38086	1.23646	0	46.5729	-9999	-9999	-9999
1	5	0.510948	5.13521	8.31	3.36	1.11104	1.77542	6.58	47.2119	-9999	-9999	-9999
1	6	0.976518	6.27354	8.91	4.26	1.42367	3.56021	3.44	46.514	-9999	-9999	-9999
1	7	1.91216	3.67667	4.84	2.65	0.942688	3.14667	0	45.6419	-9999	-9999	-9999
1	8	3.30496	1.49604	2.95	-1.06	0.76412	2.525	0	45.2767	-9999	-9999	-9999
1	9	0.667818	0.187292	1.53	-1.4	0.338449	1.70708	0	45.0752	-9999	-9999	-9999
1	10	1.94362	-0.697917	0.01	-1.55	0.533118	1.33896	4.01	44.9775	-9999	-9999	-9999
1	11	0.819828	-1.83938	-1.08	-3.8	0.125697	1.4075	1.71	44.9969	-9999	-9999	-9999
1	12	1.77824	-3.19292	-1.33	-4.23	0.189665	1.28896	0	45.0377	-9999	-9999	-9999
1	13	2.13119	-5.26937	-4.09	-6.5	0.25604	1.10396	0	44.9025	-9999	-9999	-9999
1	14	1.40319	-6.73521	-5.03	-7.82	0.213608	0.698542	0	44.6633	-9999	-9999	-9999
1	15	1.8841	-5.10521	-3.37	-6.58	0.226181	0.578542	0	44.4315	-9999	-9999	-9999
1	16	2.0838	-7.18146	-4.27	-8.74	0.322692	0.352292	0	44.1015	-9999	-9999	-9999
1	17	2.60453	-5.98937	-2.18	-9.49	0.575561	0.1825	0	43.6679	-9999	-9999	-9999
1	18	2.08359	-3.12708	-2.03	-4.89	1.05757	0.125	0	43.3192	-9999	-9999	-9999
