year	CO2_ppm
1950	310.750
1951	311.100
1952	311.500
1953	311.925
1954	312.425
1955	313.000
1956	313.600
1957	314.225
1958	314.848
1959	315.500
1960	316.273
1961	317.075
1962	317.795
1963	318.398
1964	318.925
1965	319.648
1966	320.648
1967	321.605
1968	322.635
1969	323.903
1970	324.985
1971	325.855
1972	327.140
1973	328.678
1974	329.743
1975	330.585
1976	331.748
1977	333.273
1978	334.848
1979	336.525
1980	338.360
1981	339.728
1982	340.793
1983	342.198
1984	343.783
1985	345.283
1986	346.798
1987	348.645
1988	350.738
1989	352.488
1990	353.855
1991	355.018
1992	355.885
1993	356.778
1994	358.128
1995	359.838
1996	361.463
1997	363.155
1998	365.323
1999	367.348
2000	368.865
2001	370.468
2002	372.523
2003	374.760
2004	376.813
2005	378.813
2006	380.828
2007	382.778
2008	384.800
2009	387.012
2010	389.324
2011	391.638
2012	394.009
2013	396.464
2014	397.346
2015	399.387
2016	401.418
2017	403.431
2018	405.425
2019	407.401
2020	409.360
2021	411.298
2022	413.219
2023	415.144
2024	417.083
2025	419.036
2026	421.004
2027	422.978
2028	424.950
2029	426.916
2030	428.876
2031	430.832
2032	432.807
2033	434.831
2034	436.916
2035	439.068
2036	441.286
2037	443.567
2038	445.903
2039	448.282
2040	450.698
2041	453.150
2042	455.645
2043	458.182
2044	460.762
2045	463.405
2046	466.120
2047	468.908
2048	471.768
2049	474.692
2050	477.670
2051	480.697
2052	483.777
2053	486.916
2054	490.103
2055	493.338
2056	496.642
2057	500.022
2058	503.483
2059	507.023
2060	510.634
2061	514.305
2062	518.027
2063	521.797
2064	525.619
2065	529.486
2066	533.400
2067	537.381
2068	541.443
2069	545.589
2070	549.820
2071	554.129
2072	558.486
2073	562.867
2074	567.272
2075	571.701
2076	576.146
2077	580.606
2078	585.105
2079	589.653
2080	594.257
2081	598.918
2082	603.538
2083	608.020
2084	612.364
2085	616.572
2086	620.648
2087	624.583
2088	628.381
2089	632.065
2090	635.649
2091	639.141
2092	642.597
2093	646.061
2094	649.515
2095	652.951
2096	656.364
2097	659.754
2098	663.107
2099	666.423
