Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Litterfall
1	1	2.66125	-3.85458	2.6	-11.48	0.570324	0.291458	2.3	28.7208	-9999	0.711871	-9999
1	2	1.81868	6.87708	9.13	2.7	1.65876	1.06125	4.7	-9999	-9999	0.878789	-9999
1	3	1.026	4.98833	7.05	3.83	0.940828	2.82125	13.2	-9999	-9999	1.63804	-9999
1	4	0.934272	-2.91646	4.44	-7	0.371215	1.98375	3	-9999	-9999	0.225502	-9999
1	5	2.39661	-7.64667	-6.5	-8.74	0.473044	0.489792	0.7	-9999	-9999	0.419604	-9999
1	6	0.808812	-5.13375	-3.82	-7.52	0.449524	-0.005625	4.1	-9999	-9999	0.247063	-9999
1	7	0.408834	-12.0006	-7.76	-14.02	0.294776	-0.106042	0.4	27.5152	-9999	0.0685425	-9999
1	8	0.733194	-14.2429	-13.24	-14.94	0.249613	-0.219583	0	26.9673	-9999	0.10534	-9999
1	9	0.53891	-13.6831	-10.54	-15.02	0.295261	-0.378125	0	25.5769	-9999	0.0925873	-9999
1	10	0.239688	-9.87417	-6.7	-13.82	0.309765	-0.59125	0.7	22.7717	-9999	0.0190264	-9999
1	11	0.300078	-7.57937	-6.21	-10.55	0.314133	-0.622292	0.5	20.2365	-9999	-0.111187	-9999
1	12	0.327114	-5.51312	-2.68	-10.65	0.335317	-0.773542	0	18.2381	-9999	0.0961904	-9999
1	13	0.772074	-2.07771	0.78	-4.41	0.360076	-0.585833	7	18.1821	-9999	0.485552	-9999
1	14	1.08961	2.81146	4.05	0.82	0.823231	-0.4275	1.4	22.5515	-9999	0.451243	-9999
1	15	1.6006	2.11208	3.61	-0.26	1.56572	-0.373333	0	29.0477	-9999	0.216072	-9999
1	16	2.33507	2.27708	3.45	0.8	1.81745	-0.374583	0	28.5183	-9999	0.203323	-9999
1	17	6.04073	2.56687	6.8	0.81	2.57225	-0.374792	0	28.9552	-9999	0.301473	-9999
1	18	3.34161	1.7075	4.43	-0.33	1.88497	-0.370833	0	28.8035	-9999	0.075681	-9999
1	19	5.99308	1.55271	3.42	-0.23	1.81664	-0.35375	0	28.8829	-9999	0.0793092	-9999
1	20	5.76295	3.75354	6.61	2.01	2.15679	-0.32125	0.2	29.0092	-9999	0.160361	-9999
1	21	5.12239	0.814792	5.23	-2.12	2.15784	-0.300208	0	29.3731	-9999	0.204014	-9999
1	22	4.56095	2.43042	5.81	-0.88	2.39081	-0.260833	0	28.9667	-9999	0.03585	-9999
1	23	1.61672	2.78875	3.79	1.49	1.20901	-0.148125	6.4	29.4894	-9999	0.0566644	-9999
1	24	0.314964	0.924167	2.77	-0.19	0.425684	0.572708	7.5	31.6606	-9999	-0.0474833	-9999
1	25	2.20064	-0.182917	0.69	-0.63	0.920834	0.728333	0	30.7331	-9999	0.444209	-9999
1	26	2.50007	0.4175	1.31	-1.08	0.748036	0.605	1.9	29.8527	-9999	0.485077	-9999
1	27	1.12646	3.84354	6.56	1.09	0.694925	1.59812	8.1	30.6781	-9999	0.160583	-9999
1	28	1.80176	3.43167	6.97	0.91	1.25062	2.76812	9.5	31.3773	-9999	1.25831	-9999
1	29	1.28164	0.05	2.05	-1.52	0.841026	1.53813	3.5	30.6117	-9999	0.409612	-9999
1	30	1.63755	-2.49021	-1.08	-4.74	0.556014	0.99125	5.4	30.154	-9999	0.506393	-9999
1	31	1.36453	-4.70583	-3.95	-5.27	0.445861	0.642708	2	29.3152	-9999	0.214711	-9999
2	1	2.4078	-6.46854	-4.81	-7.99	0.345483	0.414792	0.6	28.8342	-9999	0.665133	-9999
2	2	3.47542	-4.53542	-1.14	-7.32	0.323242	0.117083	0.7	28.4633	-9999	0.578337	-9999
2	3	5.16933	0.8725	2.54	-1.1	0.972715	0.12625	3.7	28.4994	-9999	1.00081	-9999
2	4	4.79284	-1.39417	0.26	-3.35	0.664965	0.251042	0.7	29.1425	-9999	0.959456	-9999
2	5	7.67061	-1.89521	0.79	-3.26	0.370253	0.226875	0.1	28.8417	-9999	0.231816	-9999
2	6	1.63813	-4.13042	-2.98	-5.73	0.380958	0.116667	1.8	27.9744	-9999	0.32712	-9999
2	7	5.78664	-3.78354	-2	-6.09	0.33917	-0.0325	1.7	27.7383	-9999	0.233975	-9999
2	8	0.920772	-2.04708	-0.46	-4.17	0.388489	-0.0335417	3.5	27.735	-9999	0.341187	-9999
2	9	1.56705	-4.90958	-2.18	-6.97	0.313124	-0.064375	0	27.4921	-9999	0.512735	-9999
2	10	2.56961	-5.64917	-3.27	-7.44	0.324441	-0.154375	0	26.965	-9999	0.142882	-9999
2	11	2.48633	-5.97187	-3.48	-7.78	0.328093	-0.198125	0	26.474	-9999	0.207326	-9999
2	12	6.5329	-6.25104	-2.82	-9.45	0.314826	-0.251458	0	26.095	-9999	0.321023	-9999
2	13	9.621	-6.27604	-2.02	-9.8	0.326639	-0.314583	0	25.3906	-9999	0.430698	-9999
2	14	9.55417	-5.44667	-2.33	-8.91	0.321334	-0.373333	0	24.1185	-9999	0.409413	-9999
2	15	0.921852	-5.55146	-3.35	-8.96	0.325005	-0.420625	1.7	22.7944	-9999	0.0444799	-9999
2	16	2.04881	-6.55187	-5.51	-7.72	0.32086	-0.4275	0.7	21.8856	-9999	0.198543	-9999
2	17	7.43483	-7.77521	-5.54	-9.47	0.315975	-0.459167	0	21.291	-9999	0.263937	-9999
2	18	4.84164	-7.78687	-6.3	-10.32	0.318103	-0.535417	-9999	19.9375	-9999	0.175658	-9999
2	19	1.43885	-5.82417	-5	-6.84	0.333463	-0.558542	-9999	18.3992	-9999	0.0734422	-9999
2	20	2.8312	-4.64479	-3.35	-5.46	0.347556	-0.547083	-9999	17.8617	-9999	0.200698	-9999
