Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Litterfall
1	1	1.28133	-3.89219	-2.5	-5.89	0.199551	2.21458	0	25.9548	-9999	-9999	-9999
1	2	2.31394	-3.53187	-2.72	-4.7	0.745531	1.68083	0	25.6814	-9999	-9999	-9999
1	3	1.29474	-3.47396	-2.08	-5.16	0.606482	1.21583	0	25.3756	-9999	-9999	-9999
1	4	1.35272	-3.55437	-2.21	-4.58	0.970835	1.065	0	25.2418	-9999	-9999	-9999
1	5	2.93746	-4.61792	-3.16	-5.95	0.828536	0.670833	0	24.829	-9999	-9999	-9999
1	6	0.61434	-3.05375	-0.36	-5.23	0.886245	0.35625	0.2	24.6231	-9999	-9999	-9999
1	7	0.827568	2.60833	3.83	-0.17	0	0.60875	2.4	25.6062	-9999	-9999	-9999
1	8	0.593622	0.069375	0.98	-0.89	0.0205672	0.906667	0.6	26.3076	-9999	-9999	-9999
1	9	0.249588	-0.750833	0.31	-1.82	0.127227	1.28583	0	26.1553	-9999	-9999	-9999
1	10	1.01122	-1.33604	-0.89	-1.79	0.0301707	1.70375	0.2	26.0387	-9999	-9999	-9999
1	11	0.228222	0.846667	4.74	-1.05	0.0554932	1.85833	13.4	27.2894	-9999	-9999	-9999
1	12	1.11501	2.90375	4.04	2.17	0.29313	2.35604	0.6	28.1677	-9999	-9999	-9999
1	13	0.272808	1.54313	2.72	-0.39	0.0101419	2.62833	12	28.3872	-9999	-9999	-9999
1	14	0.428994	0.952292	2.26	0.29	0.0279322	2.34083	2.6	28.6576	-9999	-9999	-9999
1	15	2.62944	-0.22875	0.63	-0.87	0	1.9125	0.4	27.2742	-9999	-9999	-9999
1	16	0.325566	0.372292	1.59	-0.41	0	1.87542	6.8	28.1669	-9999	-9999	-9999
1	17	1.31877	-0.293542	0.8	-2.61	0.413762	2.13021	1.2	27.971	-9999	-9999	-9999
1	18	3.34472	-1.99083	0.4	-3.7	0.479482	1.72292	0	26.8407	-9999	-9999	-9999
1	19	1.91669	0.631667	2.24	-1.24	0.39557	1.62125	4	27.5934	-9999	-9999	-9999
1	20	1.60265	-1.47312	-0.22	-3.92	0.92733	1.63646	0	26.9158	-9999	-9999	-9999
1	21	4.08812	-5.51333	-4.16	-6.88	0.950893	1.2525	0	26.1202	-9999	-9999	-9999
1	22	2.44321	-6.71042	-4.03	-9.97	0.63577	0.610208	0	25.6317	-9999	-9999	-9999
1	23	1.27028	-2.65833	-1.31	-4.39	0.598147	0.392292	0	25.8384	-9999	-9999	-9999
1	24	0.54702	-1.99458	-1.13	-3.63	0.91232	0.492708	0	25.722	-9999	-9999	-9999
1	25	1.84885	-4.10604	-3.55	-4.67	0.328483	0.498958	0	25.4835	-9999	-9999	-9999
1	26	2.32202	-4.50292	-3.19	-5.64	0.437243	0.426667	0	25.452	-9999	-9999	-9999
1	27	5.06462	-5.15958	-3.9	-6.6	0.301809	0.0735417	0	24.889	-9999	-9999	-9999
1	28	1.45802	-2.00521	-0.99	-4.19	0.155973	0.0483333	0	25.1566	-9999	-9999	-9999
1	29	1.73224	-2.85938	-1.17	-5.07	0.105195	0.249167	0.6	25.3265	-9999	-9999	-9999
1	30	2.18592	-2.36021	1.25	-5.77	0.1547	0.306458	0.8	25.2881	-9999	-9999	-9999
1	31	0.563184	1.33104	3.77	0.05	0.473893	0.387292	16.6	26.416	-9999	-9999	-9999
2	1	2.75695	2.22479	5.34	0.43	0.282878	0.523125	4.8	29.2381	-9999	-9999	-9999
2	2	0.783774	3.75917	5.67	0.66	0.0741929	1.61958	10.6	28.8473	-9999	-9999	-9999
2	3	0.392742	6.83562	9.35	2.87	0.0394624	3.05437	6.2	28.2868	-9999	-9999	-9999
2	4	0.753786	7.60333	8.74	6.76	0.00563191	4.36042	5.4	28.5745	-9999	-9999	-9999
2	5	2.52949	7.79771	8.93	5.92	0.469938	4.69354	0.4	27.4478	-9999	-9999	-9999
2	6	1.2425	5.81104	7.44	3.84	0.257182	4.31792	1.4	26.9575	-9999	-9999	-9999
2	7	1.60812	3.98875	5.37	2.3	0.421284	3.99417	0.4	26.9736	-9999	-9999	-9999
2	8	1.86343	0.709167	2.48	-1.61	0.342116	3.37292	0.8	27.1681	-9999	-9999	-9999
2	9	5.56348	-0.493542	1.11	-1.46	1.1481	2.63458	0.4	26.9214	-9999	-9999	-9999
2	10	1.59556	-0.193958	1.56	-1.26	0.429543	2.03354	1	26.7341	-9999	-9999	-9999
2	11	5.11456	-1.49083	-0.31	-3.64	0.89794	2.02521	0.4	27.0959	-9999	-9999	-9999
2	12	1.72525	-2.35375	0.42	-4.34	0.719312	1.60063	0.2	26.3049	-9999	-9999	-9999
2	13	1.39133	0.244792	2.02	-2.22	0	1.76417	1.8	26.7412	-9999	-9999	-9999
2	14	4.00817	1.19479	4.45	-1.09	0.149722	2.45625	0.2	26.7893	-9999	-9999	-9999
2	15	4.02239	0.6	3.97	-1.78	0.280472	2.45833	0	26.4636	-9999	-9999	-9999
2	16	1.46223	1.11708	3.76	-0.76	0.0179696	2.49521	0	26.3737	-9999	-9999	-9999
2	17	4.40831	3.84979	5.82	2.68	0.971729	3.08792	0	26.2237	-9999	-9999	-9999
2	18	6.50846	1.45833	3.83	-0.51	1.16342	2.57833	0	26.1506	-9999	-9999	-9999
2	19	8.47726	-1.77417	0.3	-3.79	1.25124	1.93292	0	25.9422	-9999	-9999	-9999
2	20	9.06953	-1.04708	1.81	-2.64	1.27307	1.35187	0	25.7622	-9999	-9999	-9999
2	21	8.45114	-0.692083	1.79	-2.15	1.4243	1.09292	0	25.7905	-9999	-9999	-9999
2	22	3.55307	-0.541458	1.65	-2.39	0.674652	1.02542	0	25.7967	-9999	-9999	-9999
2	23	5.68598	-1.45854	-0.4	-2.42	0.907737	1.11542	0	25.7686	-9999	-9999	-9999
2	24	1.84635	-0.84125	0.31	-3.05	0.32668	0.994167	0.2	26.2342	-9999	-9999	-9999
2	25	6.55817	-0.274792	1.29	-1.56	0.67494	1.06917	0	26.5139	-9999	-9999	-9999
2	26	4.01801	0.0279167	1.04	-0.83	0.526091	1.15875	1	26.8133	-9999	-9999	-9999
2	27	3.63458	-1.12979	-0.55	-1.84	0.723085	1.28979	0	26.8953	-9999	-9999	-9999
2	28	5.78428	-0.916458	1.06	-2.48	1.06177	1.38292	0	26.5382	-9999	-9999	-9999
3	1	2.01704	1.06417	3.79	-3.92	0.330203	1.02167	0	26.0846	-9999	-9999	-9999
3	2	9.191	3.21563	7.14	0.62	0.788127	1.68292	0	26.0309	-9999	-9999	-9999
3	3	11.4248	-0.957708	1.02	-2.65	1.59632	1.40229	0	25.9435	-9999	-9999	-9999
3	4	7.74353	-2.65833	-1.36	-4.92	1.18922	0.9775	0	25.8544	-9999	-9999	-9999
3	5	10.3489	-1.48229	0.19	-2.73	1.53609	0.889167	0	25.7457	-9999	-9999	-9999
3	6	9.1913	-1.20979	0.77	-3.06	1.47372	0.773333	0	25.6809	-9999	-9999	-9999
3	7	5.59246	-0.826458	1.41	-2.31	0.980529	0.799583	0	25.6641	-9999	-9999	-9999
3	8	12.4499	-0.029375	1.84	-1.78	1.38501	0.832292	0	25.5994	-9999	-9999	-9999
3	9	4.53564	0.321042	2.01	-1.03	1.49612	0.999167	0	25.4822	-9999	-9999	-9999
3	10	2.83716	-0.148333	1.1	-1.65	0.719674	1.24333	0	25.4739	-9999	-9999	-9999
3	11	4.9925	1.34854	3.04	0.51	0.683891	1.82688	0	25.3056	-9999	-9999	-9999
3	12	4.50461	1.27479	2.74	0.61	0.852131	1.97833	0	25.245	-9999	-9999	-9999
3	13	1.7579	1.85938	5.22	0.13	0.473913	2.03667	3.4	25.6397	-9999	-9999	-9999
3	14	9.86976	6.06396	9.27	2.6	1.43475	2.82667	0.6	25.7451	-9999	-9999	-9999
3	15	7.5285	7.5925	9.59	6.1	1.32433	4.04542	0.8	25.6722	-9999	-9999	-9999
3	16	5.70679	7.71021	9.09	7.17	0.236917	4.83792	0.8	25.6408	-9999	-9999	-9999
3	17	12.6358	10.1487	14.18	6.43	1.38618	5.53812	0	25.39	-9999	-9999	-9999
3	18	11.0512	7.00083	10.55	3.83	1.81404	5.09625	1.2	25.3021	-9999	-9999	-9999
3	19	6.78791	6.50021	7.86	5.48	0.828842	5.31063	10	26.7116	-9999	-9999	-9999
3	20	6.55508	5.2675	8.04	3.18	1.19047	4.8675	10.4	27.5979	-9999	-9999	-9999
3	21	2.69158	3.56396	6.91	0.89	0.384253	4.705	11.2	28.961	-9999	-9999	-9999
3	22	7.31097	3.78708	6.04	2.79	0.613293	4.48729	2	28.4383	-9999	-9999	-9999
3	23	7.46638	3.56458	5.38	1.97	0.603756	4.40375	0	27.9563	-9999	-9999	-9999
3	24	2.55832	2.18521	3.37	0.45	0.306315	4.19542	0	27.5642	-9999	-9999	-9999
3	25	14.2309	0.198125	1.75	-0.98	1.37086	3.40625	0	27.4021	-9999	-9999	-9999
3	26	11.3889	-0.153542	1.4	-1.5	1.59329	2.96875	0	27.1938	-9999	-9999	-9999
3	27	5.36621	1.87146	3.9	-0.84	0.573511	2.72917	0.2	26.9542	-9999	-9999	-9999
3	28	11.7117	4.75521	8.34	1.96	0.860692	4.04417	1	26.8606	-9999	-9999	-9999
3	29	3.95048	5.89292	7.1	4.91	0.691558	4.69354	0	26.862	-9999	-9999	-9999
3	30	14.1704	5.84104	10.21	0.62	0.993529	4.52646	0	26.6743	-9999	-9999	-9999
3	31	17.1419	6.28969	10.62	2.62	2.10215	4.56255	0	26.5327	-9999	-9999	-9999
4	1	18.7796	3.59479	7.03	0.11	2.50867	4.41453	0	26.3341	-9999	-9999	-9999
4	2	18.9766	2.61833	4.67	0.2	2.26129	3.84646	0	26.2221	-9999	-9999	-9999
4	3	10.1494	4.12208	7.35	2.03	1.71947	3.98292	2.4	26.2121	-9999	-9999	-9999
4	4	4.82746	6.98396	8.65	4.34	0.754818	4.9925	3	26.7425	-9999	-9999	-9999
4	5	10.4287	5.05167	7.73	2.68	0.981975	4.72333	0.2	26.7264	-9999	-9999	-9999
4	6	3.497	2.91333	3.88	2.12	0.0459434	4.63646	9.2	27.4996	-9999	-9999	-9999
4	7	5.21433	3.28375	5.32	1.87	0.220593	4.67229	3	27.7457	-9999	-9999	-9999
4	8	5.01494	2.76563	4.85	0.74	0.121773	4.54417	0.6	27.5331	-9999	-9999	-9999
4	9	19.9493	6.36521	10.44	2.53	2.38938	4.85208	0.2	27.2361	-9999	-9999	-9999
4	10	21.7408	5.89146	8.81	2.52	3.63979	5.13688	0.2	26.9469	-9999	-9999	-9999
4	11	14.1057	5.09104	8.43	1.6	1.92314	4.5975	0	26.7688	-9999	-9999	-9999
4	12	8.15701	6.27583	9.15	4.91	1.40834	5.32104	0	26.5364	-9999	-9999	-9999
4	13	17.434	7.60854	11.64	3.94	2.75367	5.06625	0	26.3826	-9999	-9999	-9999
4	14	21.0899	8.1975	11.45	3.53	3.18858	5.36917	0	26.2002	-9999	-9999	-9999
4	15	21.7136	8.95979	14	4.87	4.8794	5.76979	0	26.0715	-9999	-9999	-9999
4	16	19.2385	9.735	15.41	4.49	5.55783	6.14479	0	26.0351	-9999	-9999	-9999
4	17	17.8197	9.55208	13.94	4.84	4.29749	6.50938	0	25.9281	-9999	-9999	-9999
4	18	16.5401	10.4179	14.22	7.13	3.08827	6.96708	0	25.9144	-9999	-9999	-9999
4	19	7.13293	8.605	11.63	5.45	0.868851	7.10333	8.2	26.5853	-9999	-9999	-9999
4	20	17.0349	7.65188	12.71	4.78	2.09822	7.25854	2	27.1097	-9999	-9999	-9999
4	21	19.9662	9.51165	14.48	5.08	3.79589	7.19273	0	26.5627	-9999	-9999	-9999
4	22	18.9085	10.6885	14.31	7.54	5.04621	7.7375	0	26.2592	-9999	-9999	-9999
4	23	3.78221	8.29979	10.24	7.06	1.29838	7.49021	0.4	26.1348	-9999	-9999	-9999
4	24	19.9858	9.62438	12.13	7.59	2.32793	7.90521	0	25.9964	-9999	-9999	-9999
4	25	15.2251	10.2554	12.88	7.24	2.12021	7.67458	1.6	25.8409	-9999	-9999	-9999
4	26	6.42809	7.91208	9.43	6.15	0.533907	7.96854	0.8	26.2159	-9999	-9999	-9999
4	27	11.0849	8.02417	10.52	4.96	2.06808	7.40333	0	25.9119	-9999	-9999	-9999
4	28	23.2297	8.57771	11.71	4.74	5.60744	7.43792	0	25.7015	-9999	-9999	-9999
4	29	18.5084	7.34708	11.16	3.99	4.14334	7.05333	0	25.6157	-9999	-9999	-9999
4	30	22.2386	9.40057	13.95	6.07	5.33015	7.42651	0	25.4909	-9999	-9999	-9999
5	1	14.1016	10.6671	14.9	6.4	4.71692	7.68	0	25.3808	-9999	-9999	-9999
5	2	21.9137	13.6092	18.84	7.68	4.58113	8.59083	0	25.3101	-9999	-9999	-9999
5	3	8.64423	10.0817	16.427	8.37	0.876455	8.50849	0.685714	25.2523	-9999	-9999	-9999
5	4	15.628	11.8119	15.6	8.12	2.53706	8.59625	0.8	25.007	-9999	-9999	-9999
5	5	12.8847	12.4388	18.2	9.41	1.85152	9.18854	5.4	25.7929	-9999	-9999	-9999
5	6	21.3123	13.6035	18.18	9.47	2.94928	9.58333	0	25.4049	-9999	-9999	-9999
5	7	12.1869	12.4512	14.41	11.04	3.06688	9.58708	0	24.9991	-9999	-9999	-9999
5	8	3.47449	10.4783	11.96	9.55	0.364702	9.25708	2.2	24.9477	-9999	-9999	-9999
5	9	22.5272	15.1512	19.29	11.44	5.46046	9.88708	0	24.912	-9999	-9999	-9999
5	10	20.6183	15.4829	18.83	11.12	5.94731	10.209	2	24.5411	-9999	-9999	-9999
5	11	8.32651	10.8739	12.46	9.35	1.21882	9.88255	0	24.6995	-9999	-9999	-9999
5	12	4.88202	9.61099	11.1	5.53	0.959732	9.47062	7.14894	24.8627	-9999	-9999	-9999
5	13	22.1666	7.496	10.088	4.5	3.06214	8.72202	0	25.9991	-9999	-9999	-9999
5	14	16.4914	8.88027	11.87	5.39	3.03257	8.28594	0	25.3652	-9999	-9999	-9999
5	15	11.4776	10.5788	13.23	7.42	2.1873	8.80781	1.42979	25.2017	-9999	-9999	-9999
5	16	23.1723	11.5062	15.55	8.22	3.29167	9.14083	0	24.8351	-9999	-9999	-9999
5	17	24.8495	11.8654	15.71	8.58	2.64631	9.44563	0	24.5255	-9999	-9999	-9999
5	18	23.3286	11.4779	14.44	8.86	3.97493	9.54604	0	24.1976	-9999	-9999	-9999
5	19	14.7746	10.655	13.74	7.96	3.22186	9.26937	0.2	24.012	-9999	-9999	-9999
5	20	23.6182	9.41021	11.5	6.45	4.18586	8.87833	0	23.9215	-9999	-9999	-9999
5	21	20.9093	7.03604	9.63	4.37	4.08205	8.20438	0	23.8076	-9999	-9999	-9999
5	22	20.0896	6.07552	9.42	3.27	2.08321	7.72458	4.48	24.1528	-9999	-9999	-9999
5	23	26.4158	8.12906	11.52	3.33	3.98763	7.77094	0.213333	24.6122	-9999	-9999	-9999
5	24	18.8153	9.82524	12.99	6.55667	3.52628	8.17552	0	24.021	-9999	-9999	-9999
5	25	16.5019	8.80401	10.73	6.3	3.38256	8.24432	0	23.8991	-9999	-9999	-9999
5	26	12.2799	8.35786	11.44	5.82	1.79522	8.03238	4.36364	24.1823	-9999	-9999	-9999
