Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	Rh_f	Ts_f	Precip	SWC	LAI	ET	WS_f
2001	1	1	0.891	0.8	1.8	0.0	99.8	-9999	1.0	-9999	-9999	-9999	-9999
2001	1	2	0.777	0.0	2.4	-1.8	93.6	-9999	1.0	-9999	-9999	-9999	-9999
2001	1	3	1.087	0.2	3.7	-1.7	93.7	-9999	2.8	-9999	-9999	-9999	-9999
2001	1	4	0.708	3.2	5.5	0.9	97.6	-9999	1.8	-9999	-9999	-9999	-9999
2001	1	5	1.442	0.1	3.3	-1.3	90.5	-9999	0.4	-9999	-9999	-9999	-9999
2001	1	6	1.519	0.9	6.2	-2.0	92.2	-9999	6.5	-9999	-9999	-9999	-9999
2001	1	7	0.701	4.2	7.1	1.4	91.9	-9999	2.2	-9999	-9999	-9999	-9999
2001	1	8	0.343	4.1	5.7	2.2	96.5	-9999	4.1	-9999	-9999	-9999	-9999
2001	1	9	0.994	2.2	4.7	-0.8	94.4	-9999	1.9	-9999	-9999	-9999	-9999
2001	1	10	1.159	1.0	6.3	-1.4	87.7	-9999	2.0	-9999	-9999	-9999	-9999
2001	1	11	1.946	1.3	6.1	-0.5	91.9	-9999	2.1	-9999	-9999	-9999	-9999
2001	1	12	1.024	-0.1	1.5	-1.0	96.5	-9999	3.6	-9999	-9999	-9999	-9999
2001	1	13	1.191	2.1	4.8	-0.9	98.8	-9999	1.3	-9999	-9999	-9999	-9999
2001	1	14	0.409	3.9	5.3	2.6	97.9	-9999	2.0	-9999	-9999	-9999	-9999
2001	1	15	1.018	1.5	6.1	-1.7	90.4	-9999	1.9	-9999	-9999	-9999	-9999
2001	1	16	2.629	0.2	3.0	-1.8	88.9	-9999	0.2	-9999	-9999	-9999	-9999
2001	1	17	0.661	-1.0	1.6	-2.3	97.5	-9999	0.3	-9999	-9999	-9999	-9999
2001	1	18	0.370	2.3	4.2	-0.2	97.7	-9999	4.6	-9999	-9999	-9999	-9999
2001	1	19	1.675	2.5	3.9	1.4	97.9	-9999	2.7	-9999	-9999	-9999	-9999
2001	1	20	0.537	1.8	3.4	0.3	100.2	-9999	2.1	-9999	-9999	-9999	-9999
2001	1	21	1.580	-2.5	3.6	-7.2	99.0	-9999	0.2	-9999	-9999	-9999	-9999
2001	1	22	2.201	-7.2	-3.9	-8.5	92.1	-9999	0.3	-9999	-9999	-9999	-9999
2001	1	23	3.063	-4.9	-1.7	-6.5	88.5	-9999	0.3	-9999	-9999	-9999	-9999
2001	1	24	2.691	-5.4	-3.9	-6.2	92.8	-9999	0.1	-9999	-9999	-9999	-9999
2001	1	25	1.655	-3.6	-1.5	-5.9	94.9	-9999	1.2	-9999	-9999	-9999	-9999
2001	1	26	1.490	-4.1	-2.2	-5.8	95.6	-9999	0.2	-9999	-9999	-9999	-9999
2001	1	27	1.868	-3.7	-1.4	-6.1	98.8	-9999	1.5	-9999	-9999	-9999	-9999
2001	1	28	1.634	-2.4	-0.7	-3.1	97.6	-9999	1.0	-9999	-9999	-9999	-9999
2001	1	29	0.933	-0.8	1.1	-1.9	100.1	-9999	3.8	-9999	-9999	-9999	-9999
2001	1	30	1.198	0.9	3.1	0.0	100.7	-9999	3.8	-9999	-9999	-9999	-9999
2001	1	31	1.256	1.9	3.3	0.8	90.6	-9999	1.6	-9999	-9999	-9999	-9999
2001	2	1	1.739	0.5	2.5	-1.8	96.5	-9999	0.5	-9999	-9999	-9999	-9999
2001	2	2	0.854	-1.7	0.2	-2.8	98.8	-9999	0.2	-9999	-9999	-9999	-9999
2001	2	3	3.947	-2.1	0.8	-3.6	97.6	-9999	0.1	-9999	-9999	-9999	-9999
