year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	Rh_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1960	1	1	0.436	5.4	6.9	0.4	97.4	-9999	1.2	-9999	-9999	-9999	-9999
1960	1	2	0.345	5.4	6.2	3.8	98.8	-9999	0.9	-9999	-9999	-9999	-9999
1960	1	3	0.398	3.5	4.2	2.2	98.3	-9999	0.0	-9999	-9999	-9999	-9999
1960	1	4	0.709	1.6	3.0	0.2	95.6	-9999	0.2	-9999	-9999	-9999	-9999
1960	1	5	0.332	5.3	7.0	2.9	91.5	-9999	6.5	-9999	-9999	-9999	-9999
1960	1	6	0.557	3.2	4.1	2.8	94.4	-9999	0.0	-9999	-9999	-9999	-9999
1960	1	7	0.617	3.4	3.8	3.1	93.2	-9999	0.0	-9999	-9999	-9999	-9999
1960	1	8	0.729	-1.2	3.2	-5.1	86.3	-9999	0.0	-9999	-9999	-9999	-9999
1960	1	9	0.770	-4.0	-3.1	-4.8	88.2	-9999	0.6	-9999	-9999	-9999	-9999
1960	1	10	0.738	-2.8	0.6	-5.8	89.2	-9999	3.4	-9999	-9999	-9999	-9999
1960	1	11	0.502	-3.5	0.3	-5.8	85.7	-9999	1.5	-9999	-9999	-9999	-9999
1960	1	12	0.540	-6.0	-5.5	-6.6	84.6	-9999	1.0	-9999	-9999	-9999	-9999
1960	1	13	0.891	-4.1	-2.2	-6.9	88.7	-9999	1.8	-9999	-9999	-9999	-9999
1960	1	14	0.775	-2.7	-2.3	-3.6	92.5	-9999	4.7	-9999	-9999	-9999	-9999
1960	1	15	0.825	-3.5	-2.5	-4.3	87.0	-9999	0.0	-9999	-9999	-9999	-9999
1960	1	16	0.984	-2.5	-0.7	-3.7	86.0	-9999	0.0	-9999	-9999	-9999	-9999
1960	1	17	0.996	-4.2	-2.4	-6.3	91.3	-9999	0.0	-9999	-9999	-9999	-9999
1960	1	18	1.066	0.6	2.0	-2.1	94.5	-9999	10.3	-9999	-9999	-9999	-9999
1960	1	19	1.472	0.3	2.3	-1.8	93.0	-9999	2.0	-9999	-9999	-9999	-9999
1960	1	20	1.007	1.3	2.0	0.0	95.7	-9999	13.5	-9999	-9999	-9999	-9999
1960	1	21	2.010	-1.4	0.5	-4.1	93.7	-9999	0.0	-9999	-9999	-9999	-9999
1960	1	22	1.009	0.2	4.0	-4.4	98.0	-9999	1.6	-9999	-9999	-9999	-9999
1960	1	23	1.358	5.0	5.8	3.6	97.0	-9999	0.0	-9999	-9999	-9999	-9999
1960	1	24	1.725	5.5	6.4	4.6	94.7	-9999	2.8	-9999	-9999	-9999	-9999
1960	1	25	2.385	5.8	6.8	4.4	97.4	-9999	0.0	-9999	-9999	-9999	-9999
1960	1	26	1.690	3.4	4.3	2.5	98.3	-9999	4.1	-9999	-9999	-9999	-9999
1960	1	27	2.959	0.8	2.8	-3.0	96.1	-9999	0.4	-9999	-9999	-9999	-9999
1960	1	28	2.378	-0.8	0.7	-3.3	93.7	-9999	0.0	-9999	-9999	-9999	-9999
1960	1	29	2.154	1.6	2.9	0.5	93.0	-9999	7.5	-9999	-9999	-9999	-9999
1960	1	30	1.631	-2.5	0.6	-6.3	85.5	-9999	4.5	-9999	-9999	-9999	-9999
1960	1	31	3.947	-6.6	-5.1	-8.1	89.9	-9999	0.4	-9999	-9999	-9999	-9999
1960	2	1	4.191	-6.9	-5.0	-8.6	79.3	-9999	1.0	-9999	-9999	-9999	-9999
1960	2	2	4.163	-6.0	-4.7	-7.5	83.9	-9999	0.0	-9999	-9999	-9999	-9999
1960	2	3	3.715	-3.6	-1.9	-6.0	85.9	-9999	0.6	-9999	-9999	-9999	-9999
1960	2	4	3.104	-1.5	-0.6	-2.8	86.9	-9999	0.7	-9999	-9999	-9999	-9999
1960	2	5	3.776	-2.3	-1.4	-3.3	89.9	-9999	0.5	-9999	-9999	-9999	-9999
1960	2	6	3.801	0.5	2.0	-2.8	92.9	-9999	4.7	-9999	-9999	-9999	-9999
1960	2	7	5.164	-1.3	0.4	-4.3	86.2	-9999	9.1	-9999	-9999	-9999	-9999
1960	2	8	4.400	-1.3	0.8	-4.6	90.1	-9999	0.0	-9999	-9999	-9999	-9999
1960	2	9	4.952	-0.8	0.7	-2.5	88.0	-9999	0.0	-9999	-9999	-9999	-9999
1960	2	10	5.445	-3.9	-2.0	-5.3	87.9	-9999	0.0	-9999	-9999	-9999	-9999
1960	2	11	7.449	-4.2	-1.8	-6.2	85.3	-9999	0.0	-9999	-9999	-9999	-9999
1960	2	12	6.134	-3.9	-2.1	-6.1	91.2	-9999	0.0	-9999	-9999	-9999	-9999
1960	2	13	6.372	-2.7	-1.2	-4.2	90.0	-9999	7.0	-9999	-9999	-9999	-9999
1960	2	14	5.108	-2.1	-0.5	-4.2	92.3	-9999	1.2	-9999	-9999	-9999	-9999
1960	2	15	5.195	-1.3	0.1	-2.8	89.4	-9999	0.0	-9999	-9999	-9999	-9999
1960	2	16	6.843	0.6	2.3	-1.5	92.9	-9999	0.0	-9999	-9999	-9999	-9999
1960	2	17	6.464	-0.7	-0.1	-1.4	86.4	-9999	2.8	-9999	-9999	-9999	-9999
1960	2	18	7.429	-2.3	-0.8	-3.9	86.1	-9999	3.1	-9999	-9999	-9999	-9999
1960	2	19	6.623	-4.1	-1.7	-6.8	87.9	-9999	0.9	-9999	-9999	-9999	-9999
1960	2	20	7.127	1.0	2.6	-3.0	92.1	-9999	1.3	-9999	-9999	-9999	-9999
1960	2	21	5.634	3.1	4.8	0.9	91.3	-9999	7.1	-9999	-9999	-9999	-9999
1960	2	22	6.446	2.7	4.9	0.8	92.2	-9999	1.6	-9999	-9999	-9999	-9999
1960	2	23	5.590	-0.2	1.5	-2.3	82.6	-9999	1.9	-9999	-9999	-9999	-9999
1960	2	24	7.618	-2.0	0.2	-4.3	88.1	-9999	0.0	-9999	-9999	-9999	-9999
1960	2	25	6.891	-1.1	1.2	-3.0	88.2	-9999	0.0	-9999	-9999	-9999	-9999
1960	2	26	6.628	-2.0	-0.6	-3.4	91.0	-9999	0.9	-9999	-9999	-9999	-9999
1960	2	27	4.109	2.1	5.4	-2.6	91.4	-9999	3.8	-9999	-9999	-9999	-9999
1960	2	28	6.116	3.2	4.4	1.4	95.8	-9999	8.5	-9999	-9999	-9999	-9999
1960	2	29	7.108	3.6	5.5	2.1	91.9	-9999	2.2	-9999	-9999	-9999	-9999
1960	3	1	6.872	1.6	3.5	0.1	86.0	-9999	0.0	-9999	-9999	-9999	-9999
1960	3	2	7.547	0.5	2.6	-1.0	87.4	-9999	0.0	-9999	-9999	-9999	-9999
1960	3	3	7.485	-1.7	0.8	-3.4	89.8	-9999	0.0	-9999	-9999	-9999	-9999
1960	3	4	7.271	-0.3	2.0	-3.2	91.1	-9999	0.0	-9999	-9999	-9999	-9999
1960	3	5	6.928	0.5	2.6	-1.3	88.1	-9999	0.0	-9999	-9999	-9999	-9999
1960	3	6	7.633	-1.0	0.2	-2.2	86.5	-9999	0.0	-9999	-9999	-9999	-9999
1960	3	7	9.059	-0.6	1.2	-2.4	85.5	-9999	3.2	-9999	-9999	-9999	-9999
1960	3	8	6.858	-3.4	-2.8	-4.3	80.0	-9999	0.0	-9999	-9999	-9999	-9999
1960	3	9	8.163	-1.5	0.1	-3.5	90.8	-9999	0.0	-9999	-9999	-9999	-9999
1960	3	10	7.612	-1.1	0.7	-2.6	86.8	-9999	0.0	-9999	-9999	-9999	-9999
1960	3	11	7.724	0.9	3.1	-2.1	86.3	-9999	0.0	-9999	-9999	-9999	-9999
1960	3	12	6.615	5.6	7.9	2.2	89.3	-9999	0.0	-9999	-9999	-9999	-9999
1960	3	13	8.006	3.7	5.8	1.8	88.4	-9999	1.7	-9999	-9999	-9999	-9999
