Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	Rh_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1960	1	1	0.199	4.3	8.2	3.4	96.8	-9999	0.8	-9999	-9999	-9999	-9999
1960	1	2	0.096	4.8	6.5	3.3	98.3	-9999	1.7	-9999	-9999	-9999	-9999
1960	1	3	0.266	4.2	4.9	3.2	95.9	-9999	1.0	-9999	-9999	-9999	-9999
1960	1	4	0.664	3.7	4.8	1.1	91.8	-9999	0.3	-9999	-9999	-9999	-9999
1960	1	5	0.117	4.3	10.5	0.2	96.3	-9999	2.8	-9999	-9999	-9999	-9999
1960	1	6	0.871	3.4	6.0	2.2	80.5	-9999	0.1	-9999	-9999	-9999	-9999
1960	1	7	0.891	3.2	6.8	-0.7	87.4	-9999	0.0	-9999	-9999	-9999	-9999
1960	1	8	1.040	-0.4	9.6	-10.5	88.7	-9999	0.6	-9999	-9999	-9999	-9999
1960	1	9	0.911	-5.1	-1.8	-6.9	75.4	-9999	1.1	-9999	-9999	-9999	-9999
1960	1	10	0.877	-5.6	7.5	-12.6	100.0	-9999	2.4	-9999	-9999	-9999	-9999
1960	1	11	1.095	-5.1	4.9	-11.0	84.7	-9999	2.8	-9999	-9999	-9999	-9999
1960	1	12	0.862	-8.8	-3.0	-10.9	94.6	-9999	2.0	-9999	-9999	-9999	-9999
1960	1	13	0.758	-7.6	1.5	-13.6	100.0	-9999	4.1	-9999	-9999	-9999	-9999
1960	1	14	0.075	-4.4	0.5	-5.3	96.6	-9999	7.8	-9999	-9999	-9999	-9999
1960	1	15	0.727	-4.3	0.5	-8.8	93.2	-9999	1.0	-9999	-9999	-9999	-9999
1960	1	16	0.748	-3.6	1.8	-5.3	87.9	-9999	0.6	-9999	-9999	-9999	-9999
1960	1	17	1.353	-6.8	2.0	-12.8	97.4	-9999	1.8	-9999	-9999	-9999	-9999
1960	1	18	0.966	-2.4	5.2	-6.0	100.0	-9999	3.4	-9999	-9999	-9999	-9999
1960	1	19	0.150	-2.4	7.5	-5.9	100.0	-9999	8.3	-9999	-9999	-9999	-9999
1960	1	20	0.232	-0.7	4.1	-1.7	98.2	-9999	5.3	-9999	-9999	-9999	-9999
1960	1	21	1.777	-2.5	1.5	-6.5	86.6	-9999	0.0	-9999	-9999	-9999	-9999
1960	1	22	0.201	-1.8	10.2	-6.0	100.0	-9999	1.9	-9999	-9999	-9999	-9999
1960	1	23	0.486	0.9	7.2	-0.7	100.0	-9999	0.0	-9999	-9999	-9999	-9999
1960	1	24	1.154	2.4	7.6	0.0	97.3	-9999	0.0	-9999	-9999	-9999	-9999
1960	1	25	1.145	3.4	8.6	1.7	92.4	-9999	0.1	-9999	-9999	-9999	-9999
1960	1	26	0.466	2.0	4.3	0.5	99.0	-9999	1.5	-9999	-9999	-9999	-9999
1960	1	27	1.315	1.9	3.5	-1.0	89.2	-9999	0.1	-9999	-9999	-9999	-9999
1960	1	28	0.619	0.5	1.7	-1.1	89.0	-9999	6.6	-9999	-9999	-9999	-9999
