Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	WS
2001	1	1	1.08333	-0.150359	1.5536	-1.747	0.561299	1.65025	0.204255	27.1538	-9999	-9999	-9999
2001	1	2	0.497502	2.17214	2.9608	0.7086	-0.0988089	2.21608	4.90213	28.1187	-9999	-9999	-9999
2001	1	3	0.968714	3.79571	5.5077	1.24806	0.0267995	3.16337	4.08511	28.1138	-9999	-9999	-9999
2001	1	4	1.06137	1.67848	2.9082	-0.1393	0.104082	2.89393	2.04255	28.1233	-9999	-9999	-9999
2001	1	5	1.1107	3.64109	4.9702	1.5062	0.0658094	3.36594	10.6213	28.3178	-9999	-9999	-9999
2001	1	6	0.986779	4.93631	5.7411	1.81819	0.422049	3.988	0.612766	28.5072	-9999	-9999	-9999
2001	1	7	0.768102	4.33393	5.0032	1.9464	0.515144	4.0349	0	27.8913	-9999	-9999	-9999
2001	1	8	0.746556	3.80039	4.4742	1.78023	0.529728	4.11467	0.204255	27.5184	-9999	-9999	-9999
2001	1	9	1.34056	3.62363	4.6366	1.35533	0.428089	4.09395	0.204255	27.327	-9999	-9999	-9999
2001	1	10	2.7563	0.471343	2.5629	-1.3221	0.750288	3.13016	0.204255	27.2806	-9999	-9999	-9999
2001	1	11	2.77819	0.385598	2.69	-1.3809	0.395182	2.15145	0	27.1382	-9999	-9999	-9999
2001	1	12	2.74951	0.398262	3.4645	-2.073	0.185535	1.74673	0.204255	27.244	-9999	-9999	-9999
2001	1	13	2.42084	0.224839	1.7683	-1.7177	-0.0639496	1.6131	0.204255	27.0695	-9999	-9999	-9999
2001	1	14	0.870464	-0.908171	1.2347	-2.3607	0.100675	1.71741	0	26.9211	-9999	-9999	-9999
2001	1	15	0.536648	-2.34097	-0.420769	-2.8833	-0.0483427	1.80139	0	26.8812	-9999	-9999	-9999
2001	1	16	0.389717	-3.10005	-0.603463	-4.1795	-0.017665	1.66133	0	26.8331	-9999	-9999	-9999
2001	1	17	2.01906	-0.945439	0.5043	-1.9634	0.609784	1.56736	0	26.7514	-9999	-9999	-9999
2001	1	18	1.29425	-0.586498	-0.142901	-1.0563	0.833656	1.49641	0	26.6681	-9999	-9999	-9999
2001	1	19	0.618018	-0.557733	0.0667947	-0.8502	0.328712	1.55259	0.408511	26.6407	-9999	-9999	-9999
2001	1	20	0.19907	-0.460582	0.136078	-0.7985	-0.00187318	1.73031	0.204255	26.684	-9999	-9999	-9999
2001	1	21	1.91384	0.507222	1.5607	-0.1487	0.488314	1.84993	0	26.6207	-9999	-9999	-9999
2001	1	22	0.555076	-0.249249	0.600738	-0.9414	0.440744	1.91792	0.204255	26.6013	-9999	-9999	-9999
2001	1	23	0.569621	0.725974	2.4738	-0.5646	0.0321156	1.95084	3.2	26.9049	-9999	-9999	-9999
2001	1	24	1.26646	4.35294	6.7851	1.01442	0.295862	2.9194	9.18261	27.8953	-9999	-9999	-9999
2001	1	25	1.5547	2.41167	3.5411	0.986126	-0.0728653	2.73732	0.817021	27.8216	-9999	-9999	-9999
2001	1	26	1.2387	3.19612	3.7206	0.626409	0.0779523	3.32224	3.6766	27.9997	-9999	-9999	-9999
2001	1	27	3.38103	1.95068	4.944	0.184332	0.144051	3.16225	0	27.9017	-9999	-9999	-9999
2001	1	28	0.452825	1.6239	2.1839	-0.205302	0.114958	3.07697	1.02128	27.677	-9999	-9999	-9999
2001	1	29	1.32336	1.48951	2.421	-0.425001	0.296357	2.86172	0	27.6225	-9999	-9999	-9999
2001	1	30	0.83702	0.579111	1.8154	-0.2698	-0.0385856	2.92486	0	27.4004	-9999	-9999	-9999
2001	1	31	1.29636	0.940974	2.4139	-0.162751	0.180284	2.96589	0	27.1911	-9999	-9999	-9999
2001	2	1	1.73342	-0.793286	1.0046	-4.932	0.458142	2.58027	0.408511	27.2465	-9999	-9999	-9999
2001	2	2	4.70442	-6.33198	-0.299333	-8.0446	0.694336	1.70322	0	26.9365	-9999	-9999	-9999
2001	2	3	4.33346	-8.02166	-0.491891	-10.5073	0.470127	0.861503	0	26.382	-9999	-9999	-9999
2001	2	4	3.13798	-5.20279	-0.381431	-7.4506	0.310219	0.525148	0	26.9448	-9999	-9999	-9999
2001	2	5	1.72404	-3.60921	-0.0549591	-5.465	0.270646	0.578837	0	27.2456	-9999	-9999	-9999
2001	2	6	0.702602	3.34436	6.7959	-1.12	-0.0691834	0.703508	9.80426	27.8046	-9999	-9999	-9999
2001	2	7	2.8637	5.84919	7.6903	0.148456	0.51357	1.51844	0.204255	28.3298	-9999	-9999	-9999
2001	2	8	1.93611	4.97145	8.9842	0.288228	0.27696	2.9252	8.76522	28.4157	-9999	-9999	-9999
2001	2	9	3.03174	0.0709701	1.5063	-1.4379	0.491467	2.55776	0.204255	28.4626	-9999	-9999	-9999
2001	2	10	5.14383	-0.902167	1.51679	-3.2942	0.634205	1.69091	0	27.9788	-9999	-9999	-9999
2001	2	11	0.609552	3.23434	7.6218	-0.4704	0.0480089	1.71765	13.2766	28.5894	-9999	-9999	-9999
2001	2	12	0.994694	5.67756	7.7605	2.6098	0.0603074	3.63408	8.37447	29.5865	-9999	-9999	-9999
2001	2	13	6.85058	3.67062	6.1321	2.1551	0.849224	2.98953	0	29.0621	-9999	-9999	-9999
2001	2	14	2.72623	2.24942	4.0131	0.9683	0.33591	2.64992	0	28.6594	-9999	-9999	-9999
2001	2	15	7.40324	1.61847	5.6122	-0.6439	0.641498	2.60348	0	28.3819	-9999	-9999	-9999
2001	2	16	1.43777	2.00563	3.6858	0.3654	-0.00877821	2.92548	0	28.2126	-9999	-9999	-9999
2001	2	17	3.83603	0.831452	2.7463	-1.3136	0.287977	2.15816	0.204255	28.1542	-9999	-9999	-9999
2001	2	18	7.37903	4.23647	6.8643	1.212	1.47477	2.71674	0	27.9878	-9999	-9999	-9999
2001	2	19	1.26841	2.67874	4.5615	0.534743	0.565886	2.73946	0	27.8432	-9999	-9999	-9999
2001	2	20	4.52624	3.21995	4.5028	0.189488	1.17725	2.82199	0	27.7356	-9999	-9999	-9999
2001	2	21	6.70307	4.20562	6.0416	-0.0714483	1.72313	3.22825	0	27.5987	-9999	-9999	-9999
2001	2	22	7.81687	1.02204	2.4769	-1.6325	1.9887	2.49703	0	27.6375	-9999	-9999	-9999
2001	2	23	6.56096	-5.20984	-0.610137	-7.8151	1.21686	1.57101	0	28.0328	-9999	-9999	-9999
2001	2	24	5.81516	-5.59236	-0.992791	-9.6954	0.842891	0.798617	0	27.623	-9999	-9999	-9999
2001	2	25	5.99379	-0.567084	1.9602	-2.2545	0.573012	0.749533	0	27.9595	-9999	-9999	-9999
2001	2	26	9.46397	-2.69646	-0.9931	-4.268	0.777155	0.869899	1.42979	27.9497	-9999	-9999	-9999
2001	2	27	5.32324	-1.36051	1.5109	-3.5752	0.513408	0.898104	0.817021	27.7957	-9999	-9999	-9999
2001	2	28	4.37669	-1.34224	0.402	-2.859	0.485006	0.901523	0.204255	27.7306	-9999	-9999	-9999
2001	3	1	2.53443	-1.34436	-0.5611	-2.748	-0.0245998	0.994875	0.408511	27.8651	-9999	-9999	-9999
2001	3	2	3.46891	-2.85375	-1.85727	-3.8818	0.0398847	1.15395	0	27.8504	-9999	-9999	-9999
2001	3	3	8.95818	-3.69003	-0.961847	-6.3506	0.341645	1.27819	0.204255	27.7101	-9999	-9999	-9999
2001	3	4	9.2595	-3.51743	0.1189	-7.7566	0.563179	1.08964	2.04255	27.1034	-9999	-9999	-9999
2001	3	5	11.0802	-2.47124	1.0107	-5.5207	0.926255	0.957511	3.13043	27.2014	-9999	-9999	-9999
2001	3	6	11.1927	-0.185167	2.9965	-3.1005	1.12304	0.800843	0.408511	27.3852	-9999	-9999	-9999
2001	3	7	9.02345	0.179741	2.4283	-3.2309	0.809043	0.721799	0	27.6185	-9999	-9999	-9999
2001	3	8	3.27624	2.37949	4.4892	1.2317	0.718799	0.842251	0	28.009	-9999	-9999	-9999
2001	3	9	4.77731	5.05784	8.8093	1.59953	0.442335	2.32217	1.63404	28.0392	-9999	-9999	-9999
2001	3	10	2.62694	6.81816	8.3382	1.95076	0.0965321	3.6272	0	27.647	-9999	-9999	-9999
2001	3	11	2.76481	7.1722	8.1014	2.19087	-0.0992813	4.46746	0	27.5101	-9999	-9999	-9999
2001	3	12	2.75742	5.68441	8.5994	2.1613	0.603493	4.52851	5.71915	28.1271	-9999	-9999	-9999
2001	3	13	3.96348	3.30564	5.462	0.6622	0.651006	3.63371	-9999	-9999	-9999	-9999	-9999
2001	3	14	5.08953	2.73012	4.4917	0.9606	0.565703	3.68321	5.31064	28.2218	-9999	-9999	-9999
2001	3	15	8.04582	4.05775	6.4958	1.66506	1.12965	3.79718	0.204255	28.4354	-9999	-9999	-9999
2001	3	16	9.02565	2.42888	5.0135	-0.4568	1.1941	3.37531	0.408511	28.1707	-9999	-9999	-9999
2001	3	17	6.80225	0.674568	2.5494	-1.0501	0.704552	2.59108	0	28.0755	-9999	-9999	-9999
2001	3	18	6.27552	-0.687398	0.7053	-2.2527	0.693407	2.49645	0	27.9752	-9999	-9999	-9999
2001	3	19	4.76653	-2.84818	-0.443431	-3.342	0.177618	2.17453	0	28.2151	-9999	-9999	-9999
2001	3	20	14.018	-2.3458	-0.0467	-4.8918	1.62771	2.0911	0.204255	28.1666	-9999	-9999	-9999
2001	3	21	15.4555	-1.49538	1.43638	-4.687	1.36048	1.68808	0	27.5211	-9999	-9999	-9999
2001	3	22	11.2334	-1.24377	1.4742	-4.8407	1.12704	1.35214	0	27.7208	-9999	-9999	-9999
2001	3	23	13.2406	-0.492641	1.4801	-3.6998	1.15876	1.19305	0	27.9984	-9999	-9999	-9999
2001	3	24	9.55325	0.551666	1.4192	-0.62835	1.53117	1.23563	0	28.0956	-9999	-9999	-9999
2001	3	25	11.4529	-0.133522	1.3417	-1.799	1.68078	1.31976	0	27.9633	-9999	-9999	-9999
2001	3	26	12.099	-0.796311	1.5993	-3.1554	1.48263	1.20188	0	27.9689	-9999	-9999	-9999
2001	3	27	10.3114	-0.885609	1.0796	-3.2942	1.57525	1.06862	0	28.0232	-9999	-9999	-9999
2001	3	28	15.7287	0.0910442	2.3697	-2.9934	2.07542	1.00132	0	27.9439	-9999	-9999	-9999
2001	3	29	2.97956	1.64603	4.7349	0.1752	1.14736	1.32068	6.53617	28.051	-9999	-9999	-9999
2001	3	30	6.55638	4.18874	6.2696	1.6033	0.515112	2.56143	0	28.0321	-9999	-9999	-9999
2001	3	31	8.24643	5.31721	8.7468	1.7327	0.972136	3.19417	0.834783	27.7917	-9999	-9999	-9999
2001	4	1	5.59575	7.84836	9.7988	3.61419	0.796989	4.367	0.204255	27.6346	-9999	-9999	-9999
2001	4	2	6.53538	6.63312	9.64728	3.6293	0.4547	4.39152	-9999	-9999	-9999	-9999	-9999
2001	4	3	9.6579	7.35688	13.2722	3.76748	1.02657	4.96506	-9999	-9999	-9999	-9999	-9999
2001	4	4	9.77473	7.38324	13.427	4.6918	1.58338	5.43752	-9999	-9999	-9999	-9999	-9999
2001	4	5	10.0344	5.69371	8.0731	3.5198	1.60588	5.13317	0.228571	27.9919	-9999	-9999	-9999
2001	4	6	3.99457	5.79177	7.5889	3.6709	0.677797	4.76939	1.04348	27.7201	-9999	-9999	-9999
2001	4	7	6.07497	7.55001	11.3393	4.31469	0.409881	5.73293	7.96596	28.3603	-9999	-9999	-9999
2001	4	8	10.9333	5.48184	8.8789	3.5963	1.1856	5.65598	0	28.3496	-9999	-9999	-9999
2001	4	9	14.863	5.09855	8.1053	2.859	2.09275	5.35141	0	28.0414	-9999	-9999	-9999
2001	4	10	6.34136	5.02935	8.1253	2.3431	2.22189	4.80025	0	27.8352	-9999	-9999	-9999
2001	4	11	16.9384	6.00791	10.029	1.5294	3.11386	4.95245	0	27.8574	-9999	-9999	-9999
2001	4	12	10.1655	1.79601	4.2351	0.4151	1.04702	4.37963	2.45106	27.9176	-9999	-9999	-9999
2001	4	13	18.5549	1.48864	2.9927	0.0564	2.50249	3.6614	0.218182	27.826	-9999	-9999	-9999
2001	4	14	17.015	1.34142	3.3353	-1.1398	3.28723	3.30157	0	27.7814	-9999	-9999	-9999
2001	4	15	5.06651	0.998813	2.6617	-1.0728	0.725334	3.30191	0.208696	27.6752	-9999	-9999	-9999
2001	4	16	5.3764	3.55158	5.7295	2.0833	1.22722	3.78491	0.204255	27.5317	-9999	-9999	-9999
2001	4	17	11.9213	3.81458	7.1862	1.779	1.4056	4.0138	1.04348	27.4707	-9999	-9999	-9999
2001	4	18	4.15014	2.16833	4.3919	0.8959	0.26553	4.13862	7.68	28.1121	-9999	-9999	-9999
2001	4	19	14.3803	3.15168	6.3334	0.5365	1.44662	3.97511	0.208696	28.256	-9999	-9999	-9999
2001	4	20	12.0232	3.89792	7.8378	0.4103	1.57941	3.97195	0	27.859	-9999	-9999	-9999
2001	4	21	19.8551	4.54029	8.8285	0.0137	1.92754	4.10056	0	27.7362	-9999	-9999	-9999
2001	4	22	22.0595	5.4354	8.7523	0.5215	2.53886	4.53865	0	27.6525	-9999	-9999	-9999
2001	4	23	3.65742	4.50938	5.0409	3.9226	0.266481	4.86325	10.417	28.1796	-9999	-9999	-9999
2001	4	24	15.32	7.20303	10.8041	4.8097	1.94579	5.60616	0	28.2399	-9999	-9999	-9999
2001	4	25	4.74443	6.71409	9.1165	4.5063	0.981865	5.65479	12.6638	28.3366	-9999	-9999	-9999
2001	4	26	11.6098	7.75591	10.3314	5.3663	0.932267	6.24641	0.204255	28.9727	-9999	-9999	-9999
2001	4	27	10.9355	7.95553	10.3772	6.0909	1.34672	6.54732	1.42979	28.5969	-9999	-9999	-9999
2001	4	28	11.0752	7.13867	10.6417	5.1396	0.661853	6.77297	2.85957	28.4505	-9999	-9999	-9999
2001	4	29	13.7175	8.39517	12.2527	3.9724	1.92347	6.78401	0.817021	28.6085	-9999	-9999	-9999
2001	4	30	9.42848	9.92073	14.8209	5.4738	1.55007	7.23389	0.204255	28.2849	-9999	-9999	-9999
2001	5	1	12.9706	8.60879	11.572	5.8701	2.08334	7.16846	0	28.086	-9999	-9999	-9999
2001	5	2	23.5968	9.74232	15.9805	3.6523	3.30148	7.45221	0	27.9239	-9999	-9999	-9999
2001	5	3	20.7195	11.5557	16.9712	4.4773	4.51148	8.09628	0	27.8918	-9999	-9999	-9999
2001	5	4	7.7857	8.46764	10.913	5.8004	1.19928	8.13159	4.49362	28.3639	-9999	-9999	-9999
2001	5	5	17.5762	6.94699	9.2513	4.8622	1.81598	7.44029	0	28.0318	-9999	-9999	-9999
2001	5	6	25.4713	9.1826	12.8897	5.6368	3.86666	7.56673	0	27.8974	-9999	-9999	-9999
2001	5	7	20.1844	8.95191	12.9798	3.8559	3.33455	7.98665	0	27.9512	-9999	-9999	-9999
2001	5	8	25.2167	12.3351	17.2614	7.8867	6.96599	8.85124	0	27.8457	-9999	-9999	-9999
2001	5	9	25.4459	14.7175	19.3305	10.0892	8.7609	9.18571	0	27.7557	-9999	-9999	-9999
2001	5	10	21.6421	14.9741	20.7933	9.9923	7.63458	9.62498	0	27.6244	-9999	-9999	-9999
2001	5	11	25.6359	13.8844	18.9007	8.583	6.69673	9.75622	0	27.4267	-9999	-9999	-9999
