Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Litterfall
2002	1	1	0.842934	1.33776	4.8668	-2.8588	0.192451	1.83068	6.8	29.5619	-9999	-9999	-9999
2002	1	2	3.13979	-2.46505	4.8418	-6.4934	1.14492	1.77734	0	29.8229	-9999	-9999	-9999
2002	1	3	2.99063	-4.00298	-1.8702	-6.7461	0.506954	1.24908	0	27.6325	-9999	-9999	-9999
2002	1	4	3.0426	-3.49529	-2.2062	-4.9802	0.7146	0.701792	0	27.4435	-9999	-9999	-9999
2002	1	5	2.82379	-1.1476	2.1459	-3.1803	0.683618	0.271792	0	27.2717	-9999	-9999	-9999
2002	1	6	0.71883	2.76087	4.0396	0.5334	-0.138514	0.336144	2	29.1624	-9999	-9999	-9999
2002	1	7	0.955116	-0.0305417	1.8953	-1.8481	-0.220029	0.542292	0.6	29.7521	-9999	-9999	-9999
2002	1	8	0.195372	2.45239	3.2074	1.788	0.278674	0.737379	0	29.7119	-9999	-9999	-9999
2002	1	9	0.40104	0.964673	2.3637	-0.2476	0.088051	0.939456	0	29.6358	-9999	-9999	-9999
2002	1	10	0.261036	1.20923	2.1902	-0.1879	0.0824636	1.29821	0	29.4804	-9999	-9999	-9999
2002	1	11	0.30537	-1.14232	-0.1983	-1.9888	-0.0473983	1.27865	0	29.2464	-9999	-9999	-9999
2002	1	12	0.650376	-0.419694	0.0608	-1.0044	0.255177	1.37335	0.2	29.3085	-9999	-9999	-9999
2002	1	13	0.490536	-0.171529	1.4725	-2.4456	-0.650539	1.70484	0	29.2855	-9999	-9999	-9999
2002	1	14	0.712152	0.0154125	1.1192	-1.0812	-0.221147	1.67819	0	29.3015	-9999	-9999	-9999
2002	1	15	0.6336	-0.815121	-0.2032	-1.9388	-0.287583	1.68743	0.6	29.1999	-9999	-9999	-9999
2002	1	16	0.47781	-0.0572708	1.8069	-1.6293	-0.0925397	1.62188	2.8	29.0263	-9999	-9999	-9999
2002	1	17	0.250128	1.74523	2.1076	1.1784	-0.120483	2.18777	1.2	29.0702	-9999	-9999	-9999
2002	1	18	1.04859	2.89343	4.5517	1.5192	0.110345	2.61754	2.6	29.1706	-9999	-9999	-9999
2002	1	19	0.244476	2.77313	4.523	0.5872	0.063554	2.77234	2	29.2317	-9999	-9999	-9999
2002	1	20	1.24171	4.46786	6.444	3.4738	0.142311	3.28538	7	29.425	-9999	-9999	-9999
2002	1	21	0.762696	6.32797	7.094	5.4552	0.471341	3.99978	1	29.4907	-9999	-9999	-9999
