Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI 	ET	LITTERFALL
2000	1	1	3.633405	-9.905980	-5.753810	-14.811500	0.847060	-9999	0.000000	-9999	-9999	-9999	-9999
2000	1	2	3.642244	-6.571020	-3.310550	-10.406000	1.355249	-9999	0.000000	-9999	-9999	-9999	-9999
2000	1	3	3.576709	-4.221620	-1.388820	-7.644290	1.993147	-9999	0.000000	-9999	-9999	-9999	-9999
2000	1	4	3.027206	-4.242990	-0.816223	-6.346080	0.976274	-9999	0.103055	-9999	-9999	-9999	-9999
2000	1	5	2.647512	-7.883150	-4.332610	-11.171600	0.602511	-9999	0.460433	-9999	-9999	-9999	-9999
2000	1	6	3.792225	-11.160300	-8.378540	-12.993300	0.942665	-9999	0.000000	-9999	-9999	-9999	-9999
2000	1	7	3.100075	-8.638620	-5.027440	-12.605100	0.525869	-9999	4.880250	-9999	-9999	-9999	-9999
2000	1	8	2.333068	-7.526190	-4.493100	-10.508300	0.615350	-9999	2.570830	-9999	-9999	-9999	-9999
2000	1	9	3.269186	-1.714120	1.748140	-8.526530	1.051735	-9999	1.070610	-9999	-9999	-9999	-9999
2000	1	10	2.751572	1.078000	3.612210	-1.860570	0.665559	-9999	2.700040	-9999	-9999	-9999	-9999
2000	1	11	2.359333	-0.999028	2.963680	-3.716100	0.454774	-9999	7.062870	-9999	-9999	-9999	-9999
2000	1	12	1.587799	1.792720	4.056550	-3.617440	0.226208	-9999	22.733900	-9999	-9999	-9999	-9999
2000	1	13	1.565300	2.706720	4.143250	1.687950	0.150709	-9999	10.530700	-9999	-9999	-9999	-9999
2000	1	14	3.194329	2.786190	4.530730	1.241910	0.550282	-9999	6.802890	-9999	-9999	-9999	-9999
2000	1	15	1.692248	-2.483830	4.164950	-4.820990	0.585806	-9999	6.107560	-9999	-9999	-9999	-9999
2000	1	16	1.229101	-3.629370	-2.150020	-4.722480	0.477403	-9999	6.100310	-9999	-9999	-9999	-9999
