Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Litterfall
1	1	2.22	-1.01	-0.33	-2.23	0.43	1.86	0	-9999	-9999	-9999	-9999
1	2	3.41	-2.51	-0.34	-4.36	0.54	1.39	0	-9999	-9999	-9999	-9999
1	3	0.86	0.95	3.38	-3.07	0.44	1.09	2.2	-9999	-9999	-9999	-9999
1	4	0.76	-2.89	0.19	-7.01	0.36	1.25	0	-9999	-9999	-9999	-9999
1	5	3.36	-5.35	-3.43	-7.72	1.03	0.84	0	-9999	-9999	-9999	-9999
1	6	1.75	-1.42	0.81	-4.96	0.93	0.27	0	-9999	-9999	-9999	-9999
1	7	2.85	-0.31	1.61	-2.33	1.4	0.48	0.4	-9999	-9999	-9999	-9999
1	8	1.57	-0.15	2.79	-3.07	0.79	0.33	0.6	-9999	-9999	-9999	-9999
1	9	2.97	3.63	4.63	2.94	0.56	0.53	0	-9999	-9999	-9999	-9999
1	10	0.82	2.15	3.41	-0.04	0.41	1.01	0	-9999	-9999	-9999	-9999
1	11	2.39	0.62	3.85	-1.86	1.57	1.24	0	-9999	-9999	-9999	-9999
1	12	1.94	3.68	4.38	2.81	2.61	1.73	0.2	-9999	-9999	-9999	-9999
1	13	0.32	3.5	4.13	2.6	0.15	2.7	3.4	-9999	-9999	-9999	-9999
1	14	0.56	3.02	3.4	2.37	0	3.17	0.6	-9999	-9999	-9999	-9999
1	15	0.88	1.08	2.53	-1.66	0	2.83	0.2	-9999	-9999	-9999	-9999
1	16	1.08	-0.73	0.39	-2.27	0.28	1.95	0	-9999	-9999	-9999	-9999
1	17	1.22	-0.7	-0.39	-1.12	0.52	1.77	0	-9999	-9999	-9999	-9999
1	18	1.44	1.43	2.71	-0.58	0.03	2.1	0.2	-9999	-9999	-9999	-9999
1	19	0.58	1.65	2.96	0.42	0.29	2.39	3.8	-9999	-9999	-9999	-9999
1	20	3.27	3.27	4.44	1.99	0.87	2.74	3	-9999	-9999	-9999	-9999
1	21	4.15	1.32	3.67	-0.34	0.52	2.26	0	-9999	-9999	-9999	-9999
1	22	1.4	0.01	1.23	-0.81	0.11	2.21	0	-9999	-9999	-9999	-9999
1	23	0.82	0.8	2.02	-0.28	0.45	2.22	4.8	-9999	-9999	-9999	-9999
1	24	1.21	1.66	3.19	0.18	0.17	2.55	3	-9999	-9999	-9999	-9999
1	25	1.28	2.16	3.51	0.3	0.56	2.77	0	-9999	-9999	-9999	-9999
1	26	1.65	0.92	1.41	0.19	1.12	2.57	0	-9999	-9999	-9999	-9999
1	27	2.12	0.8	1.82	0.22	1.32	2.46	0	-9999	-9999	-9999	-9999
1	28	1.56	-0.66	0.33	-2.38	0.68	2.3	0	-9999	-9999	-9999	-9999
1	29	1.06	-3.34	-2.38	-3.92	0.03	1.91	0	-9999	-9999	-9999	-9999
1	30	0.62	-1.72	-0.49	-3.34	0.03	1.67	0	-9999	-9999	-9999	-9999
1	31	2.39	0.13	1.38	-0.81	1.1	1.87	0	-9999	-9999	-9999	-9999
2	1	1.54	-2.08	-0.92	-3.49	0.83	1.54	0	-9999	-9999	-9999	-9999
2	2	0.86	-0.09	0.69	-1.87	1.06	1.42	0	-9999	-9999	-9999	-9999
2	3	1.08	0.43	0.79	-0.08	0.56	1.7	0	-9999	-9999	-9999	-9999
2	4	0.8	-0.06	0.63	-0.46	0.11	1.9	0.8	-9999	-9999	-9999	-9999
2	5	1.42	0.3	1.09	-0.2	0	2.03	5.6	-9999	-9999	-9999	-9999
2	6	1.01	2.66	3.95	1.11	0	2.59	0.8	-9999	-9999	-9999	-9999
2	7	0.87	1.65	2.14	0.82	0	2.67	3.6	-9999	-9999	-9999	-9999
2	8	4.89	0.99	2.27	0.04	0.51	2.48	1.2	-9999	-9999	-9999	-9999
2	9	2.8	-0.07	0.53	-0.51	0.46	1.92	0	-9999	-9999	-9999	-9999
2	10	1.89	0.2	1.73	-0.63	0.3	2	0.2	-9999	-9999	-9999	-9999
2	11	3.98	-0.46	0.33	-0.89	0.45	1.93	1.6	-9999	-9999	-9999	-9999
2	12	3.11	-1.31	-0.46	-2.71	0.94	1.86	0	-9999	-9999	-9999	-9999
2	13	7.48	-2.48	-0.29	-4.15	0.48	1.45	0.4	-9999	-9999	-9999	-9999
2	14	7.25	-1.75	0.71	-4.37	0.62	1.12	0.2	-9999	-9999	-9999	-9999
2	15	2.8	-0.87	-0.24	-1.52	0.25	0.98	0.2	-9999	-9999	-9999	-9999
2	16	3.43	-1.44	-0.77	-2.5	0.07	1.08	0	-9999	-9999	-9999	-9999
2	17	9.12	-4.43	-1.71	-6.8	0.73	1.14	0.4	-9999	-9999	-9999	-9999
2	18	4.49	-3.13	-0.2	-5.76	0.44	0.95	0	-9999	-9999	-9999	-9999
2	19	3.09	-1.38	-0.12	-2.17	0.02	1.03	0	-9999	-9999	-9999	-9999
2	20	3.77	-0.73	-0.12	-1.24	0.16	1.22	2	-9999	-9999	-9999	-9999
2	21	3.45	-0.58	0.21	-1.23	0.39	1.4	0.2	-9999	-9999	-9999	-9999
2	22	6.16	3.73	5.93	0.39	0.44	1.48	10.6	-9999	-9999	-9999	-9999
2	23	2.37	0.59	3	-0.48	0.56	1.51	0	-9999	-9999	-9999	-9999
2	24	9.37	1.04	3.52	-1.65	1.12	1.29	0	-9999	-9999	-9999	-9999
2	25	2.31	4.13	5.42	2.86	0.11	2.53	1.2	-9999	-9999	-9999	-9999
2	26	4.33	4.34	6.17	3.24	0.87	3.07	1.2	-9999	-9999	-9999	-9999
2	27	6.55	3.34	5.87	1.29	0.84	2.81	0	-9999	-9999	-9999	-9999
2	28	4.52	1.1	2.97	-0.8	0.97	2.38	0	-9999	-9999	-9999	-9999
3	1	1.51	2.02	3.3	0.7	0.66	2.56	0.4	-9999	-9999	-9999	-9999
3	2	1.89	3.11	4.4	1.69	0.58	2.91	3.2	-9999	-9999	-9999	-9999
3	3	7.35	4.35	6.1	2.64	1.31	3.41	0	-9999	-9999	-9999	-9999
3	4	5.91	3.68	5.84	2.1	1.14	3.35	0	-9999	-9999	-9999	-9999
3	5	2.54	3.78	4.95	3.26	0.62	3.56	0	-9999	-9999	-9999	-9999
3	6	1.01	2.31	3.47	1.27	0.48	3.28	1	-9999	-9999	-9999	-9999
3	7	2.32	1.97	3.16	1.07	0.28	3.19	1	-9999	-9999	-9999	-9999
