Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Litterfall
1	1	0.3	-7.56	-5.75	-11.31	7.686015625	-0.32	0.28	-9999	-9999	-9999	-9999
1	2	0.36	-11.61	-10.16	-13.2	9.286425208	-0.33	0.39	-9999	-9999	-9999	-9999
1	3	0.48	-12.28	-10.39	-14.78	10.64087854	-0.43	2.71	-9999	-9999	-9999	-9999
1	4	0.63	-16.29	-14.27	-18.17	7.686015625	-0.81	2.34	-9999	-9999	-9999	-9999
1	5	0.48	-14.98	-12.73	-18	9.286425208	-0.99	1.89	-9999	-9999	-9999	-9999
1	6	0.2	-9.38	-6.29	-13.81	10.64087854	-0.83	1.64	-9999	-9999	-9999	-9999
1	7	0.16	-6.33	-2.7	-7.46	7.686015625	-0.43	5.37	-9999	-9999	-9999	-9999
1	8	0.46	-4.67	-2.45	-7.51	9.286425208	-0.2	0.39	-9999	-9999	-9999	-9999
1	9	0.11	-0.71	0.48	-2.86	10.64087854	-0.1	2.89	-9999	-9999	-9999	-9999
1	10	0.25	-0.65	0.16	-7.94	7.686015625	0.04	0.93	-9999	-9999	-9999	-9999
1	11	0.28	-1.02	0.12	-2.36	9.286425208	0.14	1.61	-9999	-9999	-9999	-9999
1	12	0.2	-3.49	-1.87	-4.94	10.64087854	0.18	1.93	-9999	-9999	-9999	-9999
1	13	0.43	-5.27	-4.51	-6.53	7.686015625	0.16	8.38	-9999	-9999	-9999	-9999
1	14	0.52	-9	-6.61	-13.63	9.286425208	0.1	3.64	-9999	-9999	-9999	-9999
1	15	1.64	-19.01	-14.27	-22.19	10.64087854	-0.27	0.02	-9999	-9999	-9999	-9999
1	16	0.38	-14.87	-7.05	-21.64	7.686015625	-0.43	2.52	-9999	-9999	-9999	-9999
1	17	0.24	-3.81	-0.01	-6.96	9.286425208	-0.24	1.65	-9999	-9999	-9999	-9999
1	18	0.31	-0.82	-0.03	-1.36	10.64087854	-0.1	-9999	-9999	-9999	-9999	-9999
1	19	0.69	-1.98	-1.35	-3.29	7.686015625	0.04	3.95	-9999	-9999	-9999	-9999
