Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Litterfall
1	1	0.008514	-5.36729	-1.36	-9.84	0.520258	-0.699792	0	8.56777	-9999	-9999	-9999
1	2	0.024156	-1.64813	-1.06	-3.12	0.282561	-0.835417	0.6	8.57919	-9999	-9999	-9999
1	3	0.0602028	-3.68146	-1.53	-5.96	0.416728	-0.781667	1.4	8.50996	-9999	-9999	-9999
1	4	0.0671274	-5.17312	-3.36	-7.8	0.210289	-0.706042	0.9	8.54733	-9999	-9999	-9999
1	5	0.065592	-4.80813	-3.52	-6.05	0.289875	-0.698125	0.3	8.5855	-9999	-9999	-9999
1	6	0.070308	-6.38438	-5.52	-8.09	0.24278	-0.677083	1.1	8.62401	-9999	-9999	-9999
1	7	0.05733	-7.59979	-6.6	-8.24	0.294338	-0.681458	1.9	8.64243	-9999	-9999	-9999
1	8	0.083178	-6.48917	-5.49	-7.65	0.200464	-0.710625	2.2	8.62111	-9999	-9999	-9999
1	9	0.047772	-8.64354	-7.51	-13.19	0.32639	-0.706667	0.1	8.56454	-9999	-9999	-9999
1	10	0.087084	-11.3063	-8.09	-16.77	0.228453	-0.724792	0.2	8.52494	-9999	-9999	-9999
1	11	0.103212	-4.09042	0.11	-9.04	0.143718	-0.878333	2.6	8.40935	-9999	-9999	-9999
1	12	0.0330588	-3.81708	0.04	-6.87	0.42615	-0.747292	1.3	8.23969	-9999	-9999	-9999
1	13	0.080298	-1.36062	0.26	-4.15	0.0702426	-0.822292	1.3	8.16125	-9999	-9999	-9999
1	14	0.178704	-7.53188	-3.15	-10.62	0.312185	-0.653333	0	8.16239	-9999	-9999	-9999
1	15	0.410274	-16.9642	-10.39	-25.98	0.2914	-0.612292	0	8.22831	-9999	-9999	-9999
1	16	0.092376	-24.7727	-10.81	-29.73	0.179362	-0.748958	0.7	8.18481	-9999	-9999	-9999
1	17	0.124596	-5.69896	0.45	-10.36	0.145791	-1.13563	0.3	7.92717	-9999	-9999	-9999
1	18	0.087948	0.750208	1	0.46	0.153822	-1.39646	0.8	7.56738	-9999	-9999	-9999
1	19	0.071874	0.475	0.85	0.11	0.639819	-1.17271	0.5	7.42874	-9999	-9999	-9999
1	20	0.123665	-2.03271	0.07	-3.82	0.648079	-0.784583	0.7	7.51345	-9999	-9999	-9999
1	21	0.164875	-4.48417	-3.81	-5.14	0.254708	-0.672292	1.2	7.69816	-9999	-9999	-9999
1	22	0.202909	-9.61958	-4.83	-11.48	0.244962	-0.598125	0.9	7.95936	-9999	-9999	-9999
1	23	0.230094	-11.5635	-8.87	-16.74	0.25536	-0.650417	2.9	8.22783	-9999	-9999	-9999
