Year	 Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	WS_f
2001	1	1	1.15	3.8	9.4	-2.4	0.02	3.65	2.8	-9999	-9999	-9999	-9999
2001	1	2	2.14	10.02	11.3	8	0.1	5.43	1.4	-9999	-9999	-9999	-9999
2001	1	3	3.07	6.61	8.3	5	0.53	5.71	1	-9999	-9999	-9999	-9999
2001	1	4	1.4	7.68	8.7	5.8	0.02	5.68	4.6	-9999	-9999	-9999	-9999
2001	1	5	0.98	9.12	10.9	6	0.05	6.25	16.8	-9999	-9999	-9999	-9999
2001	1	6	1.51	7.29	11.1	4.9	0.42	6.93	1.8	-9999	-9999	-9999	-9999
2001	1	7	2.54	4.52	6.1	1.9	0.25	6.23	1	-9999	-9999	-9999	-9999
2001	1	8	2.74	3.38	5.09	1.6	0.04	5.75	0	-9999	-9999	-9999	-9999
2001	1	9	4.16	2.37	5.1	0.8	0.51	5.11	0.4	-9999	-9999	-9999	-9999
2001	1	10	1.01	6.47	9.5	1.2	1.71	5.15	8.4	-9999	-9999	-9999	-9999
2001	1	11	1.21	6.09	9	2.3	1.63	6.06	1.6	-9999	-9999	-9999	-9999
2001	1	12	0.87	0.32	2.3	-0.7	0.41	5.17	0	-9999	-9999	-9999	-9999
2001	1	13	5.83	-1.5	-0.1	-3.5	0.28	3.43	0	-9999	-9999	-9999	-9999
2001	1	14	6.5	-2.69	-0.4	-4.5	0.03	2.28	0	-9999	-9999	-9999	-9999
2001	1	15	6.38	-3.92	-1.3	-5.8	0	1.72	0	-9999	-9999	-9999	-9999
2001	1	16	5.44	-4.26	-0.6	-7.4	0	1.35	0	-9999	-9999	-9999	-9999
2001	1	17	4.81	-1.73	1.7	-5.5	0	1.21	0	-9999	-9999	-9999	-9999
2001	1	18	1.16	-0.62	1.2	-2.3	0.46	1.34	1.4	-9999	-9999	-9999	-9999
2001	1	19	1.36	-1.04	0.6	-2.6	0.06	1.56	0	-9999	-9999	-9999	-9999
2001	1	20	0.97	0.23	1.6	-0.9	0.05	1.94	1	-9999	-9999	-9999	-9999
2001	1	21	4.58	0.78	4.9	-1.8	0.23	2.1	5	-9999	-9999	-9999	-9999
2001	1	22	4.54	7.38	9.9	4.5	1.12	3.1	3.2	-9999	-9999	-9999	-9999
2001	1	23	4.26	8.81	13	5.8	3.83	4.66	8.2	-9999	-9999	-9999	-9999
2001	1	24	0.98	9.69	14	6.6	2.37	5.89	9.4	-9999	-9999	-9999	-9999
2001	1	25	4.21	6.69	12	4.5	2.13	5.17	5.2	-9999	-9999	-9999	-9999
2001	1	26	3.96	5.59	6.9	4.6	1.72	4.89	0	-9999	-9999	-9999	-9999
2001	1	27	3.49	3.6	6.6	0.7	2.26	4.54	7.2	-9999	-9999	-9999	-9999
2001	1	28	5.92	2.83	6.9	-0.5	1.48	3.86	0.4	-9999	-9999	-9999	-9999
