 Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Litterfall
1	1	2.92	6.22	8.4	4.76	0.99	4.5	0	-9999	-9999	-9999	-9999
1	2	1.82	5.16	8.45	1.88	1.61	4.97	3.2	-9999	-9999	-9999	-9999
1	3	2.95	2.94	4.33	1.66	1.01	4.53	0.2	-9999	-9999	-9999	-9999
1	4	6.27	3.76	6.39	1.2	1.85	4.55	0	-9999	-9999	-9999	-9999
1	5	1.11	4.7	7.19	0.96	1.48	4.31	2.6	-9999	-9999	-9999	-9999
1	6	3.62	7.39	8.56	6.57	1.47	5.13	6.2	-9999	-9999	-9999	-9999
1	7	0.96	7.4	8.14	4.94	1.94	5.45	0	-9999	-9999	-9999	-9999
1	8	5.45	8.51	11	4.65	3.88	5.36	1	-9999	-9999	-9999	-9999
1	9	2.67	8	9.13	7.23	1.98	5.8	0	-9999	-9999	-9999	-9999
1	10	6.49	9.17	11.6	6.96	3.92	5.73	0	-9999	-9999	-9999	-9999
1	11	4.58	8.01	9.76	5.84	2.75	5.82	1.6	-9999	-9999	-9999	-9999
1	12	0.64	7.43	9.37	4.98	1.63	6.15	3.6	-9999	-9999	-9999	-9999
1	13	4.88	3.95	5.88	2.29	1.03	5.73	0.6	-9999	-9999	-9999	-9999
1	14	6.16	1.55	4.58	-1.43	0.79	5.25	0	-9999	-9999	-9999	-9999
1	15	2.3	-3.44	-0.65	-5.87	0.23	4.5	0	-9999	-9999	-9999	-9999
1	16	6.96	-2.67	4.09	-8.18	0.57	3.87	0.2	-9999	-9999	-9999	-9999
1	17	5.53	2.14	6.17	-3.36	1.43	3.52	0	-9999	-9999	-9999	-9999
1	18	1.06	4.12	6.42	0.39	1.3	4.06	9.4	-9999	-9999	-9999	-9999
1	19	3.91	2.21	4.52	0.36	0.99	4.05	4.6	-9999	-9999	-9999	-9999
1	20	0.93	5.65	8.25	2.4	0.71	4.37	10.8	-9999	-9999	-9999	-9999
1	21	4.51	5.39	8.02	3.09	2.1	5.08	7	-9999	-9999	-9999	-9999
1	22	6.24	2.27	4.53	-0.72	1.57	4.6	0.6	-9999	-9999	-9999	-9999
1	23	5.45	0.37	2.83	-1.3	1.49	4.2	0	-9999	-9999	-9999	-9999
1	24	3.88	-1.99	-0.22	-4.23	0.77	3.89	0	-9999	-9999	-9999	-9999
1	25	3.49	-3.85	-1.66	-6.08	0.82	3.69	0	-9999	-9999	-9999	-9999
1	26	3.18	-3.84	-1.53	-5.79	1.1	3.53	0	-9999	-9999	-9999	-9999
1	27	4.52	-4.81	-3.35	-6.33	1.22	3.33	0	-9999	-9999	-9999	-9999
1	28	4.16	-4.22	-2.91	-5.53	0.58	3.2	0	-9999	-9999	-9999	-9999
1	29	9.39	-5.64	-3.76	-8.52	1.02	3.12	0	-9999	-9999	-9999	-9999
1	30	3.42	-5.35	-2.73	-9.76	0.8	2.9	0	-9999	-9999	-9999	-9999
1	31	1.91	-0.46	1.31	-3.01	0.48	2.87	7.8	-9999	-9999	-9999	-9999
2	1	4.54	2.27	3.8	1.02	1.3	2.93	6.4	-9999	-9999	-9999	-9999
2	2	1.21	1.79	3.64	0.68	0.52	2.97	0.4	-9999	-9999	-9999	-9999
2	3	2.75	3.1	4.8	2.09	0.82	3.36	0	-9999	-9999	-9999	-9999
2	4	9.17	2.56	4.83	0.1	1.8	3.57	0	-9999	-9999	-9999	-9999
2	5	9.29	-0.35	4.85	-4.07	1.09	3.07	0	-9999	-9999	-9999	-9999
2	6	7.07	-0.94	2.94	-2.98	0.68	2.81	0	-9999	-9999	-9999	-9999
2	7	7.81	-1.43	2.8	-4.35	0.63	2.71	0	-9999	-9999	-9999	-9999
2	8	9.55	3.88	9.21	-0.09	2.62	2.8	0	-9999	-9999	-9999	-9999
2	9	7.85	4.18	9.47	-0.9	2.93	3	0	-9999	-9999	-9999	-9999
2	10	4.1	6.01	7.52	4.96	2.3	3.4	4.2	-9999	-9999	-9999	-9999
2	11	2.11	5.59	6.83	4.71	0.86	4.09	11.2	-9999	-9999	-9999	-9999
2	12	1.44	8.36	10.09	3.26	1.16	4.89	19.2	-9999	-9999	-9999	-9999
2	13	2.27	1.78	3.99	-0.7	1.02	4.45	6.8	-9999	-9999	-9999	-9999
2	14	4.64	0.69	3.38	-0.74	0.74	3.84	1.4	-9999	-9999	-9999	-9999
2	15	3.42	-1.14	0.26	-2.86	0.53	3.59	0.2	-9999	-9999	-9999	-9999
