 Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Littfall
1	1	0.67	1.69	5.32	-1.82	0.32	5.91	2.8	-9999	-9999	-9999	-9999
1	2	3.95	-2.62	-1.6	-4.32	0.82	4.85	0	-9999	-9999	-9999	-9999
1	3	3.04	-0.93	1.07	-2.57	0.96	4.29	0	-9999	-9999	-9999	-9999
1	4	1.85	-4.63	-3.35	-5.8	0.73	4.02	0	-9999	-9999	-9999	-9999
1	5	2.95	-5.46	-3.08	-7.13	0.77	3.48	0	-9999	-9999	-9999	-9999
1	6	0.81	-5.41	-3.83	-7.18	0.38	2.91	0	-9999	-9999	-9999	-9999
1	7	1.62	-3.29	-2.32	-5.16	0.32	2.82	0	-9999	-9999	-9999	-9999
1	8	1.76	-4.09	-2.86	-5.94	0.28	2.95	0	-9999	-9999	-9999	-9999
1	9	1.17	-5.16	-4.25	-6.29	0.29	3.08	0	-9999	-9999	-9999	-9999
1	10	2.08	-4.13	-3.5	-4.94	0.36	3.16	0	-9999	-9999	-9999	-9999
1	11	2.12	-3.6	-3.05	-4.22	0.49	3.2	0	-9999	-9999	-9999	-9999
1	12	4.65	-2.79	-0.52	-4.48	0.6	3.21	0	-9999	-9999	-9999	-9999
1	13	1.32	0.3	3.51	-4.97	0.35	3.19	6.8	-9999	-9999	-9999	-9999
1	14	6.45	-0.23	3.62	-4.1	0.48	3.14	1.2	-9999	-9999	-9999	-9999
1	15	1.77	-0.15	0.65	-1.09	0.51	3.12	0.2	-9999	-9999	-9999	-9999
1	16	3.69	0.33	5.39	-2.66	0.54	3.08	6.8	-9999	-9999	-9999	-9999
1	17	1.16	5.31	6.31	3.85	1.11	3.19	5	-9999	-9999	-9999	-9999
1	18	4	2.71	4.9	-0.17	0.78	3.66	0.2	-9999	-9999	-9999	-9999
1	19	2	-1.52	-0.2	-2.57	0.15	3.49	0	-9999	-9999	-9999	-9999
1	20	3.44	-2.19	0.37	-5.54	0.17	3.01	0.6	-9999	-9999	-9999	-9999
1	21	0.99	2.15	3.37	-0.12	0.24	3.12	5	-9999	-9999	-9999	-9999
1	22	5.37	1.43	3.72	-0.09	0.46	3.5	0	-9999	-9999	-9999	-9999
1	23	6.03	-0.65	1.43	-1.86	0.58	3.13	0.2	-9999	-9999	-9999	-9999
1	24	2.97	0.82	3.44	-1.87	0.41	3.15	6.2	-9999	-9999	-9999	-9999
1	25	1.48	-0.19	0.27	-0.72	0.34	3.23	1	-9999	-9999	-9999	-9999
1	26	0.52	-3.24	-0.69	-5.9	0.51	3.02	0	-9999	-9999	-9999	-9999
1	27	7.22	-5.32	-2.63	-8.63	0.95	2.32	0	-9999	-9999	-9999	-9999
1	28	1.42	-2.02	-0.43	-3.71	0.45	2.03	0	-9999	-9999	-9999	-9999
1	29	2	-0.12	0.29	-0.55	0.25	2.17	3	-9999	-9999	-9999	-9999
1	30	2.98	-2.56	-0.37	-6.27	0.19	2.36	0	-9999	-9999	-9999	-9999
1	31	3.07	-3.46	-1.02	-6.37	0.26	2.47	0	-9999	-9999	-9999	-9999
2	1	1.87	-2.78	-1.78	-3.41	0.34	2.54	0	-9999	-9999	-9999	-9999
2	2	3.51	-0.1	1.71	-1.97	0.4	2.56	12.4	-9999	-9999	-9999	-9999
2	3	1.82	2.67	5.09	0.28	0.65	2.52	13	-9999	-9999	-9999	-9999
2	4	7.64	5.83	9.68	3.32	3.07	2.56	0	-9999	-9999	-9999	-9999
2	5	1.18	5.8	8.25	3.89	1.24	2.82	8.2	-9999	-9999	-9999	-9999
