Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Litterfall
1	1	7.98715	1.79237	7.28	-3.925	2.38288	4.66136	0	-9999	-9999	-9999	-9999
1	2	1.37798	3.91881	5.014	2.592	1.0069	5.32915	9.4	-9999	-9999	-9999	-9999
1	3	0.273487	5.12208	7.02	2.874	0.0450435	5.7896	57.4	-9999	-9999	-9999	-9999
1	4	0.471323	7.22294	8.44	6.04	0.026054	6.81402	46.2	-9999	-9999	-9999	-9999
1	5	0.535975	7.41842	8.48	6.686	-0.00592245	7.23965	8.6	-9999	-9999	-9999	-9999
1	6	2.58467	11.1204	13.79	8.03	0.944032	8.02757	1.6	-9999	-9999	-9999	-9999
1	7	4.54794	12.0796	14.22	6.233	4.5508	8.88215	0	-9999	-9999	-9999	-9999
1	8	7.5231	6.04685	10.61	0.94	3.05911	7.42766	0	-9999	-9999	-9999	-9999
1	9	2.49254	6.12756	8.28	3.44	0.745861	7.10978	0.4	-9999	-9999	-9999	-9999
1	10	1.13713	6.62867	7.88	5.561	0.0359803	7.48333	0.4	-9999	-9999	-9999	-9999
1	11	1.72308	9.86973	11.91	5.053	0.506645	8.44764	1.6	-9999	-9999	-9999	-9999
1	12	6.86726	5.81594	7.09	4.943	3.05348	7.53671	0.6	-9999	-9999	-9999	-9999
1	13	8.1059	5.12812	8.38	2.72	3.48079	6.40196	0	-9999	-9999	-9999	-9999
1	14	0.615587	7.91758	9.72	5.064	0.050874	7.25517	11.8	-9999	-9999	-9999	-9999
1	15	3.0586	6.4511	9.14	1.582	0.299149	7.10014	0.4	-9999	-9999	-9999	-9999
1	16	5.63283	7.85319	9.23	5.642	2.52767	7.53319	1.2	-9999	-9999	-9999	-9999
1	17	2.82133	8.54906	10.26	6.408	2.5231	7.60146	2	-9999	-9999	-9999	-9999
1	18	9.78095	12.8598	15.36	6.832	4.02689	8.39563	0.2	-9999	-9999	-9999	-9999
1	19	9.31512	12.6773	16.51	6.53	6.32898	9.18528	0	-9999	-9999	-9999	-9999
1	20	9.4078	6.85571	13.4	1.785	2.2848	8.00442	0	-9999	-9999	-9999	-9999
1	21	6.36813	6.40625	12.43	1.501	1.40226	7.15544	0.2	-9999	-9999	-9999	-9999
1	22	3.95551	10.9383	12.8	7.57	4.69813	8.3409	0	-9999	-9999	-9999	-9999
1	23	9.5518	7.92438	11.59	1.837	5.9444	7.83805	0	-9999	-9999	-9999	-9999
1	24	9.58611	5.65235	12.16	0.244	3.47803	6.70517	0	-9999	-9999	-9999	-9999
1	25	7.00498	10.5565	15.59	3.718	6.63911	7.29721	0	-9999	-9999	-9999	-9999
1	26	10.2943	6.14027	14.65	-0.397	4.64929	6.63438	0	-9999	-9999	-9999	-9999
1	27	9.2979	8.67404	18.34	-0.447	7.38754	6.13086	0	-9999	-9999	-9999	-9999
1	28	9.54682	13.0167	18.81	6.057	11.5051	7.25959	0	-9999	-9999	-9999	-9999
1	29	2.59066	6.04875	9.34	1.698	1.9751	6.87657	0	-9999	-9999	-9999	-9999
1	30	10.1616	6.67621	9.4	5.241	4.04832	7.04501	0	-9999	-9999	-9999	-9999
1	31	10.4283	5.64952	9.28	2.694	4.53814	6.64635	0	-9999	-9999	-9999	-9999
2	1	6.39817	5.74269	8.33	2.807	2.5948	6.58352	0.4	-9999	-9999	-9999	-9999
2	2	11.4579	5.37102	8.58	2.415	3.52087	6.65011	0.6	-9999	-9999	-9999	-9999
2	3	1.9764	4.37894	9.13	-1.657	1.10501	5.68208	3.6	-9999	-9999	-9999	-9999
2	4	7.56259	6.67719	9.32	4.685	1.87988	6.93262	13.6	-9999	-9999	-9999	-9999
2	5	10.8053	6.47792	12.5	0.14	3.11318	6.21597	0	-9999	-9999	-9999	-9999
2	6	10.1538	9.30644	13.43	2.601	3.60129	6.60199	0	-9999	-9999	-9999	-9999
2	7	11.8579	10.5157	18.02	5.02	6.16755	7.37337	0	-9999	-9999	-9999	-9999
2	8	12.1883	7.18802	13.76	1.338	3.6561	6.92808	0	-9999	-9999	-9999	-9999
2	9	9.33801	5.30954	11.87	-0.198	1.8343	6.39467	0	-9999	-9999	-9999	-9999
2	10	10.6413	5.02988	11.23	-0.866	1.62458	6.0481	0.2	-9999	-9999	-9999	-9999
2	11	10.305	5.24008	10.06	0.751	1.34547	6.174	0	-9999	-9999	-9999	-9999
2	12	12.2125	5.71979	11.51	1.261	3.12093	6.20524	0.2	-9999	-9999	-9999	-9999
2	13	11.9392	4.1826	10.63	-1.494	2.44438	5.58678	0	-9999	-9999	-9999	-9999
2	14	11.7008	4.70827	10.88	-0.516	1.92056	5.61369	0	-9999	-9999	-9999	-9999
2	15	12.8213	5.23754	12.24	-1.324	2.24993	5.58515	0	-9999	-9999	-9999	-9999
2	16	11.5167	4.80358	10.61	-0.251	2.24748	5.67135	0	-9999	-9999	-9999	-9999
2	17	3.73591	6.40075	8.75	4.936	1.24521	6.48407	0.2	-9999	-9999	-9999	-9999
2	18	2.24954	5.56094	7.06	3.994	0.082069	6.71883	1.2	-9999	-9999	-9999	-9999
2	19	1.03022	6.53394	8.18	5.133	0.394798	6.95002	2.8	-9999	-9999	-9999	-9999
2	20	0.930991	5.66608	6.934	4.781	0.00589806	7.03987	5.2	-9999	-9999	-9999	-9999
2	21	11.5285	10.0793	17.61	4.508	3.00222	7.31633	0	-9999	-9999	-9999	-9999
2	22	13.6925	10.1235	17.1	4.078	3.49069	7.7387	0	-9999	-9999	-9999	-9999
2	23	14.3308	9.12569	15.98	3.491	2.78746	7.73968	0	-9999	-9999	-9999	-9999
2	24	1.39744	9.02479	9.82	7.61	0.0672593	8.29243	0.2	-9999	-9999	-9999	-9999
2	25	0.878119	8.78312	9.55	8.26	-0.00757017	8.6909	21	-9999	-9999	-9999	-9999
2	26	6.07216	9.97292	12.46	8.75	-0.0300128	9.1316	3.8	-9999	-9999	-9999	-9999
2	27	13.926	13.0169	16.38	9.59	4.9128	9.72826	0	-9999	-9999	-9999	-9999
2	28	8.68451	10.6354	14.65	7.06	2.24968	9.73049	0	-9999	-9999	-9999	-9999
3	1	6.67807	12.9746	14.23	11.51	5.06089	10.4192	0.2	-9999	-9999	-9999	-9999
3	2	16.1068	14.1446	20.35	9.05	8.9222	10.3559	0	-9999	-9999	-9999	-9999
3	3	13.2843	11.871	14.37	7.77	5.89704	10.4304	0	-9999	-9999	-9999	-9999
3	4	16.646	5.92767	7.26	4.532	4.17531	9.10986	0	-9999	-9999	-9999	-9999
3	5	17.7679	4.74527	6.893	1.98	5.9499	7.48172	0.4	-9999	-9999	-9999	-9999
3	6	18.088	4.80735	9.48	0.025	6.11767	6.69356	0	-9999	-9999	-9999	-9999
3	7	11.6812	7.04921	9.72	4.867	5.037	7.27393	0	-9999	-9999	-9999	-9999
3	8	17.3341	8.57629	12.22	6.178	4.97085	7.94951	0	-9999	-9999	-9999	-9999
3	9	4.78555	5.98494	8.33	1.383	2.26516	7.66533	1.4	-9999	-9999	-9999	-9999
3	10	7.49497	6.80865	8.75	4.021	2.16386	7.6156	1.4	-9999	-9999	-9999	-9999
3	11	8.02681	11.011	14.73	7.76	4.19863	8.16313	0.4	-9999	-9999	-9999	-9999
3	12	8.66894	12.9496	14.62	11.33	5.54476	9.44937	0.8	-9999	-9999	-9999	-9999
3	13	17.5469	12.5221	16.35	9.62	6.729	9.90521	0	-9999	-9999	-9999	-9999
3	14	18.5338	12.1661	20.28	5.043	5.1512	9.83979	0	-9999	-9999	-9999	-9999
