Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	WS_f
2001	1	1	4.46	4.68	7.15	-1.83	3.19	-9999	9.4	-9999	-9999	-9999	-9999
2001	1	2	6.1	9.31	13.65	-2.13	6.49	-9999	0	-9999	-9999	-9999	-9999
2001	1	3	5.47	5.77	8.35	-1.03	3.53	-9999	0	-9999	-9999	-9999	-9999
2001	1	4	4.21	6.28	8.45	0.57	3.17	-9999	6.4	-9999	-9999	-9999	-9999
2001	1	5	4.4	5.42	7.75	-0.73	3.19	-9999	11.4	-9999	-9999	-9999	-9999
2001	1	6	6.13	11.7	16.45	-0.82	7.99	-9999	0	-9999	-9999	-9999	-9999
2001	1	7	6.12	14.29	18.85	2.28	9.09	-9999	0	-9999	-9999	-9999	-9999
2001	1	8	5.02	10.33	13.65	1.58	5.7	-9999	14.2	-9999	-9999	-9999	-9999
2001	1	9	2.22	2.88	3.75	0.57	1.14	-9999	16.7	-9999	-9999	-9999	-9999
2001	1	10	6.1	5.76	9.05	-2.92	4.27	-9999	0	-9999	-9999	-9999	-9999
2001	1	11	6.38	6.93	11.35	-4.72	5.66	-9999	0	-9999	-9999	-9999	-9999
2001	1	12	6.26	8.51	12.05	-0.82	5.35	-9999	0	-9999	-9999	-9999	-9999
2001	1	13	4.33	6.12	8.15	0.77	2.97	-9999	9.9	-9999	-9999	-9999	-9999
2001	1	14	3.67	4.12	5.65	0.08	2.06	-9999	101.9	-9999	-9999	-9999	-9999
2001	1	15	0.9	-0.06	0.15	-0.63	0.24	-9999	2.6	-9999	-9999	-9999	-9999
2001	1	16	2.63	2.17	3.15	-0.42	1.22	-9999	0.4	-9999	-9999	-9999	-9999
2001	1	17	5.92	3.62	5.95	-2.52	2.84	-9999	0	-9999	-9999	-9999	-9999
2001	1	18	4.36	2.39	4.25	-2.52	2.18	-9999	0.2	-9999	-9999	-9999	-9999
2001	1	19	5.63	4.45	6.45	-0.82	2.64	-9999	0	-9999	-9999	-9999	-9999
2001	1	20	3.44	4.74	6.05	1.27	1.86	-9999	7.3	-9999	-9999	-9999	-9999
2001	1	21	3.26	3.95	5.15	0.77	1.64	-9999	7.7	-9999	-9999	-9999	-9999
2001	1	22	2.97	4.78	5.85	1.97	1.55	-9999	1.9	-9999	-9999	-9999	-9999
2001	1	23	5.62	6.26	8.15	1.27	2.82	-9999	0	-9999	-9999	-9999	-9999
2001	1	24	5.41	8.7	10.45	4.08	3.07	-9999	0	-9999	-9999	-9999	-9999
2001	1	25	6.65	10.65	13.45	3.28	5.1	-9999	0	-9999	-9999	-9999	-9999
2001	1	26	5.82	10.69	13.85	2.38	5.61	-9999	0.6	-9999	-9999	-9999	-9999
2001	1	27	3	4.94	5.95	2.28	1.49	-9999	1.1	-9999	-9999	-9999	-9999
2001	1	28	3.72	7.14	8.45	3.68	2.16	-9999	1.3	-9999	-9999	-9999	-9999
2001	1	29	5	8.65	10.65	3.38	3.43	-9999	11.2	-9999	-9999	-9999	-9999
2001	1	30	5.52	4.05	6.35	-2.02	2.89	-9999	0.6	-9999	-9999	-9999	-9999
2001	1	31	4.79	2.12	3.85	-2.42	2.01	-9999	9.4	-9999	-9999	-9999	-9999
2001	2	1	2.52	0.31	1.05	-1.63	0.83	-9999	5.2	-9999	-9999	-9999	-9999
2001	2	2	7.05	-3.46	-1.35	-9.03	1.64	-9999	4.9	-9999	-9999	-9999	-9999
2001	2	3	9.43	-1.27	2.35	-10.83	2.89	-9999	0	-9999	-9999	-9999	-9999
2001	2	4	7.07	4.99	7.05	-0.42	2.8	-9999	3.6	-9999	-9999	-9999	-9999
2001	2	5	9.85	6.15	9.25	-2.02	4.18	-9999	0	-9999	-9999	-9999	-9999
2001	2	6	8.61	7.2	10.25	-0.82	4.41	-9999	0	-9999	-9999	-9999	-9999
2001	2	7	9.43	10.42	15.25	-2.32	7.47	-9999	0	-9999	-9999	-9999	-9999
2001	2	8	9.49	10.22	14.75	-1.73	7.07	-9999	0	-9999	-9999	-9999	-9999
2001	2	9	9.54	7.83	11.45	-1.73	5.21	-9999	0	-9999	-9999	-9999	-9999
2001	2	10	4.93	4.03	5.45	0.28	1.91	-9999	22.1	-9999	-9999	-9999	-9999
2001	2	11	2.69	4.67	5.35	2.88	1.01	-9999	29	-9999	-9999	-9999	-9999
2001	2	12	6.33	2.79	4.65	-2.13	2.24	-9999	1.9	-9999	-9999	-9999	-9999
2001	2	13	10.48	6.78	10.65	-3.42	5.12	-9999	0	-9999	-9999	-9999	-9999
2001	2	14	10.48	5.7	9.35	-3.92	4.59	-9999	0	-9999	-9999	-9999	-9999
2001	2	15	6.23	3.34	4.65	-0.13	1.71	-9999	0	-9999	-9999	-9999	-9999
2001	2	16	10.56	5.07	8.25	-3.32	3.98	-9999	0	-9999	-9999	-9999	-9999
2001	2	17	11.25	5.94	9.95	-4.63	4.98	-9999	0	-9999	-9999	-9999	-9999
2001	2	18	10.69	4.52	7.65	-3.72	3.8	-9999	0	-9999	-9999	-9999	-9999
2001	2	19	8.47	1.03	2.95	-4.02	2.05	-9999	0	-9999	-9999	-9999	-9999
2001	2	20	11.08	2.52	5.65	-5.72	3.34	-9999	0	-9999	-9999	-9999	-9999
2001	2	21	5.3	-1.47	-0.05	-5.22	1.34	-9999	3.6	-9999	-9999	-9999	-9999
2001	2	22	11.18	1.53	4.55	-6.42	3.04	-9999	0	-9999	-9999	-9999	-9999
2001	2	23	9.58	5.9	8.15	-0.02	3.19	-9999	0	-9999	-9999	-9999	-9999
2001	2	24	3.57	6.15	7.05	3.78	1.44	-9999	0.2	-9999	-9999	-9999	-9999
2001	2	25	10.26	8.12	10.45	1.97	3.77	-9999	0	-9999	-9999	-9999	-9999
2001	2	26	7.32	2.55	4.55	-2.72	2.34	-9999	14.2	-9999	-9999	-9999	-9999
2001	2	27	6.05	0.52	2.05	-3.52	1.63	-9999	2.8	-9999	-9999	-9999	-9999
2001	2	28	9.12	4.25	7.05	-3.13	3.42	-9999	12.9	-9999	-9999	-9999	-9999
2001	3	1	3.74	1.52	2.15	-0.13	0.77	-9999	0	-9999	-9999	-9999	-9999
2001	3	2	12.06	7.82	10.65	0.38	4.32	-9999	0	-9999	-9999	-9999	-9999
2001	3	3	9.07	13.65	16.45	6.28	6.09	-9999	13.9	-9999	-9999	-9999	-9999
2001	3	4	8.67	11.25	12.95	6.78	3.48	-9999	0	-9999	-9999	-9999	-9999
2001	3	5	11.14	14.66	17.05	8.38	5.68	-9999	0	-9999	-9999	-9999	-9999
2001	3	6	9.39	11.86	14.55	4.78	5.31	-9999	0.5	-9999	-9999	-9999	-9999
2001	3	7	8.89	8.32	10.65	2.18	3.81	-9999	1.3	-9999	-9999	-9999	-9999
2001	3	8	11.72	9.23	13.65	-2.42	6.54	-9999	3.6	-9999	-9999	-9999	-9999
2001	3	9	8.06	9.6	11.55	4.48	3.55	-9999	1	-9999	-9999	-9999	-9999
2001	3	10	11.48	10.03	13.65	0.48	5.97	-9999	25.4	-9999	-9999	-9999	-9999
2001	3	11	11.73	9.52	13.25	-0.33	5.92	-9999	20.5	-9999	-9999	-9999	-9999
2001	3	12	15.26	10.34	14.05	0.57	6.19	-9999	0	-9999	-9999	-9999	-9999
2001	3	13	16.04	12.09	16.65	0.08	7.96	-9999	0	-9999	-9999	-9999	-9999
2001	3	14	8.42	7.13	8.55	3.38	2.32	-9999	0	-9999	-9999	-9999	-9999
2001	3	15	15.74	9.93	13.55	0.38	5.94	-9999	0	-9999	-9999	-9999	-9999
2001	3	16	16.87	11.29	15.85	-0.73	7.58	-9999	0	-9999	-9999	-9999	-9999
2001	3	17	11.54	15.17	18.55	6.28	7.71	-9999	7.3	-9999	-9999	-9999	-9999
2001	3	18	14.43	13.11	16.05	5.38	6.13	-9999	0	-9999	-9999	-9999	-9999
2001	3	19	16.06	10.46	13.95	1.27	5.96	-9999	0	-9999	-9999	-9999	-9999
2001	3	20	16.09	9.85	13.25	0.88	5.64	-9999	0	-9999	-9999	-9999	-9999
2001	3	21	11.48	11.66	14.65	3.78	5.7	-9999	0.3	-9999	-9999	-9999	-9999
2001	3	22	9.59	15.17	17.45	9.17	5.63	-9999	1.8	-9999	-9999	-9999	-9999
2001	3	23	15.6	15.84	19.05	7.38	7.71	-9999	0	-9999	-9999	-9999	-9999
2001	3	24	17.74	19.83	24.55	7.38	12.85	-9999	0	-9999	-9999	-9999	-9999
2001	3	25	17.94	19.92	24.75	7.17	13.12	-9999	0	-9999	-9999	-9999	-9999
2001	3	26	15.26	17.49	20.65	9.17	8.37	-9999	0	-9999	-9999	-9999	-9999
2001	3	27	13.9	9.13	11.65	2.48	4.28	-9999	0	-9999	-9999	-9999	-9999
2001	3	28	17.53	10.73	14.55	0.68	6.48	-9999	0	-9999	-9999	-9999	-9999
2001	3	29	15.99	8.72	11.85	0.48	4.94	-9999	0	-9999	-9999	-9999	-9999
2001	3	30	7.33	6.16	7.75	1.97	2.41	-9999	8.4	-9999	-9999	-9999	-9999
2001	3	31	5.6	5.07	6.25	1.97	1.72	-9999	61.2	-9999	-9999	-9999	-9999
2001	4	1	3.8	4.11	4.85	2.18	1.05	-9999	1.9	-9999	-9999	-9999	-9999
2001	4	2	14.42	4.36	6.75	-1.93	3.04	-9999	0	-9999	-9999	-9999	-9999
2001	4	3	19.29	8.01	12.05	-2.63	5.7	-9999	0	-9999	-9999	-9999	-9999
2001	4	4	19.84	10.26	14.65	-1.33	6.94	-9999	0	-9999	-9999	-9999	-9999
