Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	WS_f
2000	1	1	0.510624	0.581	2.6	-0.65	0.085	1.421	0.71	43.038	-9999	-9999	3.477
2000	1	2	2.40831	0.862	2.08	0.25	0.187	1.384	0	43.103	-9999	-9999	4.629
2000	1	3	1.81699	1.78	2.7	0.29	0.418	1.357	0	43.089	-9999	-9999	4.52
2000	1	4	0.49127	2.843	4.82	1.92	0.329	1.319	6.69	43.581	-9999	-9999	5.446
2000	1	5	4.41582	2.625	4.76	0.95	1.412	1.489	0	44.08	-9999	-9999	4.143
2000	1	6	1.91843	1.265	2.77	-0.33	0.327	1.134	0	43.97	-9999	-9999	4.04
2000	1	7	0.829786	3.405	4.37	2.42	0.351	2.14	0.28	43.919	-9999	-9999	3.03
2000	1	8	2.10203	3.172	3.8	2.21	1.281	2.188	0.14	43.852	-9999	-9999	5.146
2000	1	9	0.924307	2.527	3.07	-0.01	0.362	2.676	1.14	43.878	-9999	-9999	1.993
2000	1	10	2.86062	-0.203	1.33	-1.33	0.801	2.023	0	43.877	-9999	-9999	1.285
2000	1	11	4.85724	-1.602	0.64	-4.89	0.445	0.959	0	43.796	-9999	-9999	3.342
2000	1	12	1.65948	-2.06	-0.84	-3.88	0.377	0.576	0	43.727	-9999	-9999	5.855
2000	1	13	3.02158	-4.789	-3.05	-6.05	0.355	0.283	0	43.666	-9999	-9999	4.063
2000	1	14	2.27604	-1.437	-0.5	-2.93	0.466	0.229	0	43.612	-9999	-9999	2.422
2000	1	15	1.22662	-1.075	0.37	-2.11	0.572	0.288	0	43.563	-9999	-9999	1.553
2000	1	16	1.55382	-1.579	0.33	-3.02	0.211	0.31	0	43.519	-9999	-9999	3.912
2000	1	17	0.852768	3.387	5.15	0.44	0.312	0.838	0.99	43.601	-9999	-9999	6.353
2000	1	18	1.44072	2.493	4.1	-0.44	0.861	1.919	5.43	44.183	-9999	-9999	5.822
2000	1	19	5.50247	-1.278	0.43	-2.52	0.957	0.855	0	44.287	-9999	-9999	3.4
2000	1	20	0.492739	-1.161	0.02	-3.03	0.083	0.463	0	44.14	-9999	-9999	4.718
2000	1	21	1.53818	0.167	1.78	-1.6	1.168	0.603	13.43	44.874	-9999	-9999	4.251
2000	1	22	0.751162	-0.926	-0.36	-1.81	0.105	0.69	9.29	46.167	-9999	-9999	3.339
2000	1	23	2.397	-5.72	-0.83	-9.7	0.132	0.777	0.14	45.888	-9999	-9999	2.683
2000	1	24	3.91072	-8.635	-7.16	-9.84	0.199	0.481	0	45.236	-9999	-9999	1.887
2000	1	25	5.77869	-8.338	-6.24	-10.19	0.423	0.269	0	44.835	-9999	-9999	3.884
2000	1	26	3.73067	-6.324	-3.38	-9.09	0.403	0.158	0.14	44.561	-9999	-9999	7.307
2000	1	27	1.46007	-2.746	-1.93	-3.72	0.297	0.167	0	44.372	-9999	-9999	3.994
2000	1	28	4.62145	-3.183	0.33	-6.07	1.18	0.151	0	44.207	-9999	-9999	5.925
2000	1	29	0.300586	2.879	5.67	0.3	0.512	0.165	16.27	44.752	-9999	-9999	7.425
2000	1	30	4.18167	4.521	7.69	2.79	1.418	0.272	15.71	47.337	-9999	-9999	5.726
2000	1	31	1.04181	6.592	7.75	5.68	0.914	2.256	11.7	46.812	-9999	-9999	6.924
2000	2	1	3.26333	5.608	6.54	4.83	1.185	3.222	0	46.428	-9999	-9999	5.276
2000	2	2	0.90409	4.496	5.13	3.31	0.963	3.125	1.14	45.595	-9999	-9999	5.193
2000	2	3	3.62552	2.635	3.94	1.12	1.172	2.482	5.27	45.709	-9999	-9999	4.541
2000	2	4	2.052	2.61	4.1	0.92	0.443	2.282	2.15	45.315	-9999	-9999	5.616
2000	2	5	6.04653	6.105	8.9	3.89	1.616	3.253	0.14	45.124	-9999	-9999	7.209
2000	2	6	6.93956	7.249	9.01	6.27	3.346	3.54	0	44.76	-9999	-9999	5.638
2000	2	7	2.16043	5.984	7.46	4.16	1.828	3.879	2.27	44.679	-9999	-9999	5.474
2000	2	8	2.17106	6.563	9.21	4.01	1.652	4.023	5.86	44.822	-9999	-9999	6.868
2000	2	9	2.16354	2.329	6.15	-0.36	1.407	3.301	1.13	45.224	-9999	-9999	5.605
2000	2	10	7.51317	3.929	6.7	1.71	2.091	2.904	2	44.924	-9999	-9999	5.54
2000	2	11	7.40146	2.176	4.67	0.06	1.57	2.655	1.57	45.087	-9999	-9999	3.147
2000	2	12	8.37622	0.405	1.94	-1.61	1.204	1.488	0.28	44.737	-9999	-9999	5.143
2000	2	13	2.33479	1.267	2.96	0.25	0.547	1.534	11.7	45.514	-9999	-9999	4.155
2000	2	14	4.82751	1.089	3.4	-0.43	1.47	1.229	0.57	45.605	-9999	-9999	3.694
2000	2	15	0.767491	3.438	5.23	0.82	0.246	2.003	13.13	45.867	-9999	-9999	3.328
2000	2	16	3.9865	0.534	2.76	-2.21	0.665	2.128	5.27	46.537	-9999	-9999	4.565
2000	2	17	3.07515	-1.889	-1.04	-2.65	0.148	1.261	6.73	46.287	-9999	-9999	3.813
2000	2	18	3.70017	-1.009	0.4	-2.1	0.238	1.231	0.99	45.758	-9999	-9999	4.532
2000	2	19	2.06824	0.862	2.19	-0.12	0.119	1.191	8.83	46.087	-9999	-9999	3.526
2000	2	20	2.15516	-0.917	0.61	-2.38	0.287	1.113	5.27	46.114	-9999	-9999	2.942
2000	2	21	6.97352	-2.283	-0.2	-4.11	0.678	0.984	0	45.459	-9999	-9999	2.281
2000	2	22	3.69939	-0.414	1.98	-1.99	0.566	0.905	0.42	45.025	-9999	-9999	3.636
2000	2	23	8.34797	0.506	2.98	-1.6	0.628	1.004	0	44.704	-9999	-9999	2.493
2000	2	24	1.08346	2.688	4.26	1.3	0.375	1.011	6.16	44.785	-9999	-9999	4.651
2000	2	25	3.41954	1.459	5.86	-0.13	0.482	0.909	24.15	47.25	-9999	-9999	2.867
2000	2	26	10.2355	1.554	4.93	-1.08	1.594	0.721	0	46.336	-9999	-9999	3.13
2000	2	27	11.9764	4.495	8.01	0.21	2.67	0.852	0	45.472	-9999	-9999	3.833
2000	2	28	10.0638	8.44	13.82	4.15	3.604	2.54	5.86	45.138	-9999	-9999	5.391
2000	2	29	5.3384	3.785	6.67	1.89	1.213	2.865	1.14	45.441	-9999	-9999	4.805
2000	3	1	4.52468	2.929	5.03	0.66	0.649	3.023	8.58	45.817	-9999	-9999	4.259
2000	3	2	9.3477	1.092	2.86	-0.63	1.4	2.054	0.85	45.636	-9999	-9999	4.763
2000	3	3	1.3062	2.163	4.88	0.31	0.538	2.072	10.58	45.902	-9999	-9999	6.911
2000	3	4	7.69651	-1.428	0.23	-3.13	0.483	1.63	7.7	46.353	-9999	-9999	4.782
