Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Litterfall
1	1	0.510624	0.581458	2.6	-0.65	0.0848455	1.42062	0.71	43.0381	-9999	-9999	-9999
1	2	2.40829	0.861667	2.08	0.25	0.18653	1.38354	0	43.1029	-9999	-9999	-9999
1	3	1.81696	1.78021	2.7	0.29	0.41766	1.35708	0	43.0894	-9999	-9999	-9999
1	4	0.491256	2.84333	4.82	1.92	0.328759	1.31854	6.69	43.5815	-9999	-9999	-9999
1	5	4.41578	2.62458	4.76	0.95	1.41168	1.48854	0	44.0802	-9999	-9999	-9999
1	6	1.91839	1.26521	2.77	-0.33	0.327194	1.13396	0	43.9698	-9999	-9999	-9999
1	7	0.829764	3.40542	4.37	2.42	0.350642	2.14042	0.28	43.919	-9999	-9999	-9999
1	8	2.10199	3.17208	3.8	2.21	1.2806	2.18812	0.14	43.8523	-9999	-9999	-9999
1	9	0.9243	2.5275	3.07	-0.01	0.362491	2.67625	1.14	43.8783	-9999	-9999	-9999
1	10	2.8606	-0.202708	1.33	-1.33	0.801171	2.02271	0	43.8769	-9999	-9999	-9999
1	11	4.85725	-1.6025	0.64	-4.89	0.444947	0.959375	0	43.7965	-9999	-9999	-9999
1	12	1.65947	-2.06021	-0.84	-3.88	0.37722	0.576042	0	43.7273	-9999	-9999	-9999
1	13	3.02161	-4.78896	-3.05	-6.05	0.355351	0.283125	0	43.6658	-9999	-9999	-9999
1	14	2.27599	-1.43687	-0.5	-2.93	0.466084	0.228958	0	43.6117	-9999	-9999	-9999
1	15	1.22661	-1.075	0.37	-2.11	0.57215	0.288125	0	43.5627	-9999	-9999	-9999
1	16	1.55378	-1.57854	0.33	-3.02	0.210945	0.310208	0	43.519	-9999	-9999	-9999
1	17	0.852804	3.38708	5.15	0.44	0.312063	0.837917	0.99	43.6008	-9999	-9999	-9999
1	18	1.44068	2.4925	4.1	-0.44	0.861217	1.91937	5.43	44.1831	-9999	-9999	-9999
1	19	5.50246	-1.27771	0.43	-2.52	0.956654	0.855	0	44.2873	-9999	-9999	-9999
1	20	0.492714	-1.16125	0.02	-3.03	0.0833684	0.463333	0	44.1398	-9999	-9999	-9999
1	21	1.53821	0.1675	1.78	-1.6	1.1676	0.603125	13.43	44.8735	-9999	-9999	-9999
1	22	0.751122	-0.926458	-0.36	-1.81	0.105323	0.690208	9.29	46.1671	-9999	-9999	-9999
1	23	2.22511	-5.72	-0.83	-9.7	0.131886	0.777083	0.14	45.8883	-9999	-9999	-9999
1	24	3.51071	-8.63479	-7.16	-9.84	0.198926	0.480833	0	45.236	-9999	-9999	-9999
1	25	4.83758	-8.33813	-6.24	-10.19	0.422771	0.269375	0	44.835	-9999	-9999	-9999
1	26	3.73064	-6.32438	-3.38	-9.09	0.402708	0.1575	0.14	44.5615	-9999	-9999	-9999
1	27	1.46009	-2.74625	-1.93	-3.72	0.29675	0.1675	0	44.3721	-9999	-9999	-9999
1	28	4.62143	-3.18292	0.33	-6.07	1.18016	0.150833	0	44.2069	-9999	-9999	-9999
1	29	0.3006	2.87938	5.67	0.3	0.512048	0.165417	16.27	44.7523	-9999	-9999	-9999
1	30	4.18163	4.52104	7.69	2.79	1.41761	0.271667	15.71	47.3373	-9999	-9999	-9999
1	31	1.04179	6.59167	7.75	5.68	0.914005	2.25583	11.7	46.8125	-9999	-9999	-9999
2	1	3.26331	5.60833	6.54	4.83	1.18458	3.22187	0	46.4283	-9999	-9999	-9999
2	2	0.904122	4.49646	5.13	3.31	0.962796	3.12479	1.14	45.5946	-9999	-9999	-9999
2	3	3.62549	2.635	3.94	1.12	1.17209	2.48208	5.27	45.7085	-9999	-9999	-9999
2	4	2.05202	2.61042	4.1	0.92	0.443355	2.28167	2.15	45.3148	-9999	-9999	-9999
2	5	6.04651	6.10458	8.9	3.89	1.61631	3.25333	0.14	45.1237	-9999	-9999	-9999
2	6	6.93956	7.24896	9.01	6.27	3.34556	3.53979	0	44.7596	-9999	-9999	-9999
2	7	2.16043	5.98396	7.46	4.16	1.82762	3.87917	2.27	44.6794	-9999	-9999	-9999
2	8	2.17107	6.56271	9.21	4.01	1.65218	4.02313	5.86	44.8225	-9999	-9999	-9999
2	9	2.16356	2.32854	6.15	-0.36	1.40744	3.30083	1.13	45.2242	-9999	-9999	-9999
2	10	7.51316	3.92937	6.7	1.71	2.09096	2.90396	2	44.924	-9999	-9999	-9999
2	11	7.40144	2.17646	4.67	0.06	1.56976	2.65521	1.57	45.0875	-9999	-9999	-9999
2	12	8.37625	0.404792	1.94	-1.61	1.20363	1.48771	0.28	44.7373	-9999	-9999	-9999
2	13	2.33474	1.26729	2.96	0.25	0.54694	1.53396	11.7	45.5137	-9999	-9999	-9999
2	14	4.82751	1.08896	3.4	-0.43	1.47005	1.22854	0.57	45.605	-9999	-9999	-9999
2	15	0.767448	3.43812	5.23	0.82	0.245947	2.00292	13.13	45.8667	-9999	-9999	-9999
2	16	3.98653	0.533958	2.76	-2.21	0.665469	2.1275	5.27	46.5373	-9999	-9999	-9999
2	17	3.07512	-1.88917	-1.04	-2.65	0.147908	1.26104	6.73	46.2871	-9999	-9999	-9999
2	18	3.70013	-1.00937	0.4	-2.1	0.238353	1.23104	0.99	45.7579	-9999	-9999	-9999
2	19	2.06824	0.861875	2.19	-0.12	0.118982	1.19083	8.83	46.0871	-9999	-9999	-9999
2	20	2.15516	-0.916875	0.61	-2.38	0.287283	1.11333	5.27	46.114	-9999	-9999	-9999
2	21	4.38876	-2.28333	-0.2	-4.11	0.678047	0.983958	0	45.4594	-9999	-9999	-9999
2	22	3.69936	-0.41375	1.98	-1.99	0.566446	0.904583	0.42	45.0246	-9999	-9999	-9999
2	23	8.348	0.506458	2.98	-1.6	0.627896	1.00417	0	44.7044	-9999	-9999	-9999
2	24	1.08347	2.68792	4.26	1.3	0.37511	1.01083	6.16	44.785	-9999	-9999	-9999
2	25	3.41951	1.45938	5.86	-0.13	0.48213	0.90875	24.15	47.2504	-9999	-9999	-9999
2	26	10.2356	1.55417	4.93	-1.08	1.59437	0.720625	0	46.3362	-9999	-9999	-9999
2	27	11.9764	4.495	8.01	0.21	2.67002	0.8525	0	45.4723	-9999	-9999	-9999
2	28	10.0638	8.44021	13.82	4.15	3.60437	2.54042	5.86	45.1379	-9999	-9999	-9999
3	1	4.52466	2.92896	5.03	0.66	0.64854	3.02292	8.58	45.8169	-9999	-9999	-9999
3	2	9.34767	1.0925	2.86	-0.63	1.39965	2.05437	0.85	45.636	-9999	-9999	-9999
3	3	1.30622	2.16333	4.88	0.31	0.537587	2.07167	10.58	45.9023	-9999	-9999	-9999
3	4	7.46189	-1.42771	0.23	-3.13	0.483049	1.62979	7.7	46.3525	-9999	-9999	-9999
3	5	6.17551	-2.05063	-0.54	-3.41	0.396309	1.31458	4.43	46.1344	-9999	-9999	-9999
3	6	5.62828	2.47563	6.01	-0.9	2.02867	1.18313	0	45.6058	-9999	-9999	-9999
3	7	4.72142	5.00812	7.11	3.2	1.76161	1.74937	0.14	45.0727	-9999	-9999	-9999
3	8	1.10097	7.27417	8.85	5.87	0.567699	3.62542	7.42	45.2856	-9999	-9999	-9999
3	9	3.53099	8.75333	10.54	5.61	1.39454	5.36292	24.43	47.035	-9999	-9999	-9999
3	10	10.9238	2.67729	4.79	0.14	2.01686	4.11979	2.57	46.8029	-9999	-9999	-9999
3	11	4.00795	5.5575	7.39	4.14	1.0104	4.26417	11.98	46.8521	-9999	-9999	-9999
3	12	3.33544	2.33521	3.94	0.57	1.07455	3.72937	1.43	46.2925	-9999	-9999	-9999
3	13	13.7821	5.70833	9.36	2.4	2.69218	3.87083	0.14	45.4694	-9999	-9999	-9999
3	14	1.03999	5.70417	7.65	0.56	0.655596	4.51062	10.15	45.6304	-9999	-9999	-9999
3	15	6.78373	0.239583	1.77	-1.77	1.18378	2.85354	4.85	45.116	-9999	-9999	-9999
