YEAR	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1997	1.000000	1.000000	2.235600	-12.447900	-10.800000	-13.700000	0.000000	0.700000	0.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
1997	1.000000	2.000000	3.079800	-10.920800	-6.900000	-15.400000	0.000000	0.645833	0.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
1997	1.000000	3.000000	2.647800	-5.839580	-4.000000	-8.000000	0.000000	0.693750	0.400000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
1997	1.000000	4.000000	0.576000	-4.877080	-4.100000	-5.700000	0.000000	0.700000	0.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
1997	1.000000	5.000000	0.428400	-3.475000	-2.100000	-4.600000	0.000000	0.783333	0.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
1997	1.000000	6.000000	1.002600	-4.047920	-2.800000	-5.200000	0.000000	0.806250	0.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
1997	1.000000	7.000000	0.351000	-5.191670	-4.400000	-6.100000	0.000000	0.900000	0.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
1997	1.000000	8.000000	1.531800	-6.970830	-3.800000	-11.000000	0.000000	0.885417	0.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
1997	1.000000	9.000000	1.017000	-5.575000	-3.800000	-6.600000	0.000000	0.922917	0.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
1997	1.000000	10.000000	0.464400	-4.466670	-3.200000	-6.200000	0.000000	0.975000	0.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
1997	1.000000	11.000000	0.626400	-4.743750	-4.200000	-6.100000	0.000000	1.000000	0.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
1997	1.000000	12.000000	2.077200	-6.650000	-3.600000	-8.500000	0.000000	1.002080	0.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
1997	1.000000	13.000000	3.209400	-7.133330	-0.700000	-10.800000	0.004145	0.933333	0.400000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
1997	1.000000	14.000000	7.923600	-8.470830	-4.100000	-11.500000	0.000000	0.872917	0.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
1997	1.000000	15.000000	7.732800	-4.650000	2.300000	-10.300000	0.226122	0.789583	0.200000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
1997	1.000000	16.000000	7.896600	-2.729170	1.900000	-5.900000	0.253080	0.804167	0.200000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
1997	1.000000	17.000000	7.531200	0.952083	9.600000	-6.700000	1.917820	0.789583	7.200000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
1997	1.000000	18.000000	0.891000	4.887500	8.400000	1.100000	0.589469	0.877083	0.800000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
1997	1.000000	19.000000	1.591200	3.633330	5.600000	1.700000	0.064287	0.816667	12.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
1997	1.000000	20.000000	1.818000	3.564580	4.300000	2.300000	0.213734	0.918750	0.400000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
1997	1.000000	21.000000	4.420800	2.464580	3.300000	1.300000	0.736604	1.285420	0.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
