year,leFMDS_Wm2,hFMDS_Wm2
1996,9308.33980769979,8227.14402621875
1997,8737.45649646131,5033.22545940521
1998,6272.5829191071,4153.61214312885
1999,6467.08653370769,7660.64089281458
2000,7767.55301767937,4161.84304975417
2001,8406.86450021458,4955.93310111104
2002,9409.10633436875,6764.53552394458
2003,8532.15944941987,5397.47341176833
2004,7815.93181477063,5173.81546161458
2005,7661.03123231185,6676.6381814375
2006,8018.43401352,8210.05349690417
2007,9820.28691278729,5708.75807328958
2008,9556.23153565833,4455.79493724792
2009,10288.0264109167,7382.03536356402
2010,11112.4360468448,8119.39974388771
2011,9552.2354816625,5929.80344510729
2012,9335.63158544104,5092.91157928854
2013,9873.62040414563,6363.73187444167
2014,10129.3211497354,6532.90654265208
