year,neeCutRef_gCm2d1,neeVutRef_gCm2d1,neeCutRef_qc,neeVutRef_qc,neeCutRefJointunc_gCm2d1,neeVutRefJointunc_gCm2d1,recoNtVutRef_gCm2d1,recoNtVutSe_gCm2d1,recoNtCutRef_gCm2d1,recoNtCutSe_gCm2d1,recoDtVutRef_gCm2d1,recoDtVutSe_gCm2d1,recoDtCutRef_gCm2d1,recoDtCutSe_gCm2d1,gppNtVutRef_gCm2d1,gppNtVutSe_gCm2d1,gppNtCutRef_gCm2d1,gppNtCutSe_gCm2d1,gppDtVutRef_gCm2d1,gppDtVutSe_gCm2d1,gppDtCutRef_gCm2d1,gppDtCutSe_gCm2d1
1996,-816.765686756324,-816.787135743033,630.72029124,630.72029124,NA,NA,1079.93228837556,9.54652747802733,1069.90967471782,10.1506621570521,1136.32366820292,16.4860724415707,1136.32366820292,21.6786307458733,1885.52836554295,16.6191226718962,1884.2075529596,20.9618982543421,1509.63077449097,11.0125401363907,1498.50355587526,15.9659141801084
1997,-238.641052046189,-244.972049812242,244.77326172,236.70927774,NA,NA,842.184011138081,6.92429186199648,827.003024143597,6.9450069316827,781.864778971854,27.1678604265104,782.38774720657,28.8318560254725,1080.82789225065,14.6066387743613,1080.82506877529,15.4596355262556,1028.77675787576,18.6517633660834,1028.77675787576,19.7857926203229
1998,-303.269719811804,-300.519929915971,217.18708596,198.39994902,NA,NA,777.455549357702,4.9233541506074,777.455549357702,5.82901051817896,792.170951254516,18.2292952492388,810.352879754278,20.4517979072738,1077.0960524243,9.77194497636883,1079.51306310017,11.4344624073744,1090.19408083587,8.85263148002718,1102.56620620772,10.5940465197264
1999,-143.077973331296,-144.750950230271,247.02166476,220.34349792,NA,NA,873.69965864924,6.35646726529164,884.051390755087,7.57952151749549,910.942713748401,14.6516078603269,917.080181580518,18.256482645209,1016.42120645558,11.9714313116114,1020.3308655602,14.7078696681959,1087.64302192734,9.07410310116534,1086.41448732869,11.4777157524143
2000,-157.58467994197,-158.996150094815,322.17021252,300.03209028,NA,NA,906.526214528358,5.60832849977195,905.050273506978,8.4959765998356,1118.71273579416,18.8192337054154,1151.24863088363,27.5610934011091,1065.58605408714,10.6445522206982,1073.6233548414,14.6526567084416,1202.25026550265,10.5316011432025,1214.16172835262,14.670400370635
2001,-177.553157382597,-179.308998942534,214.98192144,199.80520092,NA,NA,851.956249248777,7.02216852565305,848.43530288237,6.56054079837376,866.296781500607,18.014169787522,854.962712313058,16.6558085432333,1030.42116270008,12.7921127641852,1032.38517362782,11.8134525460243,1047.46953532871,10.8909246467851,1048.25851588884,9.83302908893918
2002,-215.941332207506,-214.025590269493,241.7033268,243.95172984,NA,NA,915.059948923994,8.17918276959448,893.14137740365,8.55856405439034,905.081387081199,24.4140260410904,881.511935357402,23.6259709338121,1126.82726378802,14.3497807019898,1113.77905438843,14.4978560866027,1168.17889939737,15.0587030301429,1127.99361867089,14.841466931377
2003,-122.050122751005,-122.491103710842,209.85815682,210.76616574,NA,NA,883.093273492552,8.66707449725875,861.278715302003,7.78987506186574,843.854909522377,24.1050308717431,842.83958250926,21.8001267985155,1006.78204585115,14.6357144173925,1016.45923224771,13.7419423133631,1025.0938801604,15.9679236329144,1000.09961002534,14.6222621038747
2004,-215.575262060102,-217.419334330874,227.58595002,222.37570836,NA,NA,834.515443704531,5.4866253176487,832.537554768455,5.97396537573783,869.543418912763,14.8362641225635,869.543418912763,17.8019776777207,1050.09442885285,10.3429230559912,1050.09064563369,11.9267124368884,1108.75658406552,9.02050977880733,1096.16832520072,10.9624399603797
2005,-144.731240217819,-144.257812729909,380.19630636,384.54177762,NA,NA,1001.9916265905,10.5707120669429,943.749955369782,10.3839925150084,986.243393257563,19.0036188273181,983.392136222835,17.9618446134823,1143.96036214526,14.7649539947279,1089.90001285084,14.8336431022595,1130.90595435249,11.0704919547003,1123.15295817411,10.2122306717241
