Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1901	1	1	0.51401	-10.353	-8.0271	-11.792	100	-9999	0	-9999	-9999	-9999	2.5605
1901	1	2	0.61011	-11.621	-10.357	-12.967	100	-9999	0.016807	-9999	-9999	-9999	2.0627
1901	1	3	0.48217	-8.585	-3.7767	-14.288	100	-9999	0.14141	-9999	-9999	-9999	2.3277
1901	1	4	0.66298	-8.2367	-2.5768	-15.746	100	-9999	0.21706	-9999	-9999	-9999	2.1125
1901	1	5	0.48647	-5.3031	0.85162	-14.694	100	-9999	0.07506	-9999	-9999	-9999	3.3302
1901	1	6	0.51578	-3.1711	-1.347	-4.7948	100	-9999	0.042112	-9999	-9999	-9999	2.453
1901	1	7	0.70681	-6.5436	-1.9642	-12.62	100	-9999	0	-9999	-9999	-9999	1.2079
1901	1	8	0.71821	-7.7463	-3.5359	-12.426	100	-9999	0	-9999	-9999	-9999	1.4414
1901	1	9	0.71703	-4.6399	-0.1529	-8.8312	100	-9999	0	-9999	-9999	-9999	2.0347
1901	1	10	0.51519	-1.7345	-0.30176	-2.7126	99.816	-9999	0.3879	-9999	-9999	-9999	3.1506
1901	1	11	0.77285	-3.7218	-2.1584	-5.8648	100	-9999	0.60078	-9999	-9999	-9999	3.2663
1901	1	12	0.80291	-1.9119	-0.32212	-5.3865	100	-9999	1.1957	-9999	-9999	-9999	4.3047
1901	1	13	0.84733	-2.1588	-0.67499	-4.7667	100	-9999	1.1565	-9999	-9999	-9999	5.7017
1901	1	14	0.96506	-7.5121	-3.2578	-11.655	100	-9999	0.074009	-9999	-9999	-9999	2.9104
1901	1	15	0.62092	-1.7995	2.1221	-6.5842	100	-9999	1.8664	-9999	-9999	-9999	3.5922
1901	1	16	0.85029	-0.84077	0.76226	-2.1142	99.912	-9999	0.47814	-9999	-9999	-9999	3.867
1901	1	17	0.9116	-2.2346	1.1426	-9.0762	100	-9999	0	-9999	-9999	-9999	2.1741
1901	1	18	0.89116	-2.8042	0.13143	-5.9478	100	-9999	0	-9999	-9999	-9999	2.7424
1901	1	19	0.8312	-1.9023	2.1067	-5.6243	100	-9999	2.8432	-9999	-9999	-9999	2.9284
1901	1	20	1.0401	-1.2776	0.58965	-2.8318	100	-9999	1.1165	-9999	-9999	-9999	3.66
1901	1	21	0.99276	-2.1584	-0.79255	-3.612	100	-9999	0.62277	-9999	-9999	-9999	2.3803
1901	1	22	0.93499	-1.6553	2.0445	-5.3396	100	-9999	6.873	-9999	-9999	-9999	5.2633
1901	1	23	0.93086	-2.2945	-0.31656	-4.6039	99.673	-9999	4.5475	-9999	-9999	-9999	8.7311
1901	1	24	1.5374	-1.9912	-0.48929	-4.3539	99.954	-9999	0.52358	-9999	-9999	-9999	5.8023
1901	1	25	0.992	-1.6161	-0.075018	-3.3547	100	-9999	4.4614	-9999	-9999	-9999	4.7384
1901	1	26	1.5716	-2.0846	1.0213	-4.4597	100	-9999	5.7995	-9999	-9999	-9999	6.3493
1901	1	27	1.3668	-4.1537	-0.97379	-9.5458	100	-9999	4.9024	-9999	-9999	-9999	4.2193
1901	1	28	1.6166	-5.5103	-2.8068	-8.2117	100	-9999	3.1964	-9999	-9999	-9999	4.588
1901	1	29	1.1938	-5.4743	-4.6205	-7.9096	100	-9999	3.3024	-9999	-9999	-9999	3.0451
1901	1	30	1.6022	-7.7653	-5.3984	-10.298	100	-9999	1.765	-9999	-9999	-9999	4.0508
1901	1	31	1.4257	-4.4982	0.17919	-8.9626	100	-9999	17.199	-9999	-9999	-9999	4.9971
1901	2	1	2.0733	-5.6792	-2.5269	-8.6624	100	-9999	9.2247	-9999	-9999	-9999	5.4312
1901	2	2	2.2454	-10.692	-8.4374	-16.007	100	-9999	0.0057254	-9999	-9999	-9999	2.417
1901	2	3	2.1808	-7.6435	-5.4732	-10.553	100	-9999	0.28725	-9999	-9999	-9999	3.4438
1901	2	4	1.4446	-5.4408	-2.5942	-9.9191	100	-9999	2.2567	-9999	-9999	-9999	3.6678
1901	2	5	1.4084	-2.4701	-1.9037	-3.0956	100	-9999	5.6186	-9999	-9999	-9999	3.9227
1901	2	6	1.504	-1.5301	0.83514	-6.1119	100	-9999	9.5657	-9999	-9999	-9999	3.2545
1901	2	7	2.8604	-9.3232	-4.1309	-16.959	100	-9999	0.044639	-9999	-9999	-9999	3.3273
1901	2	8	2.8612	-8.0886	-5.4615	-10.699	100	-9999	2.7487	-9999	-9999	-9999	3.0379
1901	2	9	2.3865	-7.7437	-5.0696	-10.57	100	-9999	2.1273	-9999	-9999	-9999	4.0318
1901	2	10	3.1557	-9.7978	-7.4763	-12.383	100	-9999	0.20322	-9999	-9999	-9999	3.2358
1901	2	11	3.5701	-14.261	-12.218	-17.642	100	-9999	0.14117	-9999	-9999	-9999	3.9151
1901	2	12	3.3189	-17.298	-14.621	-19.353	100	-9999	0.0036309	-9999	-9999	-9999	2.3943
1901	2	13	3.9455	-15.637	-12.842	-18.41	100	-9999	0.10167	-9999	-9999	-9999	2.5581
1901	2	14	4.0514	-17.911	-12.993	-23.721	100	-9999	0.22024	-9999	-9999	-9999	2.0056
1901	2	15	4.2964	-17.758	-14.69	-26.164	100	-9999	1.1384	-9999	-9999	-9999	3.2735
1901	2	16	4.5399	-21.075	-13.65	-30.002	100	-9999	0	-9999	-9999	-9999	1.4881
1901	2	17	4.6556	-14.747	-12.007	-18.474	100	-9999	0.10345	-9999	-9999	-9999	3.4103
1901	2	18	4.9882	-18.917	-12.19	-24.642	100	-9999	0	-9999	-9999	-9999	1.5665
1901	2	19	4.8648	-13.416	-8.5334	-17.851	100	-9999	0.90562	-9999	-9999	-9999	1.881
1901	2	20	5.205	-15.04	-9.8788	-18.93	100	-9999	0.24908	-9999	-9999	-9999	1.5747
1901	2	21	5.0628	-10.977	-6.8841	-17.892	100	-9999	1.2308	-9999	-9999	-9999	3.3157
1901	2	22	5.7176	-11.251	-6.5625	-18.682	100	-9999	1.281	-9999	-9999	-9999	3.534
1901	2	23	3.6105	-9.3459	-6.7253	-13.374	100	-9999	8.4371	-9999	-9999	-9999	5.5741
1901	2	24	5.4023	-13.349	-11.053	-15.241	100	-9999	4.8468	-9999	-9999	-9999	4.6088
1901	2	25	5.5555	-11.909	-10.161	-13.195	100	-9999	1.2942	-9999	-9999	-9999	4.6507
1901	2	26	6.6206	-11.14	-6.4099	-15.584	100	-9999	0.57149	-9999	-9999	-9999	2.3427
1901	2	27	4.6288	-8.6161	-3.8704	-16.22	100	-9999	4.7379	-9999	-9999	-9999	3.5106
1901	2	28	3.7934	-5.343	-4.4579	-7.2475	100	-9999	9.1825	-9999	-9999	-9999	4.7441
1901	3	1	6.5087	-13.141	-8.8756	-17.542	100	-9999	0.52728	-9999	-9999	-9999	4.4674
1901	3	2	6.9255	-16.046	-12.654	-19.807	100	-9999	0.13511	-9999	-9999	-9999	3.9291
1901	3	3	6.9879	-13.632	-3.8059	-21.812	100	-9999	0.2362	-9999	-9999	-9999	3.6675
1901	3	4	6.2141	-5.0637	-3.1611	-6.5975	100	-9999	0.52293	-9999	-9999	-9999	4.7924
1901	3	5	2.5541	-2.596	-0.53669	-4.3176	100	-9999	1.9462	-9999	-9999	-9999	5.3624
1901	3	6	6.0874	-3.9194	-2.472	-5.6537	100	-9999	1.6021	-9999	-9999	-9999	5.8089
1901	3	7	3.016	-4.1153	-1.8923	-6.1003	100	-9999	2.7703	-9999	-9999	-9999	4.7564
1901	3	8	6.2556	-5.5387	-2.105	-8.5762	100	-9999	0.5401	-9999	-9999	-9999	2.1118
1901	3	9	7.5662	-3.3715	0.49935	-10.261	100	-9999	0.30189	-9999	-9999	-9999	3.7635
1901	3	10	6.5487	-0.54944	-0.22718	-1.0628	99.242	-9999	0.62741	-9999	-9999	-9999	5.2323
1901	3	11	4.1185	-0.41855	-0.24665	-1.1614	99.279	-9999	1.6724	-9999	-9999	-9999	5.2983
1901	3	12	8.0436	-2.3474	0.52148	-8.3161	100	-9999	0.88478	-9999	-9999	-9999	4.476
1901	3	13	7.2336	-2.0639	0.41186	-8.0032	100	-9999	0.72171	-9999	-9999	-9999	3.9394
1901	3	14	9.4289	-2.5869	1.0121	-5.5586	100	-9999	0.004576	-9999	-9999	-9999	1.7835
1901	3	15	9.7961	-3.3287	0.92504	-6.112	100	-9999	0	-9999	-9999	-9999	2.3794
1901	3	16	6.3788	-3.5872	-0.018408	-8.1821	100	-9999	0.86795	-9999	-9999	-9999	2.3299
1901	3	17	4.925	-0.59058	0.68328	-2.8373	99.829	-9999	1.1383	-9999	-9999	-9999	2.776
1901	3	18	5.8331	-2.7943	0.68676	-8.2661	100	-9999	2.9031	-9999	-9999	-9999	3.7282
1901	3	19	10.956	-5.97	-1.633	-10.184	100	-9999	0.17121	-9999	-9999	-9999	1.6783
1901	3	20	7.9647	-4.0503	1.3733	-8.6107	100	-9999	0.61496	-9999	-9999	-9999	3.6201
1901	3	21	10.786	-6.4611	-3.7484	-10.68	100	-9999	0.9841	-9999	-9999	-9999	3.7758
1901	3	22	8.7528	-6.661	-0.508	-10.451	100	-9999	0.91496	-9999	-9999	-9999	3.2649
1901	3	23	11.884	-5.2622	0.82186	-11.286	100	-9999	0.25234	-9999	-9999	-9999	2.9452
1901	3	24	7.4185	-2.2468	1.138	-8.8722	100	-9999	1.3643	-9999	-9999	-9999	4.3257
1901	3	25	9.6875	-6.4874	-1.2865	-12.089	100	-9999	2.6672	-9999	-9999	-9999	3.7639
1901	3	26	10.877	-7.5375	-2.493	-13.233	100	-9999	2.0075	-9999	-9999	-9999	4.0007
1901	3	27	8.5801	-5.3662	1.714	-11.507	100	-9999	4.6667	-9999	-9999	-9999	2.0559
1901	3	28	10.849	-7.954	-4.2269	-10.782	100	-9999	0.01254	-9999	-9999	-9999	4.4253
1901	3	29	14.997	-9.6729	-0.44608	-16.694	100	-9999	0.045506	-9999	-9999	-9999	1.7082
1901	3	30	14.21	-8.864	-2.0644	-17.106	100	-9999	0.095729	-9999	-9999	-9999	2.2992
1901	3	31	12.981	-8.2768	-3.3627	-14.715	100	-9999	0.78041	-9999	-9999	-9999	3.5715
1901	4	1	3.3536	-1.8429	-1.1263	-4.2773	99.43	-9999	2.4637	-9999	-9999	-9999	6.5836
1901	4	2	6.1252	-0.5503	0.75802	-1.8974	97.356	-9999	2.0208	-9999	-9999	-9999	4.7876
1901	4	3	13.481	0.57092	3.7652	-2.2372	95.642	-9999	0.020607	-9999	-9999	-9999	3.5657
1901	4	4	3.4969	2.9271	5.4159	-1.1596	96.154	-9999	8.2225	-9999	-9999	-9999	8.0382
1901	4	5	9.7885	1.3416	5.1619	-1.3335	87.562	-9999	4.0293	-9999	-9999	-9999	6.1326
1901	4	6	11.728	-1.2613	1.0314	-3.3258	79.927	-9999	0.88221	-9999	-9999	-9999	4.847
1901	4	7	15.049	-1.778	0.86965	-4.0817	73.258	-9999	0.12868	-9999	-9999	-9999	4.1362
1901	4	8	15.291	-0.32276	4.2193	-4.3962	66.222	-9999	0	-9999	-9999	-9999	2.7761
1901	4	9	4.5577	0.2908	2.7953	-2.5044	79.176	-9999	1.8148	-9999	-9999	-9999	5.0723
1901	4	10	6.9893	3.2472	6.0694	0.72787	85.267	-9999	1.4896	-9999	-9999	-9999	3.7111
1901	4	11	15.105	3.8482	9.285	-0.67042	78.347	-9999	0.051087	-9999	-9999	-9999	2.9139
1901	4	12	3.6919	3.1035	5.9711	1.022	89.06	-9999	3.5003	-9999	-9999	-9999	2.072
1901	4	13	13.333	4.8149	10.429	-0.98997	81.883	-9999	2.0372	-9999	-9999	-9999	1.598
1901	4	14	16.619	3.2961	6.7838	0.0024963	72.177	-9999	0.015617	-9999	-9999	-9999	5.6418
1901	4	15	10.406	0.7579	4.2818	-2.6888	72.056	-9999	0.2776	-9999	-9999	-9999	4.5077
1901	4	16	17.031	1.5006	6.1647	-3.5569	76.578	-9999	0.0082589	-9999	-9999	-9999	2.6303
1901	4	17	0.84245	4.2807	6.6984	-0.29133	96.448	-9999	5.7798	-9999	-9999	-9999	3.1569
1901	4	18	12.851	3.3741	7.0496	-1.2358	84.497	-9999	1.8424	-9999	-9999	-9999	3.494
1901	4	19	18.017	-0.42365	3.7544	-4.3474	71.871	-9999	0.013124	-9999	-9999	-9999	3.2922
1901	4	20	18.294	1.9754	7.8586	-3.4121	74.392	-9999	0.14317	-9999	-9999	-9999	2.1071
1901	4	21	19.014	1.6194	6.6199	-2.6857	77.087	-9999	0.041218	-9999	-9999	-9999	2.4504
1901	4	22	17.815	1.0121	6.9447	-3.8091	79.428	-9999	0.010978	-9999	-9999	-9999	1.3624
1901	4	23	14.562	4.1282	10.208	-2.3963	70.659	-9999	0.0061824	-9999	-9999	-9999	2.0503
1901	4	24	20.625	1.8142	4.6594	-0.49665	73.025	-9999	0.35363	-9999	-9999	-9999	4.7585
1901	4	25	16.435	2.7862	7.7625	-3.653	66.122	-9999	0	-9999	-9999	-9999	3.7744
1901	4	26	19.424	4.8102	10.344	-0.63404	58.431	-9999	0	-9999	-9999	-9999	4.4976
1901	4	27	21.389	6.7917	14.263	-0.42457	63.732	-9999	0	-9999	-9999	-9999	2.3797
1901	4	28	20.603	9.1646	17.186	-2.7239	55.153	-9999	0	-9999	-9999	-9999	1.5117
1901	4	29	18.575	9.5131	16.094	2.7865	53.711	-9999	0	-9999	-9999	-9999	2.1595
1901	4	30	19.637	10.21	17.24	2.2472	48.822	-9999	0	-9999	-9999	-9999	2.1813
1901	5	1	18.42	9.163	15.425	2.2839	54.179	-9999	0	-9999	-9999	-9999	2.3843
1901	5	2	20.426	8.2596	15.86	-0.74552	56.6	-9999	0	-9999	-9999	-9999	1.9561
1901	5	3	19.289	6.9861	12.774	0.090448	66.696	-9999	0.0053999	-9999	-9999	-9999	2.8386
